Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,Philadelphia Eagles,Atlanta Falcons,H,A,A,H,H,H,A,A,A,H
2018,1,Baltimore Ravens,Buffalo Bills,H,A,A,H,H,H,A,H,H,H
2018,1,Indianapolis Colts,Cincinnati Bengals,H,H,H,A,A,A,H,H,H,A
2018,1,Cleveland Browns,Pittsburgh Steelers,H,H,A,H,A,H,H,H,H,A
2018,1,New England Patriots,Houston Texans,H,A,H,H,H,A,A,A,A,H
2018,1,New York Giants,Jacksonville Jaguars,H,A,H,A,H,A,H,H,A,A
2018,1,Miami Dolphins,Tennessee Titans,H,H,H,H,A,A,A,H,H,H
2018,1,Minnesota Vikings,San Francisco 49ers,H,A,A,H,H,H,A,A,H,H
2018,1,New Orleans Saints,Tampa Bay Buccaneers,H,H,H,A,A,A,H,H,A,A
2018,1,Los Angeles Chargers,Kansas City Chiefs,H,H,H,A,A,A,H,A,A,A
2018,1,Carolina Panthers,Dallas Cowboys,H,A,H,A,H,A,H,H,H,H
2018,1,Arizona Cardinals,Washington Commanders,H,H,A,H,A,H,A,A,A,A
2018,1,Denver Broncos,Seattle Seahawks,H,A,H,H,H,A,A,A,H,H
2018,1,Green Bay Packers,Chicago Bears,H,H,H,H,A,A,A,H,A,H
2018,1,Detroit Lions,New York Jets,H,H,H,A,A,A,H,A,A,A
2018,1,Las Vegas Raiders,Los Angeles Rams,H,H,H,A,A,A,H,H,A,A
2018,2,Cincinnati Bengals,Baltimore Ravens,H,A,A,A,A,H,H,A,H,H
2018,2,Atlanta Falcons,Carolina Panthers,A,A,H,H,A,H,H,H,H,H
2018,2,Buffalo Bills,Los Angeles Chargers,H,H,A,A,A,H,H,A,A,A
2018,2,New Orleans Saints,Cleveland Browns,H,H,H,H,A,H,H,H,A,H
2018,2,Washington Commanders,Indianapolis Colts,H,A,H,A,H,A,A,H,H,A
2018,2,Green Bay Packers,Minnesota Vikings,H,A,A,H,A,H,H,H,A,A
2018,2,Tennessee Titans,Houston Texans,H,A,A,H,H,H,A,A,H,H
2018,2,Pittsburgh Steelers,Kansas City Chiefs,A,H,H,A,A,A,A,A,A,A
2018,2,New York Jets,Miami Dolphins,H,A,H,H,H,A,H,H,H,A
2018,2,Tampa Bay Buccaneers,Philadelphia Eagles,H,H,H,H,H,H,H,A,H,H
2018,2,Los Angeles Rams,Arizona Cardinals,H,A,H,H,H,A,H,H,H,H
2018,2,San Francisco 49ers,Detroit Lions,H,A,A,H,A,H,A,H,A,H
2018,2,Denver Broncos,Las Vegas Raiders,H,A,A,H,H,H,A,A,A,H
2018,2,Jacksonville Jaguars,New England Patriots,H,H,H,H,H,A,A,H,H,H
2018,2,Dallas Cowboys,New York Giants,H,A,A,H,H,H,A,A,H,H
2018,2,Chicago Bears,Seattle Seahawks,H,A,A,H,H,A,A,A,H,H
2018,3,Cleveland Browns,New York Jets,A,H,A,A,H,H,H,A,H,H
2018,3,Atlanta Falcons,New Orleans Saints,H,H,A,A,A,A,A,H,H,A
2018,3,Minnesota Vikings,Buffalo Bills,H,A,H,H,A,A,A,A,A,A
2018,3,Carolina Panthers,Cincinnati Bengals,A,A,A,A,A,A,A,H,H,H
2018,3,Philadelphia Eagles,Indianapolis Colts,H,A,H,A,H,H,A,A,A,H
2018,3,Baltimore Ravens,Denver Broncos,A,H,H,H,A,A,A,H,A,H
2018,3,Washington Commanders,Green Bay Packers,A,A,A,A,H,A,A,H,H,H
2018,3,Houston Texans,New York Giants,H,A,H,H,H,H,H,A,A,A
2018,3,Jacksonville Jaguars,Tennessee Titans,H,A,H,H,A,A,A,H,A,A
2018,3,Kansas City Chiefs,San Francisco 49ers,H,A,H,H,A,H,H,A,H,H
2018,3,Miami Dolphins,Las Vegas Raiders,H,H,A,H,H,H,A,H,H,H
2018,3,Los Angeles Rams,Los Angeles Chargers,H,H,H,H,H,A,A,H,H,H
2018,3,Arizona Cardinals,Chicago Bears,A,H,A,H,A,H,H,A,A,A
2018,3,Seattle Seahawks,Dallas Cowboys,A,H,H,H,A,H,H,H,H,H
2018,3,Detroit Lions,New England Patriots,A,H,H,H,H,A,H,H,A,H
2018,3,Tampa Bay Buccaneers,Pittsburgh Steelers,H,A,H,H,H,H,H,H,H,A
2018,4,Los Angeles Rams,Minnesota Vikings,H,A,H,H,H,A,A,H,H,H
2018,4,Atlanta Falcons,Cincinnati Bengals,A,H,H,A,H,A,H,H,H,A
2018,4,Green Bay Packers,Buffalo Bills,H,A,H,H,A,A,A,H,H,H
2018,4,Chicago Bears,Tampa Bay Buccaneers,H,A,A,A,A,A,A,H,H,H
2018,4,Indianapolis Colts,Houston Texans,H,H,A,A,A,A,A,A,H,A
2018,4,Dallas Cowboys,Detroit Lions,H,A,A,A,H,H,A,A,A,H
2018,4,Jacksonville Jaguars,New York Jets,H,A,H,A,H,A,A,A,A,H
2018,4,New England Patriots,Miami Dolphins,A,A,H,H,H,A,A,A,A,H
2018,4,Tennessee Titans,Philadelphia Eagles,H,A,A,A,A,A,A,H,H,H
2018,4,Las Vegas Raiders,Cleveland Browns,A,A,H,A,H,A,H,H,A,H
2018,4,Arizona Cardinals,Seattle Seahawks,A,H,A,H,H,H,H,A,A,A
2018,4,New York Giants,New Orleans Saints,A,H,A,A,A,A,A,H,H,A
2018,4,Los Angeles Chargers,San Francisco 49ers,H,A,H,H,H,A,H,A,H,H
2018,4,Pittsburgh Steelers,Baltimore Ravens,A,A,H,A,A,H,H,A,A,A
2018,4,Denver Broncos,Kansas City Chiefs,A,H,A,A,H,A,A,A,A,A
2018,5,New England Patriots,Indianapolis Colts,H,A,A,H,H,A,A,A,H,H
2018,5,Carolina Panthers,New York Giants,H,A,A,H,H,H,A,A,H,H
2018,5,Pittsburgh Steelers,Atlanta Falcons,H,A,H,H,A,H,A,A,A,H
2018,5,Buffalo Bills,Tennessee Titans,A,H,A,A,H,H,H,A,H,H
2018,5,Cincinnati Bengals,Miami Dolphins,H,A,H,H,H,H,H,A,A,H
2018,5,Cleveland Browns,Baltimore Ravens,A,A,A,A,A,H,H,A,H,H
2018,5,New York Jets,Denver Broncos,A,A,A,H,A,H,A,H,H,H
2018,5,Detroit Lions,Green Bay Packers,A,H,A,H,H,H,H,H,A,H
2018,5,Kansas City Chiefs,Jacksonville Jaguars,H,H,H,H,H,H,H,H,H,H
2018,5,Los Angeles Chargers,Las Vegas Raiders,H,A,A,H,H,A,A,A,H,H
2018,5,San Francisco 49ers,Arizona Cardinals,H,A,H,H,H,H,H,H,A,A
2018,5,Philadelphia Eagles,Minnesota Vikings,H,A,A,A,A,A,A,H,H,A
2018,5,Seattle Seahawks,Los Angeles Rams,A,A,A,A,H,A,H,A,H,A
2018,5,Houston Texans,Dallas Cowboys,A,A,H,H,A,H,H,H,A,H
2018,5,New Orleans Saints,Washington Commanders,H,A,H,H,A,H,H,H,A,H
2018,6,New York Giants,Philadelphia Eagles,A,H,H,A,A,A,H,H,H,A
2018,6,Washington Commanders,Carolina Panthers,A,A,H,A,H,A,A,A,H,H
2018,6,Miami Dolphins,Chicago Bears,A,A,A,A,A,H,H,H,A,H
2018,6,Atlanta Falcons,Tampa Bay Buccaneers,A,H,A,A,A,A,A,H,H,H
2018,6,Houston Texans,Buffalo Bills,H,A,H,H,H,H,A,H,A,H
2018,6,Cincinnati Bengals,Pittsburgh Steelers,H,H,A,H,A,H,H,H,H,A
2018,6,Cleveland Browns,Los Angeles Chargers,A,H,A,A,A,H,H,A,H,A
2018,6,New York Jets,Indianapolis Colts,H,A,A,H,H,A,A,H,H,H
2018,6,Minnesota Vikings,Arizona Cardinals,H,H,H,H,H,H,H,A,A,H
2018,6,Las Vegas Raiders,Seattle Seahawks,A,H,H,A,H,H,H,H,A,A
2018,6,Denver Broncos,Los Angeles Rams,A,A,A,A,A,A,H,A,A,A
2018,6,Dallas Cowboys,Jacksonville Jaguars,A,H,A,H,H,H,A,A,H,H
2018,6,Tennessee Titans,Baltimore Ravens,H,A,A,A,A,H,H,A,H,A
2018,6,New England Patriots,Kansas City Chiefs,A,H,A,A,A,A,A,A,A,H
2018,6,Green Bay Packers,San Francisco 49ers,H,A,H,H,A,A,A,A,H,H
2018,7,Arizona Cardinals,Denver Broncos,A,H,A,A,H,H,H,A,A,A
2018,7,Los Angeles Chargers,Tennessee Titans,H,H,H,H,A,H,H,A,H,H
2018,7,Philadelphia Eagles,Carolina Panthers,A,A,H,A,A,H,A,A,A,A
2018,7,Chicago Bears,New England Patriots,A,H,A,A,H,A,A,A,H,A
2018,7,Miami Dolphins,Detroit Lions,H,A,A,A,A,H,A,H,H,A
2018,7,Indianapolis Colts,Buffalo Bills,A,A,H,H,H,H,H,H,H,H
2018,7,Tampa Bay Buccaneers,Cleveland Browns,H,H,H,H,H,H,H,A,A,H
2018,7,Jacksonville Jaguars,Houston Texans,H,H,A,A,A,A,H,H,A,A
2018,7,New York Jets,Minnesota Vikings,A,A,A,H,A,H,H,H,A,A
2018,7,Baltimore Ravens,New Orleans Saints,A,H,A,A,H,A,A,A,H,A
2018,7,Washington Commanders,Dallas Cowboys,H,A,H,H,A,H,H,H,H,H
2018,7,San Francisco 49ers,Los Angeles Rams,A,A,A,A,H,H,H,H,A,A
2018,7,Kansas City Chiefs,Cincinnati Bengals,H,A,H,H,A,H,A,H,H,H
2018,7,Atlanta Falcons,New York Giants,H,A,H,H,A,H,H,A,H,H
2018,8,Houston Texans,Miami Dolphins,H,H,H,H,H,A,A,A,H,H
2018,8,Jacksonville Jaguars,Philadelphia Eagles,H,H,A,A,A,A,H,H,A,A
2018,8,Carolina Panthers,Baltimore Ravens,H,A,A,H,A,H,H,H,H,H
2018,8,Chicago Bears,New York Jets,H,H,H,H,H,A,A,A,H,H
2018,8,Detroit Lions,Seattle Seahawks,H,A,H,H,H,H,H,H,A,A
2018,8,Cincinnati Bengals,Tampa Bay Buccaneers,H,H,A,A,A,H,A,H,H,H
2018,8,Pittsburgh Steelers,Cleveland Browns,H,A,H,H,H,A,A,A,A,H
2018,8,Kansas City Chiefs,Denver Broncos,H,A,H,H,A,H,H,H,H,H
2018,8,New York Giants,Washington Commanders,A,H,H,A,A,H,H,H,A,A
2018,8,Las Vegas Raiders,Indianapolis Colts,A,H,H,A,H,H,H,A,A,A
2018,8,Los Angeles Rams,Green Bay Packers,H,H,A,H,A,H,A,H,H,H
2018,8,Arizona Cardinals,San Francisco 49ers,H,H,A,A,H,A,A,A,H,H
2018,8,Minnesota Vikings,New Orleans Saints,A,H,H,A,H,A,A,A,H,A
2018,8,Buffalo Bills,New England Patriots,A,H,A,A,H,A,H,A,A,A
2018,9,San Francisco 49ers,Las Vegas Raiders,A,A,A,H,A,A,A,H,A,H
2018,9,Washington Commanders,Atlanta Falcons,H,A,A,A,H,A,A,A,H,A
2018,9,Carolina Panthers,Tampa Bay Buccaneers,H,A,A,A,H,A,A,H,H,H
2018,9,Minnesota Vikings,Detroit Lions,H,H,H,H,H,H,A,A,H,H
2018,9,Baltimore Ravens,Pittsburgh Steelers,A,H,A,A,H,A,A,H,H,A
2018,9,Buffalo Bills,Chicago Bears,A,H,A,A,A,A,H,H,A,A
2018,9,Cleveland Browns,Kansas City Chiefs,A,H,A,A,H,A,H,A,A,A
2018,9,Miami Dolphins,New York Jets,H,A,H,A,H,H,H,A,H,H
2018,9,Seattle Seahawks,Los Angeles Chargers,A,H,A,A,H,A,A,A,H,A
2018,9,Denver Broncos,Houston Texans,A,H,H,A,A,A,H,A,A,A
2018,9,New Orleans Saints,Los Angeles Rams,A,A,A,H,H,H,H,H,A,H
2018,9,New England Patriots,Green Bay Packers,H,H,A,H,A,H,A,H,H,H
2018,9,Dallas Cowboys,Tennessee Titans,H,H,H,H,H,A,H,A,H,A
2018,10,Pittsburgh Steelers,Carolina Panthers,A,A,H,H,A,A,A,A,A,H
2018,10,Cleveland Browns,Atlanta Falcons,A,A,A,A,H,A,A,A,A,H
2018,10,Chicago Bears,Detroit Lions,H,H,A,H,H,H,A,A,H,H
2018,10,Cincinnati Bengals,New Orleans Saints,A,H,A,A,A,H,H,A,H,A
2018,10,Indianapolis Colts,Jacksonville Jaguars,H,A,H,H,A,H,H,A,H,H
2018,10,Kansas City Chiefs,Arizona Cardinals,H,A,H,H,A,H,A,H,H,H
2018,10,Tampa Bay Buccaneers,Washington Commanders,A,H,H,H,A,H,H,A,A,A
2018,10,New York Jets,Buffalo Bills,H,A,H,H,A,H,H,H,H,A
2018,10,Tennessee Titans,New England Patriots,A,H,A,A,H,A,A,H,A,H
2018,10,Las Vegas Raiders,Los Angeles Chargers,A,H,A,A,H,H,H,H,A,A
2018,10,Green Bay Packers,Miami Dolphins,A,H,H,H,A,A,A,A,A,H
2018,10,Los Angeles Rams,Seattle Seahawks,H,A,H,H,H,H,H,H,H,H
2018,10,Philadelphia Eagles,Dallas Cowboys,H,A,H,H,A,H,H,H,H,A
