Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,AtlantaFalcons,Philadelphia Eagles,0,74.0,225.0,12.0,113.0,119.0,18.0,0.962,1,AwayTeam
2018,2,AtlantaFalcons,Carolina Panthers,0.0,122.0,248.5,21.5,117.0,218.5,21.0,0.962,1,HomeTeam
2018,3,AtlantaFalcons,New Orleans Saints,0.5,97.33,285.33,26.67,125.67,276.0,28.33,0.962,1,AwayTeam
2018,4,AtlantaFalcons,Cincinnati Bengals,0.333,96.0,314.75,29.0,119.0,284.0,30.5,0.962,2,AwayTeam
2018,5,AtlantaFalcons,Pittsburgh Steelers,0.25,89.2,304.2,26.6,121.4,277.2,32.6,0.962,2,AwayTeam
2018,6,AtlantaFalcons,Tampa Bay Buccaneers,0.2,86.0,311.33,27.83,121.33,295.83,32.0,0.962,4,HomeTeam
2018,7,AtlantaFalcons,New York Giants,0.333,83.29,317.71,27.14,112.71,306.71,30.29,0.962,3,HomeTeam
2018,9,AtlantaFalcons,Washington Redskins,0.429,92.12,320.12,28.5,108.5,304.25,28.25,0.962,3,HomeTeam
2018,10,AtlantaFalcons,Cleveland Browns,0.5,89.78,319.11,27.11,119.89,294.44,28.22,0.962,2,AwayTeam
2018,11,AtlantaFalcons,Dallas Cowboys,0.444,88.8,314.6,26.3,121.1,284.1,27.6,0.962,1,AwayTeam
2018,12,AtlantaFalcons,New Orleans Saints,0.4,83.09,316.91,25.45,123.73,273.0,27.91,0.962,-2,AwayTeam
2018,13,AtlantaFalcons,Baltimore Ravens,0.364,79.0,298.58,24.67,130.67,263.5,27.75,0.962,-2,AwayTeam
2018,14,AtlantaFalcons,Green Bay Packers,0.333,81.15,293.85,24.31,131.23,255.69,28.23,0.962,-4,AwayTeam
2018,15,AtlantaFalcons,Arizona Cardinals,0.308,90.71,288.57,25.43,126.14,251.21,27.21,0.962,-1,HomeTeam
2018,16,AtlantaFalcons,Carolina Panthers,0.357,97.6,284.87,25.33,127.13,254.13,26.07,0.962,1,HomeTeam
