Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,BaltimoreRavens,Buffalo Bills,0,117.0,252.0,47.0,83.0,70.0,3.0,0.897,1,HomeTeam
2018,2,BaltimoreRavens,Cincinnati Bengals,1.0,91.5,305.5,35.0,95.5,167.5,18.5,0.897,-2,AwayTeam
2018,3,BaltimoreRavens,Denver Broncos,0.5,86.67,292.0,32.33,103.67,169.33,17.0,0.897,-1,HomeTeam
2018,4,BaltimoreRavens,Pittsburgh Steelers,0.667,89.0,307.75,30.75,82.5,193.25,16.25,0.897,0,HomeTeam
2018,5,BaltimoreRavens,Cleveland Browns,0.75,94.4,305.0,26.4,88.4,215.4,15.4,0.897,-1,AwayTeam
2018,6,BaltimoreRavens,Tennessee Titans,0.6,99.17,293.83,25.5,82.83,188.0,12.83,0.897,-2,HomeTeam
2018,7,BaltimoreRavens,New Orleans Saints,0.667,96.0,291.0,25.14,90.14,190.43,14.43,0.897,-1,AwayTeam
2018,8,BaltimoreRavens,Carolina Panthers,0.571,96.62,282.62,24.62,98.12,195.62,17.12,0.897,-4,AwayTeam
2018,9,BaltimoreRavens,Pittsburgh Steelers,0.5,92.67,273.89,23.67,99.78,205.22,17.78,0.897,-4,AwayTeam
2018,11,BaltimoreRavens,Cincinnati Bengals,0.444,110.1,260.1,23.7,94.6,205.4,18.1,0.897,-5,HomeTeam
2018,12,BaltimoreRavens,Oakland Raiders,0.5,122.09,252.27,24.64,92.09,203.27,18.0,0.897,-6,HomeTeam
2018,13,BaltimoreRavens,Atlanta Falcons,0.545,129.17,244.5,24.75,87.25,194.42,17.83,0.897,-6,HomeTeam
2018,14,BaltimoreRavens,Kansas City Chiefs,0.583,134.15,235.46,24.69,87.77,206.23,18.54,0.897,-6,AwayTeam
2018,15,BaltimoreRavens,Tampa Bay Buccaneers,0.538,141.86,227.79,24.36,87.57,202.64,18.07,0.897,-7,HomeTeam
2018,16,BaltimoreRavens,Los Angeles Chargers,0.571,143.0,226.07,24.2,85.13,198.93,17.53,0.897,-5,HomeTeam
2018,17,BaltimoreRavens,Cleveland Browns,0.6,152.56,222.38,24.31,82.94,210.0,17.94,0.897,-3,HomeTeam
2019,1,BaltimoreRavens,Miami Dolphins,0,265.0,378.0,59.0,21.0,179.0,10.0,0.966,3,HomeTeam
2019,2,BaltimoreRavens,Arizona Cardinals,1.0,223.5,318.0,41.0,20.5,254.0,13.5,0.966,3,HomeTeam
2019,3,BaltimoreRavens,Kansas City Chiefs,1.0,216.67,295.0,36.67,60.33,290.33,20.0,0.966,3,AwayTeam
2019,4,BaltimoreRavens,Cleveland Browns,0.667,205.75,276.75,33.75,93.5,302.0,25.0,0.966,1,AwayTeam
2019,5,BaltimoreRavens,Pittsburgh Steelers,0.5,192.2,249.2,32.2,90.2,280.0,24.6,0.966,0,HomeTeam
2019,6,BaltimoreRavens,Cincinnati Bengals,0.6,205.0,245.67,30.67,80.67,269.5,23.33,0.966,0,HomeTeam
2019,7,BaltimoreRavens,Seattle Seahawks,0.667,204.14,230.71,30.57,84.29,265.43,22.29,0.966,2,HomeTeam
2019,9,BaltimoreRavens,New England Patriots,0.714,204.88,222.12,31.38,83.0,265.75,22.0,0.966,2,HomeTeam
2019,10,BaltimoreRavens,Cincinnati Bengals,0.75,197.22,224.44,33.33,91.22,252.89,21.0,0.966,4,HomeTeam
2019,11,BaltimoreRavens,Houston Texans,0.778,203.1,225.5,34.1,94.3,238.6,19.6,0.966,6,HomeTeam
