Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,CarolinaPanthers,Dallas Cowboys,0,147.0,146.0,16.0,94.0,138.0,8.0,0.905,0,HomeTeam
2018,2,CarolinaPanthers,Atlanta Falcons,1.0,134.0,232.0,20.0,132.0,205.0,19.5,0.905,0,AwayTeam
2018,3,CarolinaPanthers,Cincinnati Bengals,0.5,166.0,203.67,23.67,110.0,246.67,20.0,0.905,4,HomeTeam
2018,5,CarolinaPanthers,New York Giants,0.667,154.0,210.75,26.0,95.0,280.5,22.75,0.905,5,HomeTeam
2018,6,CarolinaPanthers,Washington Redskins,0.75,139.4,222.4,24.2,102.4,255.6,22.8,0.905,2,AwayTeam
2018,7,CarolinaPanthers,Philadelphia Eagles,0.6,136.33,227.0,23.67,95.0,260.33,21.83,0.905,3,HomeTeam
2018,8,CarolinaPanthers,Baltimore Ravens,0.667,138.86,227.71,25.43,95.86,255.14,21.71,0.905,6,HomeTeam
2018,9,CarolinaPanthers,Tampa Bay Buccaneers,0.714,143.88,227.75,27.5,94.12,250.62,22.5,0.905,8,HomeTeam
2018,10,CarolinaPanthers,Pittsburgh Steelers,0.75,138.44,218.78,26.78,99.0,258.22,25.78,0.905,6,AwayTeam
2018,11,CarolinaPanthers,Detroit Lions,0.667,130.2,230.0,26.0,98.5,253.9,25.2,0.905,5,AwayTeam
2018,12,CarolinaPanthers,Seattle Seahawks,0.6,138.36,232.36,26.09,96.36,260.09,25.64,0.905,4,AwayTeam
2018,13,CarolinaPanthers,Tampa Bay Buccaneers,0.545,140.83,236.0,25.33,96.25,256.75,25.5,0.905,1,AwayTeam
2018,14,CarolinaPanthers,Cleveland Browns,0.5,137.38,240.69,24.92,97.77,254.85,25.54,0.905,2,AwayTeam
2018,15,CarolinaPanthers,New Orleans Saints,0.462,134.57,234.14,23.79,101.86,250.29,24.57,0.905,2,AwayTeam
2018,16,CarolinaPanthers,Atlanta Falcons,0.429,135.0,238.2,22.87,108.0,249.13,24.53,0.905,0,AwayTeam
2018,17,CarolinaPanthers,New Orleans Saints,0.4,133.5,239.75,23.5,112.75,240.44,23.88,0.905,1,HomeTeam
2019,1,CarolinaPanthers,Los Angeles Rams,0,127.0,216.0,27.0,166.0,183.0,30.0,0.781,-2,AwayTeam
2019,2,CarolinaPanthers,Tampa Bay Buccaneers,0.0,83.0,264.5,20.5,133.0,186.0,25.0,0.781,-3,AwayTeam
2019,3,CarolinaPanthers,Arizona Cardinals,0.0,113.0,256.33,26.33,129.0,166.33,23.33,0.781,-2,HomeTeam
2019,4,CarolinaPanthers,Houston Texans,0.333,108.25,243.0,23.75,130.75,156.75,20.0,0.781,-3,HomeTeam
2019,5,CarolinaPanthers,Jacksonville Jaguars,0.5,143.6,226.4,25.8,134.4,197.0,21.4,0.781,0,HomeTeam
2019,6,CarolinaPanthers,Tampa Bay Buccaneers,0.6,129.5,223.5,27.67,119.0,225.0,22.17,0.781,6,HomeTeam
