Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,ChicagoBears,Green Bay Packers,0,139.0,155.0,23.0,69.0,301.0,24.0,0.767,1,AwayTeam
2018,2,ChicagoBears,Seattle Seahawks,0.0,112.5,170.0,23.5,71.5,251.5,20.5,0.767,1,HomeTeam
2018,3,ChicagoBears,Arizona Cardinals,0.5,115.67,178.0,21.0,65.33,223.67,18.33,0.767,3,HomeTeam
2018,4,ChicagoBears,Tampa Bay Buccaneers,0.667,121.5,219.5,27.75,64.0,230.5,16.25,0.767,6,HomeTeam
2018,6,ChicagoBears,Miami Dolphins,0.75,130.0,236.2,27.8,83.4,260.4,19.2,0.767,6,AwayTeam
2018,7,ChicagoBears,New England Patriots,0.6,130.67,250.0,28.33,87.5,262.5,22.33,0.767,7,AwayTeam
2018,8,ChicagoBears,New York Jets,0.5,137.57,245.14,27.71,83.14,246.43,20.57,0.767,7,HomeTeam
2018,9,ChicagoBears,Buffalo Bills,0.571,128.38,230.25,29.38,85.0,236.38,19.12,0.767,10,HomeTeam
2018,10,ChicagoBears,Detroit Lions,0.625,120.11,243.33,29.89,84.0,235.56,19.44,0.767,13,HomeTeam
2018,11,ChicagoBears,Minnesota Vikings,0.667,122.9,235.0,29.4,77.8,236.6,19.5,0.767,13,HomeTeam
2018,12,ChicagoBears,Detroit Lions,0.7,115.18,234.18,28.82,80.82,235.27,19.18,0.767,14,HomeTeam
2018,13,ChicagoBears,New York Giants,0.727,115.42,236.17,28.67,85.83,232.08,20.08,0.767,12,AwayTeam
2018,14,ChicagoBears,Los Angeles Rams,0.667,121.46,225.69,27.62,83.23,226.69,19.0,0.767,13,HomeTeam
2018,15,ChicagoBears,Green Bay Packers,0.692,119.93,226.14,27.36,83.57,227.29,18.86,0.767,13,HomeTeam
2018,16,ChicagoBears,San Francisco 49ers,0.714,117.93,226.73,26.47,81.13,227.6,18.2,0.767,12,HomeTeam
2018,17,ChicagoBears,Minnesota Vikings,0.733,121.12,222.75,26.31,80.0,219.69,17.69,0.767,12,HomeTeam
