Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,ClevelandBrowns,Pittsburgh Steelers,0,177.0,150.0,21.0,159.0,313.0,21.0,0.76,5,
2018,2,ClevelandBrowns,New Orleans Saints,0,135.0,192.0,19.5,110.5,263.0,21.0,0.76,6,AwayTeam
2018,3,ClevelandBrowns,New York Jets,0.0,134.33,191.33,20.0,109.33,229.0,19.67,0.76,9,HomeTeam
2018,4,ClevelandBrowns,Oakland Raiders,0.5,152.75,213.25,25.5,116.75,278.25,26.0,0.76,7,AwayTeam
2018,5,ClevelandBrowns,Baltimore Ravens,0.333,144.6,231.4,22.8,116.6,281.4,22.6,0.76,8,HomeTeam
2018,6,ClevelandBrowns,Los Angeles Chargers,0.5,137.67,228.5,21.33,138.17,268.33,25.17,0.76,7,AwayTeam
2018,7,ClevelandBrowns,Tampa Bay Buccaneers,0.4,135.0,222.43,21.57,134.71,278.86,25.29,0.76,10,AwayTeam
2018,8,ClevelandBrowns,Pittsburgh Steelers,0.333,127.38,215.0,21.12,138.88,275.62,26.25,0.76,11,AwayTeam
2018,9,ClevelandBrowns,Kansas City Chiefs,0.286,124.56,222.89,21.11,138.89,285.0,27.44,0.76,11,AwayTeam
2018,10,ClevelandBrowns,Atlanta Falcons,0.25,133.2,222.2,21.8,132.1,287.6,26.3,0.76,12,HomeTeam
2018,12,ClevelandBrowns,Cincinnati Bengals,0.333,128.73,225.45,23.0,131.82,283.55,25.73,0.76,14,HomeTeam
2018,13,ClevelandBrowns,Houston Texans,0.4,120.58,239.75,22.17,136.42,276.33,26.0,0.76,10,AwayTeam
2018,14,ClevelandBrowns,Carolina Panthers,0.364,120.23,239.15,22.46,133.31,277.92,25.54,0.76,9,HomeTeam
2018,15,ClevelandBrowns,Denver Broncos,0.417,121.21,234.57,22.07,126.07,275.07,24.86,0.76,9,HomeTeam
2018,16,ClevelandBrowns,Cincinnati Bengals,0.462,122.87,242.07,22.33,124.47,263.87,24.4,0.76,9,HomeTeam
2018,17,ClevelandBrowns,Baltimore Ravens,0.5,118.31,250.44,22.44,135.19,257.81,24.5,0.76,7,AwayTeam
2019,1,ClevelandBrowns,Tennessee Titans,0,102.0,244.0,13.0,123.0,216.0,43.0,0.862,-3,AwayTeam
2019,2,ClevelandBrowns,New York Jets,0.0,86.0,274.5,18.0,108.0,192.5,23.0,0.862,-3,HomeTeam
2019,3,ClevelandBrowns,Los Angeles Rams,0.5,89.0,241.33,16.33,102.0,213.0,22.0,0.862,-1,AwayTeam
2019,4,ClevelandBrowns,Baltimore Ravens,0.333,115.0,265.25,22.25,119.75,215.25,22.75,0.862,1,HomeTeam
2019,5,ClevelandBrowns,San Francisco 49ers,0.5,112.4,227.8,18.4,150.8,206.4,24.4,0.862,-3,AwayTeam
2019,6,ClevelandBrowns,Seattle Seahawks,0.4,119.83,231.33,20.0,154.0,219.33,25.67,0.862,-6,AwayTeam
2019,8,ClevelandBrowns,New England Patriots,0.333,125.43,219.86,19.0,143.29,222.14,25.86,0.862,-9,AwayTeam
2019,9,ClevelandBrowns,Denver Broncos,0.286,121.0,225.0,19.0,141.25,216.25,25.62,0.862,-8,AwayTeam
2019,10,ClevelandBrowns,Buffalo Bills,0.25,123.89,224.56,19.0,134.89,221.11,24.56,0.862,-8,HomeTeam
2019,11,ClevelandBrowns,Pittsburgh Steelers,0.333,121.9,221.0,19.2,127.2,216.8,22.8,0.862,-4,HomeTeam
2019,12,ClevelandBrowns,Miami Dolphins,0.4,124.18,230.0,21.18,124.0,214.55,22.91,0.862,-3,HomeTeam
2019,13,ClevelandBrowns,Pittsburgh Steelers,0.455,122.67,225.25,20.5,124.0,213.25,22.67,0.862,-4,AwayTeam
2019,14,ClevelandBrowns,Cincinnati Bengals,0.417,124.46,222.31,21.0,128.23,217.77,22.38,0.862,-5,HomeTeam
2019,15,ClevelandBrowns,Arizona Cardinals,0.462,126.43,223.64,21.21,135.21,217.86,23.5,0.862,-6,AwayTeam
2019,16,ClevelandBrowns,Baltimore Ravens,0.429,121.8,221.0,20.8,142.4,219.2,24.0,0.862,-6,AwayTeam
2019,17,ClevelandBrowns,Cincinnati Bengals,0.4,118.81,222.12,20.94,144.69,216.88,24.56,0.862,-8,AwayTeam
2020,1,ClevelandBrowns,Baltimore Ravens,0,138.0,168.0,6.0,111.0,270.0,38.0,0.792,-2,AwayTeam
2020,2,ClevelandBrowns,Cincinnati Bengals,0.0,176.5,193.5,20.5,89.5,277.5,34.0,0.792,-2,HomeTeam
2020,3,ClevelandBrowns,Washington Football Team,0.5,170.33,176.33,25.0,94.0,253.67,29.33,0.792,3,HomeTeam
2020,4,ClevelandBrowns,Dallas Cowboys,0.667,204.5,182.5,31.0,91.75,310.5,31.5,0.792,6,HomeTeam
2020,5,ClevelandBrowns,Indianapolis Colts,0.75,188.4,198.2,31.2,87.0,296.4,29.8,0.792,6,HomeTeam
2020,6,ClevelandBrowns,Pittsburgh Steelers,0.8,169.5,189.33,27.17,94.0,271.67,31.17,0.792,4,AwayTeam
2020,7,ClevelandBrowns,Cincinnati Bengals,0.667,157.0,207.43,28.57,92.14,288.14,31.57,0.792,5,HomeTeam
2020,8,ClevelandBrowns,Las Vegas Raiders,0.714,150.0,196.75,25.75,106.75,264.62,29.62,0.792,4,AwayTeam
2020,10,ClevelandBrowns,Houston Texans,0.625,159.0,188.78,24.0,104.89,252.22,27.11,0.792,4,HomeTeam
2020,11,ClevelandBrowns,Philadelphia Eagles,0.667,156.8,188.6,23.8,105.0,247.9,26.1,0.792,6,HomeTeam
2020,12,ClevelandBrowns,Jacksonville Jaguars,0.7,161.36,194.36,24.09,108.18,246.73,26.0,0.792,5,HomeTeam
2020,13,ClevelandBrowns,Tennessee Titans,0.727,157.75,206.5,25.5,104.33,256.92,26.75,0.792,7,HomeTeam
2020,14,ClevelandBrowns,Baltimore Ravens,0.75,156.23,217.92,26.77,114.08,249.0,28.31,0.792,6,AwayTeam
2020,15,ClevelandBrowns,New York Giants,0.692,152.64,222.79,26.29,111.21,246.5,26.71,0.792,6,HomeTeam
2020,16,ClevelandBrowns,New York Jets,0.714,145.47,224.87,25.6,112.53,243.53,26.47,0.792,4,AwayTeam
2020,17,ClevelandBrowns,Pittsburgh Steelers,0.667,148.38,221.19,25.5,110.81,247.62,26.19,0.792,5,HomeTeam
2021,1,ClevelandBrowns,Kansas City Chiefs,0,153.0,304.0,29.0,73.0,324.0,33.0,0.727,-2,AwayTeam
2021,2,ClevelandBrowns,Houston Texans,0.0,154.5,251.5,30.0,77.5,272.0,27.0,0.727,-2,HomeTeam
2021,3,ClevelandBrowns,Chicago Bears,0.5,174.67,235.33,28.67,67.0,181.67,20.0,0.727,-2,HomeTeam
2021,4,ClevelandBrowns,Minnesota Vikings,0.667,177.0,212.25,25.0,66.5,183.75,16.75,0.727,-1,HomeTeam
2021,5,ClevelandBrowns,Los Angeles Chargers,0.75,187.6,230.0,28.4,75.6,223.2,22.8,0.727,0,AwayTeam
2021,6,ClevelandBrowns,Arizona Cardinals,0.6,168.5,227.83,26.0,87.0,220.67,25.17,0.727,-3,AwayTeam
2021,7,ClevelandBrowns,Denver Broncos,0.5,170.43,223.0,24.71,80.43,215.14,23.57,0.727,-2,HomeTeam
2021,8,ClevelandBrowns,Pittsburgh Steelers,0.571,161.12,221.38,22.88,84.75,220.12,22.5,0.727,-3,AwayTeam
2021,9,ClevelandBrowns,Cincinnati Bengals,0.5,160.22,219.89,24.89,84.78,224.89,21.78,0.727,0,HomeTeam
2021,10,ClevelandBrowns,New England Patriots,0.556,154.1,209.7,23.1,94.7,229.2,24.1,0.727,-1,AwayTeam
2021,11,ClevelandBrowns,Detroit Lions,0.5,156.82,205.64,22.18,101.36,215.36,22.82,0.727,-1,HomeTeam
2021,12,ClevelandBrowns,Baltimore Ravens,0.545,147.08,207.0,21.17,105.25,210.33,22.25,0.727,1,AwayTeam
