Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,DallasCowboys,Carolina Panthers,0,94.0,138.0,8.0,147.0,146.0,16.0,0.806,0,AwayTeam
2018,2,DallasCowboys,New York Giants,0.0,116.0,149.0,14.0,91.0,183.0,14.5,0.806,1,HomeTeam
2018,3,DallasCowboys,Seattle Seahawks,0.5,132.67,145.0,13.67,98.33,182.67,17.67,0.806,-2,AwayTeam
2018,4,DallasCowboys,Detroit Lions,0.333,145.25,166.5,16.75,97.75,208.5,19.25,0.806,-2,HomeTeam
2018,5,DallasCowboys,Houston Texans,0.5,135.8,172.0,16.6,95.8,241.6,19.2,0.806,-2,AwayTeam
2018,6,DallasCowboys,Jacksonville Jaguars,0.4,147.5,172.0,20.5,90.67,224.5,17.17,0.806,0,HomeTeam
2018,7,DallasCowboys,Washington Redskins,0.5,136.86,183.14,20.0,96.29,217.43,17.57,0.806,-2,AwayTeam
2018,9,DallasCowboys,Tennessee Titans,0.429,128.75,188.38,19.25,99.88,217.12,18.88,0.806,-2,AwayTeam
2018,10,DallasCowboys,Philadelphia Eagles,0.375,133.44,194.0,20.11,96.67,231.89,19.0,0.806,-1,HomeTeam
2018,11,DallasCowboys,Atlanta Falcons,0.444,133.3,193.7,20.3,95.0,236.1,19.0,0.806,0,HomeTeam
2018,12,DallasCowboys,Washington Redskins,0.5,134.45,199.55,21.27,93.64,237.45,19.36,0.806,3,HomeTeam
2018,13,DallasCowboys,New Orleans Saints,0.545,131.5,200.33,20.58,91.25,226.92,18.58,0.806,2,HomeTeam
2018,14,DallasCowboys,Philadelphia Eagles,0.583,132.31,218.31,21.23,86.85,226.54,18.92,0.806,0,HomeTeam
2018,15,DallasCowboys,Indianapolis Colts,0.615,130.86,215.57,19.71,93.36,224.07,19.21,0.806,0,AwayTeam
2018,16,DallasCowboys,Tampa Bay Buccaneers,0.571,127.47,211.33,20.2,91.33,230.47,19.27,0.806,2,HomeTeam
2018,17,DallasCowboys,New York Giants,0.6,122.69,221.12,21.19,94.56,234.69,20.25,0.806,3,HomeTeam
2019,1,DallasCowboys,New York Giants,0,89.0,405.0,35.0,151.0,319.0,17.0,0.75,2,HomeTeam
2019,2,DallasCowboys,Washington Redskins,1.0,151.0,333.0,33.0,99.0,263.5,19.0,0.75,1,HomeTeam
2019,3,DallasCowboys,Miami Dolphins,1.0,179.0,302.33,32.33,90.0,246.0,14.67,0.75,1,HomeTeam
2019,4,DallasCowboys,New Orleans Saints,1.0,145.5,279.75,26.75,96.75,221.75,14.0,0.75,-1,AwayTeam
2019,5,DallasCowboys,Green Bay Packers,0.75,140.8,312.0,26.2,101.4,220.4,18.0,0.75,-4,AwayTeam
2019,6,DallasCowboys,New York Jets,0.6,138.83,305.0,25.5,93.83,238.0,19.0,0.75,-3,AwayTeam
2019,7,DallasCowboys,Philadelphia Eagles,0.5,146.0,291.86,27.14,96.86,228.0,17.71,0.75,0,HomeTeam
2019,9,DallasCowboys,New York Giants,0.571,149.25,287.5,28.38,97.25,220.88,17.75,0.75,1,HomeTeam
2019,10,DallasCowboys,Minnesota Vikings,0.625,138.22,299.22,27.89,103.44,219.78,18.89,0.75,0,AwayTeam
2019,11,DallasCowboys,Detroit Lions,0.556,131.9,312.7,28.6,105.2,216.9,19.7,0.75,-1,HomeTeam
2019,12,DallasCowboys,New England Patriots,0.6,129.82,303.55,26.82,104.82,213.64,19.09,0.75,-2,AwayTeam
2019,13,DallasCowboys,Buffalo Bills,0.545,127.58,305.17,25.83,106.42,215.17,19.67,0.75,-4,AwayTeam
2019,14,DallasCowboys,Chicago Bears,0.5,124.08,306.77,25.69,109.85,216.38,20.54,0.75,-2,AwayTeam
2019,15,DallasCowboys,Los Angeles Rams,0.462,134.0,300.0,27.0,103.57,220.0,20.57,0.75,-1,HomeTeam
2019,16,DallasCowboys,Philadelphia Eagles,0.5,128.67,297.13,25.8,104.53,226.2,20.33,0.75,-2,AwayTeam
2019,17,DallasCowboys,Washington Redskins,0.467,134.56,296.94,27.12,103.5,223.5,20.06,0.75,-1,HomeTeam
2020,1,DallasCowboys,Los Angeles Rams,0,136.0,244.0,17.0,153.0,269.0,20.0,0.829,1,AwayTeam
2020,2,DallasCowboys,Atlanta Falcons,0.0,130.5,344.5,28.5,133.0,268.0,29.5,0.829,-2,HomeTeam
2020,3,DallasCowboys,Seattle Seahawks,0.5,107.33,383.33,29.33,127.67,277.0,32.33,0.829,-4,AwayTeam
2020,4,DallasCowboys,Cleveland Browns,0.333,101.75,407.75,31.5,172.5,258.0,36.5,0.829,-7,AwayTeam
2020,5,DallasCowboys,New York Giants,0.25,106.6,381.4,32.6,155.8,248.6,36.0,0.829,-8,HomeTeam
2020,6,DallasCowboys,Arizona Cardinals,0.4,105.0,359.0,28.83,173.33,236.67,36.33,0.829,-12,AwayTeam
2020,7,DallasCowboys,Washington Football Team,0.333,101.86,316.14,25.14,178.29,229.86,34.71,0.829,-13,AwayTeam
2020,8,DallasCowboys,Philadelphia Eagles,0.286,105.75,293.12,23.12,170.88,214.0,33.25,0.829,-11,AwayTeam
2020,9,DallasCowboys,Pittsburgh Steelers,0.25,110.0,285.0,22.67,157.0,224.56,32.22,0.829,-13,AwayTeam
2020,11,DallasCowboys,Minnesota Vikings,0.222,117.0,276.1,23.5,153.8,232.6,31.8,0.829,-12,HomeTeam
2020,12,DallasCowboys,Washington Football Team,0.3,111.82,268.0,22.82,156.36,225.64,32.64,0.829,-13,AwayTeam
2020,13,DallasCowboys,Baltimore Ravens,0.273,111.75,268.75,22.33,167.83,215.75,32.75,0.829,-13,AwayTeam
2020,14,DallasCowboys,Cincinnati Bengals,0.25,110.92,261.23,22.92,162.69,215.15,30.77,0.829,-10,HomeTeam
2020,15,DallasCowboys,San Francisco 49ers,0.308,109.21,257.14,24.21,161.79,221.79,30.93,0.829,-6,HomeTeam
2020,16,DallasCowboys,Philadelphia Eagles,0.357,112.0,264.13,25.07,161.07,228.73,30.0,0.829,-4,HomeTeam
