Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,DenverBroncos,Seattle Seahawks,0,146.0,324.0,27.0,64.0,242.0,24.0,0.8,0,HomeTeam
2018,2,DenverBroncos,Oakland Raiders,1.0,157.0,270.5,23.5,78.0,261.5,21.5,0.8,-1,HomeTeam
2018,3,DenverBroncos,Baltimore Ravens,1.0,144.67,238.0,20.33,77.67,262.67,23.33,0.8,-2,AwayTeam
2018,4,DenverBroncos,Kansas City Chiefs,0.667,148.25,235.0,21.0,93.75,273.0,24.25,0.8,-3,AwayTeam
2018,5,DenverBroncos,New York Jets,0.5,137.0,256.8,20.0,139.6,256.2,26.2,0.8,-2,AwayTeam
2018,6,DenverBroncos,Los Angeles Rams,0.4,124.17,263.5,20.0,161.33,242.5,25.67,0.8,-2,AwayTeam
2018,7,DenverBroncos,Arizona Cardinals,0.333,125.14,251.29,23.57,148.14,229.86,23.43,0.8,2,HomeTeam
2018,8,DenverBroncos,Kansas City Chiefs,0.429,133.12,247.62,23.5,135.75,237.5,24.25,0.8,1,AwayTeam
2018,9,DenverBroncos,Houston Texans,0.375,126.67,250.44,22.78,131.56,232.44,23.67,0.8,0,AwayTeam
2018,11,DenverBroncos,Los Angeles Chargers,0.333,124.8,247.1,22.8,127.9,247.6,23.5,0.8,2,HomeTeam
2018,12,DenverBroncos,Pittsburgh Steelers,0.4,124.73,241.36,22.91,123.09,266.18,22.91,0.8,6,HomeTeam
2018,13,DenverBroncos,Cincinnati Bengals,0.455,132.5,233.17,23.0,122.08,260.83,21.83,0.8,8,HomeTeam
2018,14,DenverBroncos,San Francisco 49ers,0.5,130.23,228.38,22.31,119.15,264.23,21.69,0.8,9,AwayTeam
2018,15,DenverBroncos,Cleveland Browns,0.462,123.21,229.07,21.86,120.21,257.86,21.36,0.8,9,AwayTeam
2018,16,DenverBroncos,Oakland Raiders,0.429,121.67,227.13,21.33,119.8,251.27,21.73,0.8,7,AwayTeam
2018,17,DenverBroncos,Los Angeles Chargers,0.4,119.19,230.94,20.56,119.56,245.56,21.81,0.8,7,AwayTeam
2019,1,DenverBroncos,Oakland Raiders,0,95.0,249.0,16.0,98.0,259.0,24.0,0.853,0,AwayTeam
2019,2,DenverBroncos,Chicago Bears,0.0,92.5,265.5,15.0,125.5,189.5,20.0,0.853,-1,AwayTeam
2019,3,DenverBroncos,Green Bay Packers,0.0,111.33,230.67,15.33,109.33,204.67,22.33,0.853,-4,AwayTeam
2019,4,DenverBroncos,Jacksonville Jaguars,0.0,100.5,248.75,17.5,149.25,200.0,23.25,0.853,-5,AwayTeam
2019,5,DenverBroncos,Los Angeles Chargers,0.0,118.6,230.8,18.0,126.4,202.2,21.2,0.853,-4,HomeTeam
2019,6,DenverBroncos,Tennessee Titans,0.2,116.0,220.17,17.67,111.83,196.0,17.67,0.853,-2,HomeTeam
2019,7,DenverBroncos,Kansas City Chiefs,0.333,109.57,207.86,16.0,107.29,195.29,19.43,0.853,-3,AwayTeam
2019,8,DenverBroncos,Indianapolis Colts,0.286,110.0,202.62,15.62,109.75,194.75,18.88,0.853,-2,AwayTeam
2019,9,DenverBroncos,Cleveland Browns,0.25,111.89,199.56,16.56,107.56,202.11,18.89,0.853,-3,HomeTeam
2019,11,DenverBroncos,Minnesota Vikings,0.333,113.1,206.6,17.2,100.5,210.3,19.7,0.853,-2,AwayTeam
2019,12,DenverBroncos,Buffalo Bills,0.3,110.55,192.27,15.91,113.55,207.55,19.73,0.853,-2,AwayTeam
2019,13,DenverBroncos,Los Angeles Chargers,0.273,108.33,187.42,16.5,113.67,210.58,19.75,0.853,-1,HomeTeam
2019,14,DenverBroncos,Houston Texans,0.333,106.92,196.15,18.15,115.23,215.92,20.08,0.853,1,HomeTeam
2019,15,DenverBroncos,Kansas City Chiefs,0.385,103.0,196.36,17.07,113.57,223.86,20.29,0.853,1,AwayTeam
2019,16,DenverBroncos,Detroit Lions,0.357,106.13,196.47,17.73,112.4,215.27,20.07,0.853,1,HomeTeam
2019,17,DenverBroncos,Oakland Raiders,0.4,103.88,194.69,17.62,111.44,225.56,19.75,0.853,1,HomeTeam
2020,1,DenverBroncos,Tennessee Titans,0,107.0,216.0,14.0,130.0,247.0,16.0,0.8,-1,AwayTeam
2020,2,DenverBroncos,Pittsburgh Steelers,0.0,105.5,215.5,17.5,119.5,274.0,21.0,0.8,-1,AwayTeam
2020,3,DenverBroncos,Tampa Bay Buccaneers,0.0,84.33,205.0,15.0,102.33,277.67,23.33,0.8,-3,AwayTeam
2020,4,DenverBroncos,New York Jets,0.0,92.5,214.25,20.5,109.0,256.25,24.5,0.8,-6,HomeTeam
2020,6,DenverBroncos,New England Patriots,0.25,101.0,204.2,20.0,110.6,239.2,22.0,0.8,-5,HomeTeam
2020,7,DenverBroncos,Kansas City Chiefs,0.4,113.67,209.17,19.33,109.0,230.17,25.5,0.8,-8,AwayTeam
2020,8,DenverBroncos,Los Angeles Chargers,0.333,112.86,214.0,21.0,123.43,236.57,26.14,0.8,-7,HomeTeam
2020,9,DenverBroncos,Atlanta Falcons,0.429,111.62,225.0,21.75,119.5,240.88,27.12,0.8,-7,AwayTeam
2020,10,DenverBroncos,Las Vegas Raiders,0.375,106.56,227.44,20.67,128.78,231.22,28.22,0.8,-12,AwayTeam
2020,11,DenverBroncos,Miami Dolphins,0.333,114.8,231.7,20.6,121.5,224.8,26.7,0.8,-13,HomeTeam
2020,12,DenverBroncos,New Orleans Saints,0.4,113.45,211.73,19.0,131.27,210.09,27.09,0.8,-15,AwayTeam
2020,13,DenverBroncos,Kansas City Chiefs,0.364,118.92,206.67,18.75,131.5,218.67,26.67,0.8,-17,AwayTeam
2020,14,DenverBroncos,Carolina Panthers,0.333,117.15,211.46,19.77,131.0,220.69,26.69,0.8,-18,HomeTeam
2020,15,DenverBroncos,Buffalo Bills,0.385,118.79,204.57,19.71,134.64,230.07,28.21,0.8,-18,AwayTeam
2020,16,DenverBroncos,Los Angeles Chargers,0.357,119.73,208.47,19.47,131.6,229.87,27.6,0.8,-20,AwayTeam
2020,17,DenverBroncos,Las Vegas Raiders,0.333,119.88,215.69,20.19,130.0,237.94,27.88,0.8,-16,AwayTeam
2021,1,DenverBroncos,New York Giants,0,165.0,255.0,27.0,60.0,254.0,13.0,0.839,0,HomeTeam
2021,2,DenverBroncos,Jacksonville Jaguars,1.0,130.5,278.5,25.0,67.5,184.0,13.0,0.839,2,HomeTeam
2021,3,DenverBroncos,New York Jets,1.0,127.0,260.0,25.33,59.33,162.33,8.67,0.839,3,HomeTeam
2021,4,DenverBroncos,Baltimore Ravens,1.0,121.75,232.0,20.75,70.0,197.75,12.25,0.839,2,AwayTeam
2021,5,DenverBroncos,Pittsburgh Steelers,0.75,118.6,239.2,20.4,85.4,207.0,15.2,0.839,2,AwayTeam
2021,6,DenverBroncos,Las Vegas Raiders,0.6,117.5,250.83,21.0,85.5,229.17,18.33,0.839,-2,AwayTeam
2021,7,DenverBroncos,Cleveland Browns,0.5,106.57,241.0,20.0,99.29,224.14,18.14,0.839,-3,AwayTeam
2021,8,DenverBroncos,Washington Football Team,0.429,103.62,234.62,19.62,100.88,224.88,17.12,0.839,-2,HomeTeam
2021,9,DenverBroncos,Dallas Cowboys,0.5,113.22,232.67,20.78,98.33,223.44,17.0,0.839,0,HomeTeam
2021,10,DenverBroncos,Philadelphia Eagles,0.556,111.5,230.6,20.0,110.1,218.1,18.3,0.839,0,AwayTeam
2021,12,DenverBroncos,Los Angeles Chargers,0.5,114.73,223.73,20.73,106.64,224.18,17.82,0.839,1,HomeTeam
2021,13,DenverBroncos,Kansas City Chiefs,0.545,118.0,225.92,19.75,105.17,220.33,18.17,0.839,-1,AwayTeam
2021,14,DenverBroncos,Detroit Lions,0.5,123.08,221.92,21.15,106.15,218.62,17.54,0.839,1,HomeTeam
2021,15,DenverBroncos,Cincinnati Bengals,0.538,123.79,217.43,20.36,106.64,212.71,17.36,0.839,0,AwayTeam
2021,16,DenverBroncos,Las Vegas Raiders,0.5,116.73,212.27,19.87,110.2,210.67,17.33,0.839,3,AwayTeam
2021,17,DenverBroncos,Los Angeles Chargers,0.467,114.62,213.75,19.44,109.81,212.31,18.38,0.839,2,AwayTeam
2021,18,DenverBroncos,Kansas City Chiefs,0.438,119.12,211.35,19.71,111.29,214.82,18.94,0.839,1,AwayTeam
2022,1,DenverBroncos,Seattle Seahawks,0,103.0,330.0,16.0,76.0,177.0,17.0,0.778,-1,AwayTeam
2022,2,DenverBroncos,Houston Texans,0.0,126.0,265.5,16.0,78.0,165.5,13.0,0.778,-2,HomeTeam
2022,3,DenverBroncos,San Francisco 49ers,0.5,117.67,230.33,14.33,81.33,170.0,12.0,0.778,1,HomeTeam
