Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,DetroitLions,New York Jets,0,39.0,300.0,17.0,169.0,180.0,48.0,0.875,-3,AwayTeam
2018,2,DetroitLions,San Francisco 49ers,0.0,68.5,314.5,22.0,179.5,168.0,39.0,0.875,-4,AwayTeam
2018,3,DetroitLions,New England Patriots,0.0,98.67,294.67,23.33,149.33,152.0,29.33,0.875,-4,HomeTeam
2018,4,DetroitLions,Dallas Cowboys,0.333,98.0,292.5,23.5,157.75,171.75,28.5,0.875,-4,AwayTeam
2018,5,DetroitLions,Green Bay Packers,0.25,97.2,268.0,25.0,145.8,222.0,27.4,0.875,-1,HomeTeam
2018,7,DetroitLions,Miami Dolphins,0.4,122.33,258.17,26.17,139.33,220.83,26.33,0.875,-1,HomeTeam
2018,8,DetroitLions,Seattle Seahawks,0.5,109.71,263.71,24.43,144.57,223.14,26.57,0.875,-4,AwayTeam
2018,9,DetroitLions,Minnesota Vikings,0.429,104.25,248.62,22.5,142.5,214.62,26.25,0.875,-3,AwayTeam
2018,10,DetroitLions,Chicago Bears,0.375,101.11,246.44,22.44,132.67,229.44,27.11,0.875,-6,AwayTeam
2018,11,DetroitLions,Carolina Panthers,0.333,100.4,243.3,22.2,125.0,239.6,26.3,0.875,-5,HomeTeam
2018,12,DetroitLions,Chicago Bears,0.4,101.36,241.36,21.64,117.09,238.36,26.0,0.875,-6,AwayTeam
2018,13,DetroitLions,Los Angeles Rams,0.364,101.42,238.58,21.17,119.75,234.75,26.33,0.875,-6,AwayTeam
2018,14,DetroitLions,Arizona Cardinals,0.333,103.0,227.62,20.85,115.23,233.46,24.54,0.875,-6,HomeTeam
2018,15,DetroitLions,Buffalo Bills,0.385,103.14,226.21,20.29,115.36,230.71,23.79,0.875,-6,AwayTeam
2018,16,DetroitLions,Minnesota Vikings,0.357,102.0,220.27,19.53,114.33,231.33,24.0,0.875,-6,AwayTeam
2018,17,DetroitLions,Green Bay Packers,0.333,103.75,223.5,20.25,110.06,224.94,22.5,0.875,-5,HomeTeam
2019,1,DetroitLions,Arizona Cardinals,0,116.0,361.0,27.0,112.0,275.0,27.0,0.839,-1,
2019,2,DetroitLions,Los Angeles Chargers,0,105.0,303.0,20.0,124.5,281.0,18.5,0.839,-1,HomeTeam
2019,3,DetroitLions,Philadelphia Eagles,1.0,98.67,269.0,22.33,125.33,269.33,20.33,0.839,1,HomeTeam
2019,4,DetroitLions,Kansas City Chiefs,1.0,120.5,267.0,24.25,124.75,280.75,23.75,0.839,2,AwayTeam
2019,6,DetroitLions,Green Bay Packers,0.667,107.6,262.2,23.8,133.8,280.0,23.6,0.839,5,AwayTeam
2019,7,DetroitLions,Minnesota Vikings,0.5,103.17,277.17,24.83,139.17,289.67,26.67,0.839,4,AwayTeam
2019,8,DetroitLions,New York Giants,0.4,96.86,282.71,25.71,130.71,289.71,26.57,0.839,3,HomeTeam
2019,9,DetroitLions,Oakland Raiders,0.5,96.0,295.25,25.5,135.75,288.38,27.12,0.839,1,AwayTeam
2019,10,DetroitLions,Chicago Bears,0.429,96.22,291.22,24.11,129.67,272.44,26.33,0.839,0,AwayTeam
2019,11,DetroitLions,Dallas Cowboys,0.375,98.7,281.2,24.4,124.2,288.6,27.2,0.839,1,AwayTeam
2019,12,DetroitLions,Washington Redskins,0.333,105.64,272.82,23.64,120.73,275.45,26.45,0.839,-1,AwayTeam
2019,13,DetroitLions,Chicago Bears,0.3,105.58,271.67,23.33,118.0,280.08,26.25,0.839,-1,AwayTeam
2019,14,DetroitLions,Minnesota Vikings,0.273,102.85,263.15,22.08,118.15,276.54,25.77,0.839,-3,AwayTeam
2019,15,DetroitLions,Tampa Bay Buccaneers,0.25,98.71,262.21,21.71,113.21,288.64,26.64,0.839,-5,AwayTeam
2019,16,DetroitLions,Denver Broncos,0.231,98.53,251.07,21.4,115.67,282.6,26.67,0.839,-5,AwayTeam
2019,17,DetroitLions,Green Bay Packers,0.214,103.06,243.75,21.31,115.94,284.44,26.44,0.839,-5,AwayTeam
2020,1,DetroitLions,Chicago Bears,0,138.0,288.0,23.0,149.0,214.0,27.0,0.75,-1,AwayTeam
2020,2,DetroitLions,Green Bay Packers,0.0,113.5,253.0,22.0,204.0,221.5,34.5,0.75,-2,AwayTeam
2020,3,DetroitLions,Arizona Cardinals,0.0,105.67,246.0,23.33,172.33,237.0,30.67,0.75,1,HomeTeam
2020,4,DetroitLions,New Orleans Saints,0.333,101.75,232.25,24.75,170.25,234.75,31.75,0.75,1,AwayTeam
2020,6,DetroitLions,Jacksonville Jaguars,0.25,117.4,230.4,26.6,145.0,234.0,28.6,0.75,2,HomeTeam
2020,7,DetroitLions,Atlanta Falcons,0.4,108.5,245.67,26.0,131.83,248.67,27.5,0.75,3,HomeTeam
2020,8,DetroitLions,Indianapolis Colts,0.5,97.14,253.0,25.29,130.0,248.43,29.43,0.75,1,AwayTeam
2020,9,DetroitLions,Minnesota Vikings,0.429,101.12,257.88,24.62,148.12,243.88,30.0,0.75,-2,AwayTeam
2020,10,DetroitLions,Washington Football Team,0.375,101.56,258.89,25.22,141.56,258.44,29.67,0.75,-1,HomeTeam
2020,11,DetroitLions,Carolina Panthers,0.444,95.4,247.5,22.7,139.0,258.4,28.7,0.75,0,AwayTeam
2020,12,DetroitLions,Houston Texans,0.4,96.64,250.36,22.91,133.36,262.82,29.82,0.75,-2,AwayTeam
2020,13,DetroitLions,Chicago Bears,0.364,93.58,262.83,23.83,133.92,261.67,29.83,0.75,-2,HomeTeam
2020,14,DetroitLions,Green Bay Packers,0.417,90.31,261.23,23.85,132.85,263.85,29.92,0.75,-2,AwayTeam
2020,15,DetroitLions,Tennessee Titans,0.385,92.64,264.5,23.93,137.29,264.14,31.07,0.75,-5,AwayTeam
2020,16,DetroitLions,Tampa Bay Buccaneers,0.357,91.33,254.4,22.8,135.53,278.33,32.13,0.75,-7,AwayTeam
2020,17,DetroitLions,Minnesota Vikings,0.333,93.69,256.5,23.56,134.88,284.88,32.44,0.75,-9,AwayTeam
2021,1,DetroitLions,San Francisco 49ers,0,116.0,314.0,33.0,131.0,311.0,41.0,0.867,1,AwayTeam
2021,2,DetroitLions,Green Bay Packers,0.0,112.0,275.0,25.0,113.5,269.0,38.0,0.867,-1,AwayTeam
2021,3,DetroitLions,Baltimore Ravens,0.0,105.67,247.33,22.33,114.33,269.67,31.67,0.867,0,AwayTeam
2021,4,DetroitLions,Chicago Bears,0.0,101.75,250.75,20.25,132.75,248.5,29.75,0.867,-1,AwayTeam
2021,5,DetroitLions,Minnesota Vikings,0.0,103.0,236.6,19.6,130.2,251.6,27.6,0.867,-1,AwayTeam
