Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,GreenBayPackers,Chicago Bears,0,69.0,301.0,24.0,139.0,155.0,23.0,0.811,-1,HomeTeam
2018,2,GreenBayPackers,Minnesota Vikings,1.0,83.5,277.0,26.5,103.5,283.5,26.0,0.811,0,
2018,3,GreenBayPackers,Washington Redskins,1.0,89.0,264.67,23.33,124.33,262.33,27.67,0.811,0,AwayTeam
2018,4,GreenBayPackers,Buffalo Bills,0.5,102.0,269.0,23.0,107.75,218.5,20.75,0.811,1,HomeTeam
2018,5,GreenBayPackers,Detroit Lions,0.667,101.2,299.8,23.0,105.0,208.8,22.8,0.811,-2,AwayTeam
2018,6,GreenBayPackers,San Francisco 49ers,0.5,103.67,317.33,24.67,116.5,211.83,24.0,0.811,1,HomeTeam
2018,8,GreenBayPackers,Los Angeles Rams,0.6,104.0,308.14,25.0,119.14,221.71,24.71,0.811,0,AwayTeam
2018,9,GreenBayPackers,New England Patriots,0.5,105.62,300.88,24.0,119.62,232.75,25.5,0.811,-1,AwayTeam
2018,10,GreenBayPackers,Miami Dolphins,0.429,115.56,287.67,24.78,120.89,225.0,24.0,0.811,0,HomeTeam
2018,11,GreenBayPackers,Seattle Seahawks,0.5,108.8,290.0,24.7,126.1,223.0,24.3,0.811,1,AwayTeam
2018,12,GreenBayPackers,Minnesota Vikings,0.444,106.36,279.27,24.0,122.91,232.27,24.27,0.811,0,AwayTeam
2018,13,GreenBayPackers,Arizona Cardinals,0.4,105.67,274.92,23.42,127.83,224.0,23.92,0.811,0,AwayTeam
2018,14,GreenBayPackers,Atlanta Falcons,0.364,108.15,266.23,24.23,126.23,225.0,23.62,0.811,2,HomeTeam
2018,15,GreenBayPackers,Chicago Bears,0.417,106.71,264.0,23.71,124.36,225.5,23.64,0.811,2,AwayTeam
2018,16,GreenBayPackers,New York Jets,0.385,108.07,273.93,25.07,119.2,232.0,24.6,0.811,1,HomeTeam
2018,17,GreenBayPackers,Detroit Lions,0.429,104.19,264.88,23.5,119.88,234.5,25.0,0.811,0,AwayTeam
2019,1,GreenBayPackers,Chicago Bears,0,47.0,166.0,10.0,46.0,208.0,3.0,0.917,1,HomeTeam
2019,2,GreenBayPackers,Minnesota Vikings,1.0,95.5,178.5,15.5,122.0,215.5,9.5,0.917,3,HomeTeam
2019,3,GreenBayPackers,Denver Broncos,1.0,89.33,197.33,19.33,131.0,197.33,11.67,0.917,6,HomeTeam
2019,4,GreenBayPackers,Philadelphia Eagles,1.0,86.25,251.5,21.25,142.25,188.0,17.25,0.917,4,AwayTeam
2019,5,GreenBayPackers,Dallas Cowboys,0.75,93.0,244.2,23.8,138.2,238.6,18.6,0.917,7,HomeTeam
