Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,IndianapolisColts,Cincinnati Bengals,0,75.0,305.0,23.0,101.0,229.0,34.0,0.852,0,AwayTeam
2018,2,IndianapolisColts,Washington Redskins,0.0,89.5,241.0,22.0,83.0,249.0,21.5,0.852,-1,HomeTeam
2018,3,IndianapolisColts,Philadelphia Eagles,0.5,82.33,207.67,20.0,106.0,241.67,21.0,0.852,1,AwayTeam
2018,4,IndianapolisColts,Houston Texans,0.333,72.0,265.0,23.5,109.25,268.0,25.0,0.852,0,AwayTeam
2018,5,IndianapolisColts,New England Patriots,0.25,74.4,283.0,23.6,106.8,282.6,27.6,0.852,-1,AwayTeam
2018,6,IndianapolisColts,New York Jets,0.2,83.17,286.0,25.33,106.83,280.0,30.0,0.852,-3,AwayTeam
2018,7,IndianapolisColts,Buffalo Bills,0.167,102.71,267.43,27.0,110.86,264.0,26.43,0.852,2,HomeTeam
2018,8,IndianapolisColts,Oakland Raiders,0.286,117.62,263.88,28.88,109.88,261.5,26.62,0.852,3,HomeTeam
2018,10,IndianapolisColts,Jacksonville Jaguars,0.375,113.56,266.22,28.89,107.78,268.44,26.56,0.852,3,HomeTeam
2018,11,IndianapolisColts,Tennessee Titans,0.444,112.4,269.1,29.8,106.1,259.2,24.9,0.852,5,HomeTeam
2018,12,IndianapolisColts,Miami Dolphins,0.5,112.91,275.27,29.55,106.73,253.91,24.82,0.852,3,HomeTeam
2018,13,IndianapolisColts,Jacksonville Jaguars,0.545,106.92,271.0,27.08,104.42,243.75,23.25,0.852,2,AwayTeam
2018,14,IndianapolisColts,Houston Texans,0.5,102.54,279.85,26.85,103.23,242.38,23.08,0.852,1,HomeTeam
2018,15,IndianapolisColts,Dallas Cowboys,0.538,107.93,273.57,26.57,103.86,237.93,21.43,0.852,1,HomeTeam
2018,16,IndianapolisColts,New York Giants,0.571,104.0,278.87,26.67,102.47,242.67,21.8,0.852,1,HomeTeam
2018,17,IndianapolisColts,Tennessee Titans,0.6,107.38,278.81,27.06,101.88,237.81,21.5,0.852,2,HomeTeam
2019,1,IndianapolisColts,Los Angeles Chargers,0,203.0,173.0,24.0,125.0,310.0,30.0,0.71,2,AwayTeam
2019,2,IndianapolisColts,Tennessee Titans,0.0,185.0,147.0,21.5,124.5,214.5,23.5,0.71,0,HomeTeam
2019,3,IndianapolisColts,Atlanta Falcons,0.5,149.67,198.0,23.33,114.0,244.33,23.67,0.71,1,HomeTeam
2019,4,IndianapolisColts,Oakland Raiders,0.667,132.5,214.75,23.5,132.5,230.5,25.5,0.71,0,AwayTeam
