Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,KansasCityChiefs,Los Angeles Chargers,0,106.0,256.0,38.0,123.0,418.0,28.0,0.889,2,HomeTeam
2018,2,KansasCityChiefs,Pittsburgh Steelers,1.0,116.5,289.0,40.0,78.0,430.0,32.5,0.889,1,HomeTeam
2018,3,KansasCityChiefs,San Francisco 49ers,1.0,103.33,295.0,39.33,111.33,362.67,30.67,0.889,1,HomeTeam
2018,4,KansasCityChiefs,Denver Broncos,1.0,113.0,297.25,36.25,123.25,328.5,28.75,0.889,2,HomeTeam
2018,5,KansasCityChiefs,Jacksonville Jaguars,1.0,115.6,297.4,35.0,118.8,343.0,25.8,0.889,5,HomeTeam
2018,6,KansasCityChiefs,New England Patriots,1.0,112.0,306.5,35.83,127.83,340.33,28.67,0.889,4,AwayTeam
2018,7,KansasCityChiefs,Cincinnati Bengals,0.833,124.29,313.14,37.14,118.86,316.57,26.0,0.889,4,HomeTeam
2018,8,KansasCityChiefs,Denver Broncos,0.857,114.88,310.38,36.25,127.62,304.75,25.62,0.889,5,HomeTeam
2018,9,KansasCityChiefs,Cleveland Browns,0.875,117.56,315.89,36.33,124.78,302.67,25.11,0.889,5,HomeTeam
2018,10,KansasCityChiefs,Arizona Cardinals,0.889,117.6,305.5,35.3,121.7,289.0,24.0,0.889,7,HomeTeam
2018,11,KansasCityChiefs,Los Angeles Rams,0.9,115.82,318.45,36.73,117.55,297.18,26.73,0.889,4,AwayTeam
2018,13,KansasCityChiefs,Oakland Raiders,0.818,120.67,316.5,37.0,122.0,295.0,27.25,0.889,6,HomeTeam
2018,14,KansasCityChiefs,Baltimore Ravens,0.833,118.62,318.92,36.23,127.54,282.08,27.0,0.889,6,HomeTeam
2018,15,KansasCityChiefs,Los Angeles Chargers,0.846,114.43,312.86,35.64,126.93,282.5,27.14,0.889,8,AwayTeam
2018,16,KansasCityChiefs,Seattle Seahawks,0.786,117.07,309.67,35.33,132.47,280.6,27.87,0.889,6,AwayTeam
2018,17,KansasCityChiefs,Oakland Raiders,0.733,115.94,309.69,35.31,132.12,273.38,26.31,0.889,9,HomeTeam
2019,1,KansasCityChiefs,Jacksonville Jaguars,0,113.0,378.0,40.0,81.0,347.0,26.0,0.895,2,HomeTeam
2019,2,KansasCityChiefs,Oakland Raiders,1.0,72.0,407.0,34.0,105.0,262.5,18.0,0.895,3,HomeTeam
2019,3,KansasCityChiefs,Baltimore Ravens,1.0,94.67,392.33,33.67,137.67,258.0,21.33,0.895,3,HomeTeam
2019,4,KansasCityChiefs,Detroit Lions,1.0,101.75,373.0,33.75,149.75,258.75,23.5,0.895,2,HomeTeam
2019,5,KansasCityChiefs,Indianapolis Colts,1.0,88.6,356.0,29.6,155.8,237.2,22.6,0.895,2,AwayTeam
2019,6,KansasCityChiefs,Houston Texans,0.8,82.67,339.33,28.67,161.83,244.33,24.0,0.895,3,AwayTeam
