Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,LosAngelesChargers,Kansas City Chiefs,0,123.0,418.0,28.0,106.0,256.0,38.0,0.828,-2,AwayTeam
2018,2,LosAngelesChargers,Buffalo Bills,0.0,116.0,329.0,29.5,95.0,232.5,29.0,0.828,0,HomeTeam
2018,3,LosAngelesChargers,Los Angeles Rams,0.5,124.33,291.0,27.33,120.33,271.67,31.0,0.828,0,AwayTeam
2018,4,LosAngelesChargers,San Francisco 49ers,0.333,124.75,278.75,27.75,109.25,275.75,30.0,0.828,1,HomeTeam
2018,5,LosAngelesChargers,Oakland Raiders,0.5,115.6,289.6,27.4,95.6,270.2,26.0,0.828,3,HomeTeam
2018,6,LosAngelesChargers,Cleveland Browns,0.6,137.33,275.17,29.17,96.83,260.83,24.0,0.828,4,HomeTeam
2018,7,LosAngelesChargers,Tennessee Titans,0.667,124.43,278.29,27.86,106.43,255.86,23.29,0.828,5,HomeTeam
2018,9,LosAngelesChargers,Seattle Seahawks,0.714,128.88,270.38,27.5,112.38,249.12,22.5,0.828,6,HomeTeam
2018,10,LosAngelesChargers,Oakland Raiders,0.75,127.11,265.0,26.67,112.56,244.0,20.67,0.828,6,HomeTeam
2018,11,LosAngelesChargers,Denver Broncos,0.778,123.9,276.9,26.2,112.1,241.3,20.9,0.828,4,AwayTeam
2018,12,LosAngelesChargers,Arizona Cardinals,0.7,128.82,273.18,27.91,107.55,227.27,19.91,0.828,4,HomeTeam
2018,13,LosAngelesChargers,Pittsburgh Steelers,0.727,125.17,274.25,28.33,104.0,230.92,20.75,0.828,5,HomeTeam
2018,14,LosAngelesChargers,Cincinnati Bengals,0.75,122.08,268.77,28.15,107.08,224.77,20.77,0.828,5,HomeTeam
2018,15,LosAngelesChargers,Kansas City Chiefs,0.769,121.86,270.14,28.21,103.71,225.43,21.29,0.828,3,HomeTeam
2018,16,LosAngelesChargers,Baltimore Ravens,0.786,117.13,261.93,27.0,107.4,223.87,21.33,0.828,1,AwayTeam
2018,17,LosAngelesChargers,Denver Broncos,0.733,117.06,255.56,26.75,105.81,227.88,20.56,0.828,1,HomeTeam
2019,1,LosAngelesChargers,Indianapolis Colts,0,125.0,310.0,30.0,203.0,173.0,24.0,0.765,-2,HomeTeam
2019,2,LosAngelesChargers,Detroit Lions,1.0,131.0,298.5,20.0,148.5,209.0,18.5,0.765,-2,AwayTeam
