Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,LosAngelesRams,Oakland Raiders,0,140.0,225.0,33.0,95.0,300.0,13.0,0.829,3,HomeTeam
2018,2,LosAngelesRams,Arizona Cardinals,1.0,115.0,283.5,33.5,74.5,191.5,6.5,0.829,3,HomeTeam
2018,3,LosAngelesRams,Los Angeles Chargers,1.0,133.67,305.67,34.0,96.67,199.33,12.0,0.829,3,HomeTeam
2018,4,LosAngelesRams,Minnesota Vikings,1.0,125.25,343.25,35.0,86.0,247.5,16.75,0.829,4,HomeTeam
2018,5,LosAngelesRams,Seattle Seahawks,1.0,131.2,337.2,34.6,106.8,234.6,19.6,0.829,2,HomeTeam
2018,6,LosAngelesRams,Denver Broncos,1.0,154.33,310.0,32.67,99.0,245.0,19.67,0.829,2,HomeTeam
2018,7,LosAngelesRams,San Francisco 49ers,1.0,153.14,293.29,33.57,100.14,227.29,18.29,0.829,6,HomeTeam
2018,8,LosAngelesRams,Green Bay Packers,1.0,150.88,291.75,33.0,100.88,230.5,19.38,0.829,7,HomeTeam
2018,9,LosAngelesRams,New Orleans Saints,1.0,144.33,302.78,33.22,105.33,243.33,22.22,0.829,7,AwayTeam
2018,10,LosAngelesRams,Seattle Seahawks,0.889,144.8,303.2,33.5,122.1,233.1,23.1,0.829,8,HomeTeam
2018,11,LosAngelesRams,Kansas City Chiefs,0.9,138.55,310.09,35.36,119.91,252.64,25.64,0.829,11,HomeTeam
2018,13,LosAngelesRams,Detroit Lions,0.909,139.42,300.5,34.92,118.42,248.92,24.83,0.829,11,HomeTeam
2018,14,LosAngelesRams,Chicago Bears,0.917,132.69,289.85,32.69,124.23,237.46,24.08,0.829,10,AwayTeam
2018,15,LosAngelesRams,Philadelphia Eagles,0.846,129.07,292.36,32.0,123.29,239.79,24.5,0.829,8,AwayTeam
2018,16,LosAngelesRams,Arizona Cardinals,0.786,138.4,285.67,31.93,122.0,234.4,23.47,0.829,7,HomeTeam
2018,17,LosAngelesRams,San Francisco 49ers,0.8,139.44,281.69,32.94,122.31,236.25,24.0,0.829,11,HomeTeam
2019,1,LosAngelesRams,Carolina Panthers,0,166.0,183.0,30.0,127.0,216.0,27.0,0.727,2,HomeTeam
2019,2,LosAngelesRams,New Orleans Saints,1.0,140.5,224.0,28.5,92.0,201.5,18.0,0.727,2,HomeTeam
2019,3,LosAngelesRams,Cleveland Browns,1.0,123.67,234.0,25.67,93.0,192.67,16.33,0.727,0,HomeTeam
2019,4,LosAngelesRams,Tampa Bay Buccaneers,1.0,99.75,298.0,29.25,91.75,238.5,26.0,0.727,-3,AwayTeam
2019,5,LosAngelesRams,Seattle Seahawks,0.75,96.2,317.4,29.2,106.8,243.2,26.8,0.727,-4,AwayTeam
2019,6,LosAngelesRams,San Francisco 49ers,0.6,98.33,272.5,25.5,105.5,241.33,25.67,0.727,-3,AwayTeam
2019,7,LosAngelesRams,Atlanta Falcons,0.5,97.14,275.14,27.14,95.86,233.43,23.43,0.727,0,HomeTeam
2019,8,LosAngelesRams,Cincinnati Bengals,0.571,97.25,287.25,26.75,96.88,241.38,21.75,0.727,0,HomeTeam
2019,10,LosAngelesRams,Pittsburgh Steelers,0.625,96.22,279.56,25.11,90.78,240.22,21.22,0.727,-2,AwayTeam
2019,11,LosAngelesRams,Chicago Bears,0.556,97.6,268.9,24.3,89.1,235.5,19.8,0.727,-3,HomeTeam
2019,12,LosAngelesRams,Baltimore Ravens,0.6,90.73,262.55,22.64,106.91,231.82,22.09,0.727,-5,AwayTeam
2019,13,LosAngelesRams,Arizona Cardinals,0.545,94.17,275.42,23.58,104.17,222.83,20.83,0.727,-4,HomeTeam
2019,14,LosAngelesRams,Seattle Seahawks,0.583,99.38,276.77,23.92,104.31,221.23,20.15,0.727,-5,HomeTeam
2019,15,LosAngelesRams,Dallas Cowboys,0.615,93.86,276.07,23.71,115.64,220.57,21.86,0.727,-6,AwayTeam
