Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,MinnesotaVikings,San Francisco 49ers,0,116.0,227.0,24.0,90.0,237.0,16.0,0.688,3,HomeTeam
2018,2,MinnesotaVikings,Green Bay Packers,1.0,92.0,319.5,26.5,94.0,245.0,22.5,0.688,2,
2018,3,MinnesotaVikings,Buffalo Bills,1.0,66.0,305.67,19.67,105.33,218.0,24.0,0.688,-1,AwayTeam
2018,4,MinnesotaVikings,Los Angeles Rams,0.5,63.0,327.25,22.5,104.0,277.5,27.5,0.688,-2,AwayTeam
2018,5,MinnesotaVikings,Philadelphia Eagles,0.333,65.8,321.4,22.6,99.4,278.6,26.2,0.688,-1,HomeTeam
2018,6,MinnesotaVikings,Arizona Cardinals,0.5,87.33,303.83,23.33,92.83,266.83,24.67,0.688,-1,HomeTeam
2018,7,MinnesotaVikings,New York Jets,0.6,87.43,293.0,25.29,89.71,256.14,23.57,0.688,3,HomeTeam
2018,8,MinnesotaVikings,New Orleans Saints,0.667,87.12,298.62,24.62,91.75,244.62,24.38,0.688,2,AwayTeam
2018,9,MinnesotaVikings,Detroit Lions,0.571,91.67,282.67,24.56,88.89,233.33,22.67,0.688,1,HomeTeam
2018,11,MinnesotaVikings,Chicago Bears,0.625,84.7,279.0,24.1,94.8,226.0,22.9,0.688,1,AwayTeam
2018,12,MinnesotaVikings,Green Bay Packers,0.556,85.27,283.18,24.09,93.64,221.09,22.36,0.688,2,HomeTeam
2018,13,MinnesotaVikings,New England Patriots,0.6,86.08,274.83,22.92,99.17,228.58,22.5,0.688,1,AwayTeam
2018,14,MinnesotaVikings,Seattle Seahawks,0.545,85.38,269.0,21.69,108.0,215.62,22.38,0.688,1,AwayTeam
2018,15,MinnesotaVikings,Miami Dolphins,0.5,95.0,263.93,23.07,111.43,202.86,22.0,0.688,0,HomeTeam
2018,16,MinnesotaVikings,Detroit Lions,0.538,95.33,262.33,23.33,109.73,198.47,21.13,0.688,0,HomeTeam
2018,17,MinnesotaVikings,Chicago Bears,0.571,93.31,252.25,22.5,113.44,196.25,21.31,0.688,0,AwayTeam
2019,1,MinnesotaVikings,Atlanta Falcons,0,172.0,97.0,28.0,73.0,272.0,12.0,0.931,3,HomeTeam
2019,2,MinnesotaVikings,Green Bay Packers,1.0,185.0,160.0,22.0,108.5,231.5,16.5,0.931,1,AwayTeam
2019,3,MinnesotaVikings,Oakland Raiders,0.5,193.67,164.67,26.0,101.67,225.67,15.67,0.931,2,HomeTeam
2019,4,MinnesotaVikings,Chicago Bears,0.667,155.25,169.0,21.0,94.25,218.5,15.75,0.931,0,AwayTeam
2019,5,MinnesotaVikings,New York Giants,0.5,166.4,191.0,22.4,88.2,204.2,14.6,0.931,0,HomeTeam
2019,6,MinnesotaVikings,Philadelphia Eagles,0.6,159.0,213.33,25.0,91.5,218.83,15.5,0.931,1,HomeTeam
2019,7,MinnesotaVikings,Detroit Lions,0.667,160.0,231.14,27.43,90.0,237.86,17.57,0.931,2,HomeTeam
2019,8,MinnesotaVikings,Washington Redskins,0.714,160.12,236.38,26.38,89.38,224.5,16.5,0.931,3,HomeTeam
2019,9,MinnesotaVikings,Kansas City Chiefs,0.75,153.0,233.67,26.0,95.78,225.11,17.56,0.931,4,AwayTeam
2019,10,MinnesotaVikings,Dallas Cowboys,0.667,153.0,231.4,26.2,91.2,241.9,18.2,0.931,5,HomeTeam
2019,11,MinnesotaVikings,Denver Broncos,0.7,142.45,236.18,26.27,94.18,244.45,18.64,0.931,4,HomeTeam
2019,13,MinnesotaVikings,Seattle Seahawks,0.727,137.08,239.5,26.58,104.5,242.92,20.17,0.931,3,AwayTeam
2019,14,MinnesotaVikings,Detroit Lions,0.667,135.77,239.08,26.08,101.85,236.62,19.15,0.931,5,HomeTeam
2019,15,MinnesotaVikings,Los Angeles Chargers,0.692,135.86,236.79,27.0,99.0,239.93,18.5,0.931,11,HomeTeam
2019,16,MinnesotaVikings,Green Bay Packers,0.714,130.6,226.47,25.87,104.67,237.2,18.8,0.931,13,AwayTeam
2019,17,MinnesotaVikings,Chicago Bears,0.667,133.31,220.19,25.44,108.0,233.56,18.94,0.931,11,AwayTeam
2020,1,MinnesotaVikings,Green Bay Packers,0,134.0,248.0,34.0,158.0,364.0,43.0,0.682,-1,AwayTeam
2020,2,MinnesotaVikings,Indianapolis Colts,0.0,107.0,171.5,22.5,154.5,283.5,35.5,0.682,-3,AwayTeam
2020,3,MinnesotaVikings,Tennessee Titans,0.0,146.67,193.67,25.0,147.67,292.33,34.0,0.682,-5,AwayTeam
2020,4,MinnesotaVikings,Houston Texans,0.0,150.5,207.25,26.5,134.75,291.75,31.25,0.682,-4,HomeTeam
2020,5,MinnesotaVikings,Seattle Seahawks,0.25,160.6,215.4,26.4,132.6,271.4,30.4,0.682,-5,AwayTeam
2020,6,MinnesotaVikings,Atlanta Falcons,0.2,139.17,235.0,25.83,127.0,286.67,32.0,0.682,-7,AwayTeam
2020,8,MinnesotaVikings,Green Bay Packers,0.167,144.0,223.0,26.14,124.43,287.29,30.57,0.682,-6,HomeTeam
2020,9,MinnesotaVikings,Detroit Lions,0.286,160.38,221.62,27.12,125.0,287.88,29.25,0.682,-3,HomeTeam
2020,10,MinnesotaVikings,Chicago Bears,0.375,153.56,228.78,26.22,115.67,267.89,27.44,0.682,-3,HomeTeam
2020,11,MinnesotaVikings,Dallas Cowboys,0.444,150.7,236.4,26.4,122.1,260.7,27.8,0.682,-4,AwayTeam
2020,12,MinnesotaVikings,Carolina Panthers,0.4,145.73,241.36,26.55,120.73,261.27,27.73,0.682,-6,HomeTeam
2020,13,MinnesotaVikings,Jacksonville Jaguars,0.455,145.67,244.17,26.58,121.0,261.67,27.42,0.682,-4,HomeTeam
2020,14,MinnesotaVikings,Tampa Bay Buccaneers,0.5,146.92,238.69,25.62,119.92,256.62,27.31,0.682,-5,AwayTeam
