Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,NewEnglandPatriots,Houston Texans,0,122.0,267.0,27.0,167.0,158.0,20.0,0.844,-1,HomeTeam
2018,2,NewEnglandPatriots,Jacksonville Jaguars,1.0,102.0,243.5,23.5,135.5,267.0,25.5,0.844,0,AwayTeam
2018,3,NewEnglandPatriots,Detroit Lions,0.5,97.67,202.33,19.0,143.33,263.0,25.67,0.844,0,AwayTeam
2018,4,NewEnglandPatriots,Miami Dolphins,0.333,117.0,220.25,23.75,121.5,226.25,21.0,0.844,0,HomeTeam
2018,5,NewEnglandPatriots,Indianapolis Colts,0.5,113.0,244.4,26.6,114.0,252.0,21.6,0.844,1,HomeTeam
2018,6,NewEnglandPatriots,Kansas City Chiefs,0.6,123.0,258.17,29.33,110.67,268.67,24.67,0.844,2,HomeTeam
2018,7,NewEnglandPatriots,Chicago Bears,0.667,120.86,260.29,30.57,114.0,275.86,25.57,0.844,1,HomeTeam
2018,8,NewEnglandPatriots,Buffalo Bills,0.714,115.25,266.62,29.88,105.5,277.25,23.12,0.844,3,HomeTeam
2018,9,NewEnglandPatriots,Green Bay Packers,0.75,116.11,271.44,30.0,106.78,274.22,22.44,0.844,4,HomeTeam
2018,10,NewEnglandPatriots,Tennessee Titans,0.778,108.5,268.7,28.0,111.1,270.3,23.6,0.844,4,AwayTeam
2018,12,NewEnglandPatriots,New York Jets,0.7,118.18,270.0,27.91,107.73,269.73,22.64,0.844,5,HomeTeam
2018,13,NewEnglandPatriots,Minnesota Vikings,0.727,121.67,273.42,27.58,106.67,262.5,21.58,0.844,6,HomeTeam
2018,14,NewEnglandPatriots,Miami Dolphins,0.75,118.23,278.85,28.0,113.0,259.46,22.54,0.844,6,AwayTeam
2018,15,NewEnglandPatriots,Pittsburgh Steelers,0.692,116.64,278.36,26.71,116.21,256.5,22.14,0.844,7,AwayTeam
2018,16,NewEnglandPatriots,Buffalo Bills,0.643,127.07,267.6,26.53,113.27,253.87,21.47,0.844,7,HomeTeam
2018,17,NewEnglandPatriots,New York Jets,0.667,127.31,266.12,27.25,112.69,246.44,20.31,0.844,10,HomeTeam
2019,1,NewEnglandPatriots,Pittsburgh Steelers,0,99.0,366.0,33.0,32.0,276.0,3.0,0.794,1,HomeTeam
2019,2,NewEnglandPatriots,Miami Dolphins,1.0,111.5,310.5,38.0,37.0,209.0,1.5,0.794,4,HomeTeam
2019,3,NewEnglandPatriots,New York Jets,1.0,97.0,311.33,35.33,36.67,162.33,5.67,0.794,3,HomeTeam
2019,4,NewEnglandPatriots,Buffalo Bills,1.0,91.25,271.0,30.5,61.25,181.75,6.75,0.794,6,HomeTeam
2019,5,NewEnglandPatriots,Washington Redskins,1.0,99.0,279.2,31.0,78.0,161.0,6.8,0.794,7,HomeTeam
2019,6,NewEnglandPatriots,New York Giants,1.0,101.5,284.83,31.67,73.67,161.0,8.0,0.794,9,HomeTeam
2019,7,NewEnglandPatriots,New York Jets,1.0,97.57,279.71,31.86,74.71,148.43,6.86,0.794,14,HomeTeam
2019,8,NewEnglandPatriots,Cleveland Browns,1.0,95.25,274.62,31.25,85.25,148.75,7.62,0.794,17,HomeTeam
2019,9,NewEnglandPatriots,Baltimore Ravens,1.0,92.89,273.89,30.0,99.11,150.22,10.89,0.794,17,AwayTeam
2019,11,NewEnglandPatriots,Philadelphia Eagles,0.889,91.0,268.9,28.7,97.3,152.6,10.8,0.794,18,HomeTeam
2019,12,NewEnglandPatriots,Dallas Cowboys,0.9,91.91,260.91,27.27,98.36,158.0,10.64,0.794,19,HomeTeam
2019,13,NewEnglandPatriots,Houston Texans,0.909,96.33,264.42,26.83,94.5,163.5,12.08,0.794,18,AwayTeam
2019,14,NewEnglandPatriots,Kansas City Chiefs,0.833,96.15,258.23,26.0,93.0,171.77,12.92,0.794,19,AwayTeam
