Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,NewOrleansSaints,Tampa Bay Buccaneers,0,43.0,432.0,40.0,112.0,417.0,48.0,0.933,-2,AwayTeam
2018,2,NewOrleansSaints,Cleveland Browns,0.0,52.5,322.5,30.5,102.5,325.5,33.0,0.933,-3,HomeTeam
2018,3,NewOrleansSaints,Atlanta Falcons,0.5,82.67,345.33,34.67,84.33,336.67,34.33,0.933,-3,HomeTeam
2018,4,NewOrleansSaints,New York Giants,0.667,104.5,313.75,34.25,79.5,311.0,30.25,0.933,-1,HomeTeam
2018,5,NewOrleansSaints,Washington Redskins,0.75,103.2,320.8,36.0,71.4,297.6,28.0,0.933,0,HomeTeam
2018,7,NewOrleansSaints,Baltimore Ravens,0.8,108.33,301.5,34.0,72.33,293.67,27.17,0.933,-1,HomeTeam
2018,8,NewOrleansSaints,Minnesota Vikings,0.833,108.0,281.86,33.43,74.14,300.0,26.14,0.933,0,HomeTeam
2018,9,NewOrleansSaints,Los Angeles Rams,0.857,112.12,289.88,34.88,76.38,311.38,27.25,0.933,0,HomeTeam
2018,10,NewOrleansSaints,Cincinnati Bengals,0.875,126.78,287.11,36.67,80.11,296.11,25.78,0.933,2,HomeTeam
2018,11,NewOrleansSaints,Philadelphia Eagles,0.889,131.4,295.7,37.8,77.9,280.3,23.9,0.933,5,HomeTeam
2018,12,NewOrleansSaints,Atlanta Falcons,0.9,133.09,283.55,37.18,73.18,285.73,23.27,0.933,8,HomeTeam
2018,13,NewOrleansSaints,Dallas Cowboys,0.909,127.42,269.17,34.92,75.33,279.33,22.42,0.933,9,AwayTeam
2018,14,NewOrleansSaints,Tampa Bay Buccaneers,0.833,125.31,263.69,34.38,77.62,271.23,21.77,0.933,8,HomeTeam
2018,15,NewOrleansSaints,Carolina Panthers,0.846,127.43,258.5,32.79,79.07,262.5,20.86,0.933,8,HomeTeam
2018,16,NewOrleansSaints,Pittsburgh Steelers,0.857,122.73,262.13,32.67,78.13,269.27,21.33,0.933,9,HomeTeam
2018,17,NewOrleansSaints,Carolina Panthers,0.867,126.56,252.62,31.5,80.19,268.88,22.06,0.933,8,AwayTeam
2019,1,NewOrleansSaints,Houston Texans,0,148.0,362.0,30.0,180.0,234.0,28.0,0.889,0,HomeTeam
2019,2,NewOrleansSaints,Los Angeles Rams,1.0,102.5,274.5,19.5,147.5,249.5,27.5,0.889,0,AwayTeam
2019,3,NewOrleansSaints,Seattle Seahawks,0.5,97.67,242.0,24.0,134.33,301.67,27.33,0.889,0,HomeTeam
2019,4,NewOrleansSaints,Dallas Cowboys,0.667,102.5,218.75,21.0,112.0,279.25,23.0,0.889,2,HomeTeam
2019,5,NewOrleansSaints,Tampa Bay Buccaneers,0.75,104.4,244.0,23.0,108.4,255.0,23.2,0.889,1,HomeTeam
2019,6,NewOrleansSaints,Jacksonville Jaguars,0.8,104.33,240.33,21.33,102.83,237.67,20.33,0.889,2,HomeTeam
2019,7,NewOrleansSaints,Chicago Bears,0.833,111.0,245.0,23.43,90.57,237.29,21.0,0.889,4,HomeTeam
2019,8,NewOrleansSaints,Arizona Cardinals,0.857,114.25,261.0,24.38,84.25,232.25,19.5,0.889,3,HomeTeam
2019,10,NewOrleansSaints,Atlanta Falcons,0.875,107.33,260.67,22.67,90.78,225.78,20.22,0.889,4,AwayTeam
2019,11,NewOrleansSaints,Tampa Bay Buccaneers,0.778,107.5,256.5,23.8,85.3,233.0,19.9,0.889,8,HomeTeam
2019,12,NewOrleansSaints,Carolina Panthers,0.8,108.45,260.45,24.73,88.55,232.73,20.91,0.889,8,HomeTeam
2019,13,NewOrleansSaints,Atlanta Falcons,0.818,107.33,254.08,24.83,88.58,234.92,20.67,0.889,11,HomeTeam
2019,14,NewOrleansSaints,San Francisco 49ers,0.833,108.0,261.38,26.46,94.23,244.08,22.77,0.889,11,AwayTeam
2019,15,NewOrleansSaints,Indianapolis Colts,0.769,108.64,264.64,27.0,90.79,238.0,21.64,0.889,11,HomeTeam
2019,16,NewOrleansSaints,Tennessee Titans,0.786,108.2,265.33,27.73,94.67,238.67,22.07,0.889,12,HomeTeam
2019,17,NewOrleansSaints,Carolina Panthers,0.8,108.62,265.25,28.62,91.31,241.75,21.31,0.889,15,HomeTeam
2020,1,NewOrleansSaints,Tampa Bay Buccaneers,0,82.0,189.0,34.0,86.0,224.0,23.0,0.821,3,HomeTeam
