Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,NewYorkJets,Detroit Lions,0,169.0,180.0,48.0,39.0,300.0,17.0,0.917,3,HomeTeam
2018,2,NewYorkJets,Miami Dolphins,1.0,105.5,250.0,30.0,87.0,211.0,18.5,0.917,2,AwayTeam
2018,3,NewYorkJets,Cleveland Browns,0.5,106.0,220.33,25.67,102.33,204.0,19.33,0.917,-1,AwayTeam
2018,4,NewYorkJets,Jacksonville Jaguars,0.333,88.0,201.25,22.25,108.25,247.25,22.25,0.917,2,AwayTeam
2018,5,NewYorkJets,Denver Broncos,0.25,135.0,198.8,24.6,105.0,266.6,21.0,0.917,1,HomeTeam
2018,6,NewYorkJets,Indianapolis Colts,0.4,130.33,210.17,27.5,108.67,272.33,23.17,0.917,3,HomeTeam
2018,7,NewYorkJets,Minnesota Vikings,0.5,121.86,207.57,26.0,105.71,266.0,25.14,0.917,-1,AwayTeam
2018,8,NewYorkJets,Chicago Bears,0.429,113.75,200.38,24.0,114.88,259.75,25.0,0.917,-1,AwayTeam
2018,9,NewYorkJets,Miami Dolphins,0.375,110.0,200.56,22.0,109.22,242.44,23.67,0.917,-5,AwayTeam
2018,10,NewYorkJets,Buffalo Bills,0.333,107.3,192.1,20.8,119.5,242.1,25.4,0.917,-7,AwayTeam
2018,12,NewYorkJets,New England Patriots,0.3,104.27,198.64,20.09,128.18,245.82,25.55,0.917,-8,AwayTeam
2018,13,NewYorkJets,Tennessee Titans,0.273,108.58,192.42,20.25,128.33,248.08,25.58,0.917,-8,AwayTeam
2018,14,NewYorkJets,Buffalo Bills,0.25,106.23,190.69,20.77,132.0,243.77,25.38,0.917,-7,HomeTeam
2018,15,NewYorkJets,Houston Texans,0.308,105.07,193.36,20.86,125.93,243.43,25.64,0.917,-8,AwayTeam
2018,16,NewYorkJets,Green Bay Packers,0.286,101.2,202.0,22.0,126.0,254.73,26.87,0.917,-7,AwayTeam
2018,17,NewYorkJets,New England Patriots,0.267,101.38,197.81,20.81,126.31,254.06,27.56,0.917,-10,AwayTeam
2019,1,NewYorkJets,Buffalo Bills,0,68.0,155.0,16.0,128.0,242.0,17.0,0.679,3,AwayTeam
2019,2,NewYorkJets,Cleveland Browns,0.0,80.5,162.0,9.5,99.0,273.5,20.0,0.679,3,AwayTeam
2019,3,NewYorkJets,New England Patriots,0.0,65.67,131.0,11.0,88.67,286.67,23.33,0.679,4,AwayTeam
2019,5,NewYorkJets,Philadelphia Eagles,0.0,66.0,113.5,9.75,87.5,260.25,25.25,0.679,2,AwayTeam
