Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,PhiladelphiaEagles,Atlanta Falcons,0,113.0,119.0,18.0,74.0,225.0,12.0,0.839,-1,HomeTeam
2018,2,PhiladelphiaEagles,Tampa Bay Buccaneers,1.0,102.0,220.0,19.5,58.5,309.0,19.5,0.839,-1,AwayTeam
2018,3,PhiladelphiaEagles,Indianapolis Colts,0.5,118.67,222.33,19.67,61.67,253.0,18.33,0.839,-3,HomeTeam
2018,4,PhiladelphiaEagles,Tennessee Titans,0.667,118.25,245.5,20.5,63.75,271.5,20.25,0.839,-3,AwayTeam
2018,5,PhiladelphiaEagles,Minnesota Vikings,0.5,110.8,253.0,20.6,66.4,276.8,20.8,0.839,-4,AwayTeam
2018,6,PhiladelphiaEagles,New York Giants,0.4,110.33,256.0,22.83,79.83,273.0,19.5,0.839,-3,HomeTeam
2018,7,PhiladelphiaEagles,Carolina Panthers,0.5,102.86,260.0,22.0,85.71,269.71,19.71,0.839,-4,AwayTeam
2018,8,PhiladelphiaEagles,Jacksonville Jaguars,0.429,106.62,260.25,22.25,83.75,269.12,19.5,0.839,-5,HomeTeam
2018,10,PhiladelphiaEagles,Dallas Cowboys,0.5,102.67,270.22,22.0,93.44,265.78,20.33,0.839,-6,AwayTeam
2018,11,PhiladelphiaEagles,New Orleans Saints,0.444,98.2,257.0,20.5,101.4,276.5,23.1,0.839,-9,AwayTeam
2018,12,PhiladelphiaEagles,New York Giants,0.4,100.82,253.09,20.91,103.64,276.45,23.0,0.839,-8,HomeTeam
2018,13,PhiladelphiaEagles,Washington Redskins,0.455,103.25,257.5,21.5,103.67,264.33,22.17,0.839,-8,HomeTeam
2018,14,PhiladelphiaEagles,Dallas Cowboys,0.5,97.92,254.77,21.62,106.62,277.38,22.69,0.839,-6,AwayTeam
2018,15,PhiladelphiaEagles,Los Angeles Rams,0.462,98.86,255.86,22.21,104.86,280.79,22.71,0.839,-4,HomeTeam
2018,16,PhiladelphiaEagles,Houston Texans,0.5,96.07,269.6,22.87,102.0,282.67,23.2,0.839,-6,HomeTeam
2018,17,PhiladelphiaEagles,Washington Redskins,0.533,98.12,267.19,22.94,96.94,269.25,21.75,0.839,-6,HomeTeam
2019,1,PhiladelphiaEagles,Washington Redskins,0,123.0,313.0,32.0,28.0,370.0,27.0,0.846,0,HomeTeam
2019,2,PhiladelphiaEagles,Atlanta Falcons,1.0,86.0,275.0,26.0,42.5,340.0,25.5,0.846,0,AwayTeam
2019,3,PhiladelphiaEagles,Detroit Lions,0.5,99.67,265.33,25.33,57.0,293.67,26.0,0.846,-2,AwayTeam
2019,4,PhiladelphiaEagles,Green Bay Packers,0.333,118.75,239.0,27.5,62.0,323.75,26.25,0.846,0,HomeTeam
2019,5,PhiladelphiaEagles,New York Jets,0.5,111.8,227.4,28.2,63.0,271.2,22.2,0.846,2,HomeTeam
2019,6,PhiladelphiaEagles,Minnesota Vikings,0.6,111.17,238.17,26.83,72.83,280.17,24.83,0.846,1,AwayTeam
2019,7,PhiladelphiaEagles,Dallas Cowboys,0.5,111.71,228.14,24.43,89.43,270.57,26.57,0.846,-2,AwayTeam
2019,8,PhiladelphiaEagles,Buffalo Bills,0.429,125.0,218.75,25.25,90.5,256.12,24.88,0.846,-2,HomeTeam
2019,9,PhiladelphiaEagles,Chicago Bears,0.5,127.33,219.67,24.89,87.33,239.0,23.67,0.846,-1,HomeTeam
2019,11,PhiladelphiaEagles,New England Patriots,0.556,122.7,215.1,23.4,86.0,237.5,23.0,0.846,-2,AwayTeam
2019,12,PhiladelphiaEagles,Seattle Seahawks,0.5,121.18,217.18,22.09,94.0,231.73,22.45,0.846,-5,AwayTeam
2019,13,PhiladelphiaEagles,Miami Dolphins,0.455,118.75,223.58,22.83,91.0,241.67,23.67,0.846,-5,AwayTeam
