Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,PittsburgSteelers,Cleveland Browns,0,159.0,313.0,21.0,177.0,150.0,21.0,0.696,-5,
2018,2,PittsburgSteelers,Kansas City Chiefs,0,96.0,377.5,29.0,152.0,236.0,31.5,0.696,-4,AwayTeam
2018,3,PittsburgSteelers,Tampa Bay Buccaneers,0.0,90.0,363.33,29.33,122.33,288.0,30.0,0.696,-1,HomeTeam
2018,4,PittsburgSteelers,Baltimore Ravens,0.5,72.25,338.75,25.5,115.75,304.75,29.0,0.696,-2,AwayTeam
2018,5,PittsburgSteelers,Atlanta Falcons,0.333,84.0,321.0,28.6,105.0,296.2,26.6,0.696,-2,HomeTeam
2018,6,PittsburgSteelers,Cincinnati Bengals,0.5,88.67,329.0,28.5,97.83,282.33,25.67,0.696,-2,HomeTeam
2018,8,PittsburgSteelers,Cleveland Browns,0.6,100.0,318.14,29.14,94.43,265.29,24.57,0.696,-3,HomeTeam
2018,9,PittsburgSteelers,Baltimore Ravens,0.667,101.62,313.62,28.38,90.25,257.62,23.5,0.696,-3,HomeTeam
2018,10,PittsburgSteelers,Carolina Panthers,0.714,105.67,314.22,31.0,90.78,245.33,23.22,0.696,-1,HomeTeam
2018,11,PittsburgSteelers,Jacksonville Jaguars,0.75,97.7,312.5,29.9,99.6,227.2,22.5,0.696,-3,HomeTeam
2018,12,PittsburgSteelers,Denver Broncos,0.778,95.64,325.18,28.73,101.82,223.27,22.64,0.696,-7,AwayTeam
2018,13,PittsburgSteelers,Los Angeles Chargers,0.7,93.08,320.67,28.83,100.42,228.5,23.5,0.696,-8,AwayTeam
2018,14,PittsburgSteelers,Oakland Raiders,0.636,89.0,319.08,28.23,96.92,233.92,23.54,0.696,-8,AwayTeam
2018,15,PittsburgSteelers,New England Patriots,0.583,93.93,311.86,27.43,96.86,236.64,22.57,0.696,-9,HomeTeam
