Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,SanFrancisco49ers,Minnesota Vikings,0,90.0,237.0,16.0,116.0,227.0,24.0,0.971,-3,AwayTeam
2018,2,SanFrancisco49ers,Detroit Lions,0.0,140.0,196.5,23.0,107.0,278.0,25.5,0.971,-2,HomeTeam
2018,3,SanFrancisco49ers,Kansas City Chiefs,0.5,152.67,207.0,24.33,97.0,287.67,29.67,0.971,-2,AwayTeam
2018,4,SanFrancisco49ers,Los Angeles Chargers,0.333,133.5,227.25,25.0,104.25,276.25,29.5,0.971,-3,AwayTeam
2018,5,SanFrancisco49ers,Arizona Cardinals,0.25,136.2,241.8,23.6,94.6,253.8,29.2,0.971,-8,AwayTeam
2018,6,SanFrancisco49ers,Green Bay Packers,0.2,142.5,239.33,24.67,98.17,279.0,29.83,0.971,-11,AwayTeam
2018,7,SanFrancisco49ers,Los Angeles Rams,0.167,137.43,222.43,22.57,105.0,266.71,31.14,0.971,-15,AwayTeam
2018,8,SanFrancisco49ers,Arizona Cardinals,0.143,133.62,214.62,21.62,102.88,262.5,29.5,0.971,-13,AwayTeam
2018,9,SanFrancisco49ers,Oakland Raiders,0.125,134.67,219.89,23.0,102.78,248.89,26.56,0.971,-13,HomeTeam
2018,10,SanFrancisco49ers,New York Giants,0.222,133.6,222.9,23.0,102.2,242.0,26.6,0.971,-15,AwayTeam
2018,12,SanFrancisco49ers,Tampa Bay Buccaneers,0.2,134.91,220.27,21.73,102.73,247.64,26.64,0.971,-17,AwayTeam
2018,13,SanFrancisco49ers,Seattle Seahawks,0.182,129.17,234.08,21.25,108.17,240.58,28.0,0.971,-20,AwayTeam
2018,14,SanFrancisco49ers,Denver Broncos,0.167,125.69,239.54,21.15,107.77,235.23,26.92,0.971,-21,HomeTeam
2018,15,SanFrancisco49ers,Seattle Seahawks,0.231,123.43,240.79,21.5,112.07,233.93,26.64,0.971,-22,HomeTeam
2018,16,SanFrancisco49ers,Chicago Bears,0.286,118.33,240.2,20.67,110.6,234.0,25.8,0.971,-21,AwayTeam
2018,17,SanFrancisco49ers,Los Angeles Rams,0.267,118.88,241.69,21.38,113.38,233.25,27.19,0.971,-25,AwayTeam
2019,1,SanFrancisco49ers,Tampa Bay Buccaneers,0,98.0,158.0,31.0,121.0,174.0,17.0,0.769,2,HomeTeam
2019,2,SanFrancisco49ers,Cincinnati Bengals,1.0,178.5,235.0,36.0,73.0,232.5,17.0,0.769,2,HomeTeam
2019,3,SanFrancisco49ers,Pittsburgh Steelers,1.0,175.0,246.0,32.0,75.0,208.33,18.0,0.769,-1,HomeTeam
2019,5,SanFrancisco49ers,Cleveland Browns,1.0,200.0,227.25,31.75,81.75,175.75,14.25,0.769,3,HomeTeam
2019,6,SanFrancisco49ers,Los Angeles Rams,1.0,179.8,228.2,29.4,87.2,150.2,12.8,0.769,2,HomeTeam
2019,7,SanFrancisco49ers,Washington Redskins,1.0,172.67,214.5,26.0,90.0,133.5,10.67,0.769,2,HomeTeam
2019,8,SanFrancisco49ers,Carolina Panthers,1.0,181.14,206.14,29.57,95.71,128.71,11.0,0.769,4,HomeTeam
2019,9,SanFrancisco49ers,Arizona Cardinals,1.0,171.12,219.12,29.38,102.88,138.12,12.75,0.769,4,HomeTeam
2019,10,SanFrancisco49ers,Seattle Seahawks,1.0,161.78,218.67,28.78,107.78,143.78,14.33,0.769,5,AwayTeam
2019,11,SanFrancisco49ers,Arizona Cardinals,0.889,149.0,237.6,29.5,110.5,142.5,15.5,0.769,5,HomeTeam
2019,12,SanFrancisco49ers,Green Bay Packers,0.9,145.64,236.64,30.18,111.09,136.91,14.82,0.769,6,HomeTeam
2019,13,SanFrancisco49ers,Baltimore Ravens,0.909,148.0,230.0,29.08,116.67,134.25,15.25,0.769,6,AwayTeam
2019,14,SanFrancisco49ers,New Orleans Saints,0.833,149.08,239.54,30.54,116.62,150.77,17.62,0.769,6,HomeTeam
2019,15,SanFrancisco49ers,Atlanta Falcons,0.846,147.0,236.21,29.93,114.64,154.36,18.43,0.769,5,AwayTeam
2019,16,SanFrancisco49ers,Los Angeles Rams,0.786,145.13,234.8,30.2,111.8,165.6,19.27,0.769,4,HomeTeam
2019,17,SanFrancisco49ers,Seattle Seahawks,0.8,144.06,237.0,29.94,112.62,169.19,19.38,0.769,4,HomeTeam
2020,1,SanFrancisco49ers,Arizona Cardinals,0,123.0,243.0,20.0,180.0,224.0,24.0,0.846,1,AwayTeam
