Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,SeattleSeahawks,Denver Broncos,0,64.0,242.0,24.0,146.0,324.0,27.0,0.815,0,AwayTeam
2018,2,SeattleSeahawks,Chicago Bears,0.0,69.0,222.0,20.5,116.0,254.5,25.5,0.815,0,AwayTeam
2018,3,SeattleSeahawks,Dallas Cowboys,0.0,83.67,208.67,21.67,132.67,215.33,21.33,0.815,3,HomeTeam
2018,4,SeattleSeahawks,Arizona Cardinals,0.333,105.5,196.5,21.25,122.5,204.25,20.25,0.815,4,HomeTeam
2018,5,SeattleSeahawks,Los Angeles Rams,0.5,122.4,193.8,23.2,129.0,226.0,22.8,0.815,6,AwayTeam
2018,6,SeattleSeahawks,Oakland Raiders,0.4,127.83,197.17,23.83,120.67,206.0,19.5,0.815,7,HomeTeam
2018,8,SeattleSeahawks,Detroit Lions,0.5,134.71,202.86,24.43,108.29,219.0,18.71,0.815,10,HomeTeam
2018,9,SeattleSeahawks,Los Angeles Chargers,0.571,137.12,202.75,23.5,114.75,218.5,19.5,0.815,9,AwayTeam
2018,10,SeattleSeahawks,Los Angeles Rams,0.5,152.22,195.89,24.33,118.56,228.33,21.33,0.815,8,AwayTeam
2018,11,SeattleSeahawks,Green Bay Packers,0.444,154.3,196.8,24.6,111.5,236.6,21.6,0.815,7,HomeTeam
2018,12,SeattleSeahawks,Carolina Panthers,0.5,147.09,208.18,25.09,121.36,238.36,22.09,0.815,8,HomeTeam
2018,13,SeattleSeahawks,San Francisco 49ers,0.545,148.83,204.42,26.58,116.75,250.67,21.58,0.815,11,HomeTeam
2018,14,SeattleSeahawks,Minnesota Vikings,0.583,153.85,193.31,26.15,113.69,246.69,20.46,0.815,11,HomeTeam
2018,15,SeattleSeahawks,San Francisco 49ers,0.615,154.86,195.0,25.93,112.29,247.43,20.86,0.815,12,AwayTeam
2018,16,SeattleSeahawks,Kansas City Chiefs,0.571,158.53,198.93,26.73,115.07,248.6,21.53,0.815,14,HomeTeam
2018,17,SeattleSeahawks,Arizona Cardinals,0.6,160.0,193.31,26.75,113.19,240.12,21.69,0.815,15,HomeTeam
2019,1,SeattleSeahawks,Cincinnati Bengals,0,72.0,160.0,21.0,34.0,395.0,20.0,0.821,2,HomeTeam
