Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,TampaBayBuccaneers,New Orleans Saints,0,112.0,417.0,48.0,43.0,432.0,40.0,0.741,2,HomeTeam
2018,2,TampaBayBuccaneers,Philadelphia Eagles,1.0,77.5,405.0,37.5,67.0,376.5,30.5,0.741,2,HomeTeam
2018,3,TampaBayBuccaneers,Pittsburgh Steelers,1.0,72.67,400.67,34.0,70.67,362.67,30.33,0.741,-1,AwayTeam
2018,4,TampaBayBuccaneers,Chicago Bears,0.667,69.5,363.25,28.0,87.75,358.0,34.75,0.741,-4,AwayTeam
2018,6,TampaBayBuccaneers,Atlanta Falcons,0.5,79.8,368.4,28.2,84.2,355.8,34.6,0.741,-6,AwayTeam
2018,7,TampaBayBuccaneers,Cleveland Browns,0.4,85.5,364.0,27.83,90.0,327.5,32.67,0.741,-9,HomeTeam
2018,8,TampaBayBuccaneers,Cincinnati Bengals,0.5,91.29,376.29,28.71,96.86,318.43,33.29,0.741,-13,AwayTeam
2018,9,TampaBayBuccaneers,Carolina Panthers,0.429,90.12,356.62,28.62,107.12,307.12,34.38,0.741,-15,AwayTeam
2018,10,TampaBayBuccaneers,Washington Redskins,0.375,91.56,361.22,25.78,108.11,291.89,32.33,0.741,-19,AwayTeam
2018,11,TampaBayBuccaneers,New York Giants,0.333,97.5,361.0,26.7,113.6,282.3,32.9,0.741,-23,AwayTeam
2018,12,TampaBayBuccaneers,San Francisco 49ers,0.3,98.45,355.82,26.73,116.73,274.27,30.73,0.741,-21,HomeTeam
2018,13,TampaBayBuccaneers,Carolina Panthers,0.364,98.17,344.5,26.5,121.0,274.42,29.58,0.741,-18,HomeTeam
2018,14,TampaBayBuccaneers,New Orleans Saints,0.417,98.69,331.38,25.54,119.38,268.54,29.46,0.741,-17,AwayTeam
2018,15,TampaBayBuccaneers,Baltimore Ravens,0.385,97.71,318.86,24.57,128.14,258.5,28.79,0.741,-16,AwayTeam
2018,16,TampaBayBuccaneers,Dallas Cowboys,0.357,95.4,318.93,24.27,124.93,251.4,28.67,0.741,-18,AwayTeam
2018,17,TampaBayBuccaneers,Atlanta Falcons,0.333,95.19,320.31,24.75,123.94,259.44,29.0,0.741,-18,AwayTeam
2019,1,TampaBayBuccaneers,San Francisco 49ers,0,121.0,174.0,17.0,98.0,158.0,31.0,0.771,-2,AwayTeam
2019,2,TampaBayBuccaneers,Carolina Panthers,0.0,110.5,181.5,18.5,68.5,235.5,22.5,0.771,-1,HomeTeam
2019,3,TampaBayBuccaneers,New York Giants,0.5,121.67,239.33,22.67,69.67,261.0,25.67,0.771,0,AwayTeam
2019,4,TampaBayBuccaneers,Los Angeles Rams,0.333,113.25,273.5,30.75,59.25,318.25,29.25,0.771,3,HomeTeam
2019,5,TampaBayBuccaneers,New Orleans Saints,0.5,109.4,250.4,29.4,69.8,323.6,29.6,0.771,4,AwayTeam
2019,6,TampaBayBuccaneers,Carolina Panthers,0.4,98.17,269.5,28.83,68.0,304.5,30.83,0.771,-2,AwayTeam
2019,8,TampaBayBuccaneers,Tennessee Titans,0.333,99.29,271.43,28.0,68.57,285.86,30.29,0.771,-5,AwayTeam
2019,9,TampaBayBuccaneers,Seattle Seahawks,0.286,99.25,277.38,28.75,78.12,293.5,31.5,0.771,-5,AwayTeam
2019,10,TampaBayBuccaneers,Arizona Cardinals,0.25,101.33,284.22,28.89,77.78,298.89,31.0,0.771,-6,HomeTeam
2019,11,TampaBayBuccaneers,New Orleans Saints,0.333,94.8,285.6,27.7,80.9,290.9,31.3,0.771,-10,AwayTeam
2019,12,TampaBayBuccaneers,Atlanta Falcons,0.3,98.27,288.09,28.36,78.73,289.91,30.45,0.771,-10,HomeTeam
2019,13,TampaBayBuccaneers,Jacksonville Jaguars,0.364,96.25,284.17,28.33,76.25,281.83,28.83,0.771,-7,HomeTeam
2019,14,TampaBayBuccaneers,Indianapolis Colts,0.417,94.62,298.23,29.08,75.46,278.85,29.31,0.771,-10,HomeTeam
2019,15,TampaBayBuccaneers,Detroit Lions,0.462,91.36,308.79,29.71,73.29,276.79,28.43,0.771,-8,HomeTeam
2019,16,TampaBayBuccaneers,Houston Texans,0.5,92.33,310.13,29.07,72.93,269.07,28.07,0.771,-11,AwayTeam
2019,17,TampaBayBuccaneers,Atlanta Falcons,0.467,95.06,302.81,28.62,73.81,270.12,28.06,0.771,-13,AwayTeam
2020,1,TampaBayBuccaneers,New Orleans Saints,0,86.0,224.0,23.0,82.0,189.0,34.0,0.903,-3,AwayTeam
2020,2,TampaBayBuccaneers,Carolina Panthers,0.0,104.0,220.5,27.0,84.5,264.5,25.5,0.903,-1,HomeTeam
2020,3,TampaBayBuccaneers,Denver Broncos,0.5,92.0,242.0,27.33,70.33,237.67,20.33,0.903,1,HomeTeam
2020,4,TampaBayBuccaneers,Los Angeles Chargers,0.667,97.75,273.75,30.0,64.25,247.75,23.0,0.903,2,HomeTeam
2020,5,TampaBayBuccaneers,Chicago Bears,0.75,99.4,265.6,27.8,58.4,239.8,22.4,0.903,2,AwayTeam
2020,6,TampaBayBuccaneers,Green Bay Packers,0.6,109.17,249.0,29.5,64.33,217.67,20.33,0.903,4,HomeTeam
2020,7,TampaBayBuccaneers,Las Vegas Raiders,0.667,105.71,266.14,31.71,66.0,225.29,20.29,0.903,5,HomeTeam
2020,8,TampaBayBuccaneers,New York Giants,0.714,102.62,265.75,30.88,70.38,229.12,20.62,0.903,6,HomeTeam
2020,9,TampaBayBuccaneers,New Orleans Saints,0.75,92.11,256.89,27.78,77.89,235.0,22.56,0.903,5,AwayTeam
2020,10,TampaBayBuccaneers,Carolina Panthers,0.667,103.9,264.6,29.6,76.6,223.7,22.6,0.903,5,HomeTeam
2020,11,TampaBayBuccaneers,Los Angeles Rams,0.7,98.27,259.55,29.09,73.0,237.55,23.0,0.903,5,AwayTeam
2020,12,TampaBayBuccaneers,Kansas City Chiefs,0.636,96.33,266.42,28.67,74.17,255.75,23.33,0.903,4,AwayTeam
2020,14,TampaBayBuccaneers,Minnesota Vikings,0.583,97.15,261.0,28.46,80.92,249.38,22.62,0.903,5,HomeTeam
2020,15,TampaBayBuccaneers,Atlanta Falcons,0.615,93.86,268.43,28.64,77.79,255.29,22.93,0.903,5,HomeTeam
2020,16,TampaBayBuccaneers,Detroit Lions,0.643,95.0,282.33,29.87,77.47,245.8,21.87,0.903,7,HomeTeam
2020,17,TampaBayBuccaneers,Atlanta Falcons,0.667,94.94,289.12,30.75,80.56,246.56,22.19,0.903,8,HomeTeam
2021,1,TampaBayBuccaneers,Dallas Cowboys,0,52.0,379.0,31.0,60.0,391.0,29.0,0.806,-3,HomeTeam
2021,2,TampaBayBuccaneers,Atlanta Falcons,1.0,67.0,319.0,39.5,57.5,342.0,27.0,0.806,-1,HomeTeam
2021,3,TampaBayBuccaneers,Los Angeles Rams,1.0,56.33,349.67,34.33,63.67,338.33,29.33,0.806,-1,AwayTeam
2021,4,TampaBayBuccaneers,New England Patriots,0.667,72.25,327.5,30.5,47.5,327.5,26.25,0.806,1,HomeTeam
2021,5,TampaBayBuccaneers,Miami Dolphins,0.75,82.0,349.4,33.4,45.8,314.4,24.4,0.806,3,HomeTeam
2021,6,TampaBayBuccaneers,Philadelphia Eagles,0.8,85.33,340.67,32.5,54.83,280.83,24.0,0.806,3,HomeTeam
2021,7,TampaBayBuccaneers,Chicago Bears,0.833,99.14,324.29,33.29,67.43,264.71,21.0,0.806,7,HomeTeam
2021,8,TampaBayBuccaneers,New Orleans Saints,0.857,95.62,327.5,32.5,78.0,257.75,22.88,0.806,4,AwayTeam
2021,10,TampaBayBuccaneers,Washington Football Team,0.75,90.89,315.56,31.0,79.78,254.22,23.56,0.806,3,AwayTeam
2021,11,TampaBayBuccaneers,New York Giants,0.667,91.2,314.8,30.9,78.4,243.7,22.2,0.806,5,HomeTeam
2021,12,TampaBayBuccaneers,Indianapolis Colts,0.7,95.82,305.91,31.55,81.0,247.45,23.0,0.806,8,HomeTeam
2021,13,TampaBayBuccaneers,Atlanta Falcons,0.727,92.58,311.08,31.42,84.33,248.42,22.5,0.806,8,HomeTeam
2021,14,TampaBayBuccaneers,Buffalo Bills,0.75,96.0,314.15,31.54,91.15,251.85,22.85,0.806,9,HomeTeam
