Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,TennesseeTitans,Miami Dolphins,0,116.0,220.0,20.0,120.0,222.0,27.0,0.867,-1,AwayTeam
2018,2,TennesseeTitans,Houston Texans,0.0,108.0,201.5,20.0,134.0,255.5,22.0,0.867,0,HomeTeam
2018,3,TennesseeTitans,Jacksonville Jaguars,0.5,122.0,162.0,16.33,118.33,218.67,16.67,0.867,1,HomeTeam
2018,4,TennesseeTitans,Philadelphia Eagles,0.667,109.0,203.25,18.75,118.0,242.75,18.25,0.867,1,HomeTeam
2018,5,TennesseeTitans,Buffalo Bills,0.75,107.2,186.8,17.4,123.2,210.0,17.2,0.867,-1,AwayTeam
2018,6,TennesseeTitans,Baltimore Ravens,0.6,98.5,164.17,14.5,123.17,214.67,17.83,0.867,0,AwayTeam
2018,7,TennesseeTitans,Los Angeles Chargers,0.5,107.86,173.0,15.14,112.29,226.43,18.14,0.867,-1,AwayTeam
2018,9,TennesseeTitans,Dallas Cowboys,0.429,110.0,178.25,16.75,107.25,226.25,17.62,0.867,-1,HomeTeam
2018,10,TennesseeTitans,New England Patriots,0.5,114.44,184.56,18.67,99.78,228.22,16.78,0.867,-1,HomeTeam
2018,11,TennesseeTitans,Indianapolis Colts,0.556,112.1,183.7,17.8,100.0,234.9,18.9,0.867,-3,AwayTeam
2018,12,TennesseeTitans,Houston Texans,0.5,111.45,190.64,17.73,116.45,230.0,20.27,0.867,-4,AwayTeam
2018,13,TennesseeTitans,New York Jets,0.455,113.0,197.5,18.42,119.75,221.17,20.42,0.867,-4,HomeTeam
2018,14,TennesseeTitans,Jacksonville Jaguars,0.5,124.62,194.77,19.31,115.15,219.15,19.54,0.867,-4,HomeTeam
2018,15,TennesseeTitans,New York Giants,0.538,131.07,187.0,19.14,110.29,218.71,18.14,0.867,-2,HomeTeam
2018,16,TennesseeTitans,Washington Redskins,0.571,128.93,187.33,19.53,113.67,212.87,18.0,0.867,0,HomeTeam
2018,17,TennesseeTitans,Indianapolis Colts,0.6,126.69,185.94,19.38,116.44,216.94,18.94,0.867,-1,AwayTeam
2019,1,TennesseeTitans,Cleveland Browns,0,123.0,216.0,43.0,102.0,244.0,13.0,0.444,3,HomeTeam
2019,2,TennesseeTitans,Indianapolis Colts,1.0,123.5,167.5,30.0,134.5,182.5,16.0,0.444,5,AwayTeam
2019,3,TennesseeTitans,Jacksonville Jaguars,0.5,112.67,194.67,22.33,119.0,189.67,17.33,0.444,4,AwayTeam
2019,4,TennesseeTitans,Atlanta Falcons,0.333,119.0,202.75,22.75,103.75,233.25,15.5,0.444,5,HomeTeam
2019,5,TennesseeTitans,Buffalo Bills,0.5,115.6,192.2,19.6,104.8,227.4,15.2,0.444,6,AwayTeam
2019,6,TennesseeTitans,Denver Broncos,0.4,102.83,187.67,16.33,104.5,217.33,15.33,0.444,4,AwayTeam
2019,7,TennesseeTitans,Los Angeles Chargers,0.333,102.0,204.57,17.29,95.14,232.86,16.0,0.444,4,HomeTeam
2019,8,TennesseeTitans,Tampa Bay Buccaneers,0.429,98.25,200.75,18.5,96.5,239.12,16.88,0.444,7,HomeTeam
2019,9,TennesseeTitans,Carolina Panthers,0.5,100.78,212.89,18.67,103.11,236.33,18.33,0.444,5,AwayTeam
2019,10,TennesseeTitans,Kansas City Chiefs,0.444,113.2,206.2,20.3,102.5,256.0,19.7,0.444,5,HomeTeam
2019,12,TennesseeTitans,Jacksonville Jaguars,0.5,122.82,210.36,22.27,103.82,255.64,19.73,0.444,4,HomeTeam
2019,13,TennesseeTitans,Indianapolis Colts,0.545,125.42,204.33,23.0,102.0,260.08,19.5,0.444,5,HomeTeam
2019,14,TennesseeTitans,Oakland Raiders,0.583,128.15,218.69,24.46,101.62,259.92,19.62,0.444,5,HomeTeam
2019,15,TennesseeTitans,Houston Texans,0.615,130.64,222.29,24.21,104.36,258.07,19.93,0.444,6,AwayTeam
2019,16,TennesseeTitans,New Orleans Saints,0.571,131.87,224.0,24.47,104.2,259.2,21.13,0.444,5,AwayTeam
2019,17,TennesseeTitans,Houston Texans,0.533,138.94,223.88,25.12,104.5,255.0,20.69,0.444,6,HomeTeam
2020,1,TennesseeTitans,Denver Broncos,0,130.0,247.0,16.0,107.0,216.0,14.0,0.714,1,HomeTeam
2020,2,TennesseeTitans,Jacksonville Jaguars,1.0,126.5,239.0,24.5,136.0,265.5,22.0,0.714,3,HomeTeam
2020,3,TennesseeTitans,Minnesota Vikings,1.0,129.0,262.67,26.67,166.0,256.33,24.67,0.714,5,HomeTeam
2020,5,TennesseeTitans,Buffalo Bills,1.0,131.5,245.75,30.5,148.25,261.0,22.5,0.714,8,HomeTeam
2020,6,TennesseeTitans,Houston Texans,1.0,157.8,265.4,32.8,137.0,272.8,25.2,0.714,6,HomeTeam
2020,7,TennesseeTitans,Pittsburgh Steelers,1.0,145.17,256.17,31.33,129.83,272.0,25.5,0.714,9,AwayTeam
2020,8,TennesseeTitans,Cincinnati Bengals,0.833,155.57,251.43,29.71,128.14,268.71,26.29,0.714,8,AwayTeam
2020,9,TennesseeTitans,Chicago Bears,0.714,147.62,237.0,29.0,119.12,275.0,25.12,0.714,10,HomeTeam
2020,10,TennesseeTitans,Indianapolis Colts,0.75,148.67,225.89,27.67,120.67,277.44,26.11,0.714,10,AwayTeam
