Season,Week,HomeTeam,AwayTeam,WinPercentage,RushYards,PassYards,Scoring,RushYardsAllowed,PassYardsAllowed,DefenseScoringAllowed,KickingPercentage,TurnoverMargin,Winner
2018,1,WashingtonCommanders,Arizona Cardinals,0,182.0,247.0,24.0,68.0,145.0,6.0,0.897,1,HomeTeam
2018,2,WashingtonCommanders,Indianapolis Colts,1.0,123.5,258.0,16.5,86.0,161.0,13.5,0.897,2,AwayTeam
2018,3,WashingtonCommanders,Green Bay Packers,0.5,137.67,245.33,21.33,90.67,187.33,14.67,0.897,2,HomeTeam
2018,5,WashingtonCommanders,New Orleans Saints,0.667,113.0,245.0,20.75,92.5,227.75,21.75,0.897,1,AwayTeam
2018,6,WashingtonCommanders,Carolina Panthers,0.5,116.8,227.2,21.2,90.2,236.0,20.8,0.897,4,HomeTeam
2018,7,WashingtonCommanders,Dallas Cowboys,0.6,119.0,218.5,21.0,87.33,238.33,20.17,0.897,6,HomeTeam
2018,8,WashingtonCommanders,New York Giants,0.667,128.0,212.71,20.86,80.14,242.29,19.14,0.897,7,HomeTeam
2018,9,WashingtonCommanders,Atlanta Falcons,0.714,121.88,222.0,20.0,89.38,254.12,21.5,0.897,7,AwayTeam
2018,10,WashingtonCommanders,Tampa Bay Buccaneers,0.625,121.22,216.22,19.56,90.89,270.11,19.44,0.897,11,HomeTeam
2018,11,WashingtonCommanders,Houston Texans,0.667,121.5,210.0,19.7,95.7,261.2,19.8,0.897,12,AwayTeam
2018,12,WashingtonCommanders,Dallas Cowboys,0.6,117.73,213.73,20.0,100.27,260.91,20.82,0.897,9,AwayTeam
2018,13,WashingtonCommanders,Philadelphia Eagles,0.545,116.58,206.83,19.42,102.75,264.67,21.42,0.897,9,AwayTeam
2018,14,WashingtonCommanders,New York Giants,0.5,114.08,206.62,19.15,112.31,257.77,22.85,0.897,7,AwayTeam
2018,15,WashingtonCommanders,Jacksonville Jaguars,0.462,113.71,201.57,18.93,116.57,240.79,22.14,0.897,9,HomeTeam
2018,16,WashingtonCommanders,Tennessee Titans,0.5,116.87,196.87,18.73,115.4,237.53,22.33,0.897,7,AwayTeam
2018,17,WashingtonCommanders,Philadelphia Eagles,0.467,110.88,188.81,17.56,116.25,237.12,22.44,0.897,7,AwayTeam
2019,1,WashingtonCommanders,Philadelphia Eagles,0,28.0,370.0,27.0,123.0,313.0,32.0,0.833,0,AwayTeam
2019,2,WashingtonCommanders,Dallas Cowboys,0.0,37.5,289.0,24.0,168.0,287.0,31.5,0.833,1,AwayTeam
2019,3,WashingtonCommanders,Chicago Bears,0.0,48.0,288.33,21.0,142.0,260.67,31.33,0.833,-3,AwayTeam
2019,4,WashingtonCommanders,New York Giants,0.0,49.75,246.5,16.5,147.5,251.75,29.5,0.833,-3,AwayTeam
2019,5,WashingtonCommanders,New England Patriots,0.0,68.8,212.8,14.6,144.0,263.8,30.2,0.833,-4,AwayTeam
2019,6,WashingtonCommanders,Miami Dolphins,0.0,81.5,205.0,15.0,134.0,251.0,27.83,0.833,-2,HomeTeam
2019,7,WashingtonCommanders,San Francisco 49ers,0.167,84.71,182.86,12.86,134.43,236.0,25.14,0.833,-2,AwayTeam
2019,8,WashingtonCommanders,Minnesota Vikings,0.143,84.75,176.38,12.38,137.75,240.62,24.38,0.833,-3,AwayTeam
2019,9,WashingtonCommanders,Buffalo Bills,0.125,89.44,169.67,12.0,136.0,230.11,24.33,0.833,-3,AwayTeam
2019,11,WashingtonCommanders,New York Jets,0.111,85.9,169.8,12.5,133.9,235.6,25.3,0.833,-2,AwayTeam
2019,12,WashingtonCommanders,Detroit Lions,0.1,85.91,167.45,13.09,137.64,231.36,24.45,0.833,0,HomeTeam
2019,13,WashingtonCommanders,Carolina Panthers,0.182,99.42,163.0,14.42,131.58,229.83,24.17,0.833,2,HomeTeam
2019,14,WashingtonCommanders,Green Bay Packers,0.25,101.08,161.31,14.46,134.85,225.0,23.85,0.833,2,AwayTeam
2019,15,WashingtonCommanders,Philadelphia Eagles,0.231,101.07,167.71,15.36,136.43,227.36,24.79,0.833,2,AwayTeam
2019,16,WashingtonCommanders,New York Giants,0.214,99.67,175.27,16.67,141.07,235.27,25.87,0.833,2,AwayTeam
2019,17,WashingtonCommanders,Dallas Cowboys,0.2,98.94,175.75,16.62,146.19,238.94,27.19,0.833,1,AwayTeam
2020,1,WashingtonCommanders,Philadelphia Eagles,0,80.0,159.0,27.0,57.0,208.0,17.0,0.794,3,HomeTeam
2020,2,WashingtonCommanders,Arizona Cardinals,1.0,98.5,179.0,21.0,108.5,243.0,23.5,0.794,2,AwayTeam
2020,3,WashingtonCommanders,Cleveland Browns,0.5,100.0,188.0,20.67,125.0,209.33,27.0,0.794,-3,AwayTeam
2020,4,WashingtonCommanders,Baltimore Ravens,0.333,92.25,209.5,19.75,129.75,208.5,28.0,0.794,-2,AwayTeam
2020,5,WashingtonCommanders,Los Angeles Rams,0.25,81.4,181.6,17.8,129.6,226.8,28.4,0.794,-1,AwayTeam
2020,6,WashingtonCommanders,New York Giants,0.2,82.17,193.17,18.0,130.0,207.0,27.0,0.794,-2,AwayTeam
2020,7,WashingtonCommanders,Dallas Cowboys,0.167,100.14,192.57,19.0,123.29,185.86,23.57,0.794,-1,HomeTeam
2020,9,WashingtonCommanders,New York Giants,0.286,92.25,214.12,19.12,128.62,185.62,23.5,0.794,-6,AwayTeam
2020,10,WashingtonCommanders,Detroit Lions,0.25,91.89,232.0,20.0,126.0,194.67,24.22,0.794,-7,AwayTeam
2020,11,WashingtonCommanders,Cincinnati Bengals,0.222,99.1,224.9,20.0,120.4,195.4,22.7,0.794,-6,HomeTeam
2020,12,WashingtonCommanders,Dallas Cowboys,0.3,106.64,218.64,21.91,114.91,194.64,22.09,0.794,-5,HomeTeam
2020,13,WashingtonCommanders,Pittsburgh Steelers,0.364,101.5,223.17,22.0,107.08,203.83,21.67,0.794,-4,HomeTeam
2020,14,WashingtonCommanders,San Francisco 49ers,0.417,101.23,213.31,22.08,107.15,206.31,21.15,0.794,-2,HomeTeam
2020,15,WashingtonCommanders,Seattle Seahawks,0.462,100.0,217.29,21.57,112.43,200.21,21.07,0.794,-3,AwayTeam
2020,16,WashingtonCommanders,Carolina Panthers,0.429,100.53,221.33,21.0,112.47,198.0,21.0,0.794,-5,AwayTeam
2020,17,WashingtonCommanders,Philadelphia Eagles,0.4,100.69,216.56,20.94,112.81,191.75,20.56,0.794,-4,HomeTeam
2021,1,WashingtonCommanders,Los Angeles Chargers,0,126.0,133.0,16.0,90.0,334.0,20.0,0.848,1,AwayTeam
2021,2,WashingtonCommanders,New York Giants,0.0,106.5,226.5,23.0,126.5,281.0,24.5,0.848,0,HomeTeam
2021,3,WashingtonCommanders,Buffalo Bills,0.5,97.0,221.67,22.33,125.0,307.0,30.67,0.848,-3,AwayTeam
2021,4,WashingtonCommanders,Atlanta Falcons,0.333,103.25,238.75,25.25,118.5,299.0,30.5,0.848,-3,HomeTeam
2021,5,WashingtonCommanders,New Orleans Saints,0.5,108.8,239.4,24.6,114.4,293.4,31.0,0.848,-3,AwayTeam
2021,6,WashingtonCommanders,Kansas City Chiefs,0.4,106.33,229.83,22.67,113.5,309.5,31.0,0.848,-2,AwayTeam
2021,7,WashingtonCommanders,Green Bay Packers,0.333,119.0,230.57,20.86,105.43,300.57,30.0,0.848,-3,AwayTeam
2021,8,WashingtonCommanders,Denver Broncos,0.286,118.12,230.5,19.5,102.62,286.75,28.38,0.848,-4,AwayTeam
2021,10,WashingtonCommanders,Tampa Bay Buccaneers,0.25,115.44,230.0,20.56,97.11,279.33,27.33,0.848,-3,HomeTeam
2021,11,WashingtonCommanders,Carolina Panthers,0.333,122.9,224.9,21.2,98.5,270.0,26.7,0.848,-4,HomeTeam
2021,12,WashingtonCommanders,Seattle Seahawks,0.4,125.55,224.36,20.82,92.64,266.64,25.64,0.848,-4,HomeTeam
2021,13,WashingtonCommanders,Las Vegas Raiders,0.455,124.42,221.17,20.5,91.25,263.92,24.75,0.848,-5,HomeTeam
2021,14,WashingtonCommanders,Dallas Cowboys,0.5,122.54,213.69,20.46,93.62,259.08,24.92,0.848,-7,AwayTeam
2021,15,WashingtonCommanders,Philadelphia Eagles,0.462,118.29,210.86,20.21,103.93,260.64,25.07,0.848,-5,AwayTeam
2021,16,WashingtonCommanders,Dallas Cowboys,0.429,116.07,208.27,19.8,104.2,269.2,27.13,0.848,-7,AwayTeam
2021,17,WashingtonCommanders,Philadelphia Eagles,0.4,114.69,208.88,19.56,105.06,265.62,26.69,0.848,-8,AwayTeam
2021,18,WashingtonCommanders,New York Giants,0.375,121.24,202.41,19.71,104.41,254.88,25.53,0.848,-5,HomeTeam
2022,1,WashingtonCommanders,Jacksonville Jaguars,0,85.0,305.0,28.0,123.0,260.0,22.0,0.833,-2,HomeTeam
2022,2,WashingtonCommanders,Detroit Lions,1.0,86.5,306.5,27.5,157.0,247.0,29.0,0.833,-3,AwayTeam
2022,3,WashingtonCommanders,Philadelphia Eagles,0.5,86.67,255.33,21.0,128.67,274.0,27.33,0.833,-4,AwayTeam
2022,4,WashingtonCommanders,Dallas Cowboys,0.333,100.5,230.25,18.25,112.0,259.75,26.75,0.833,-6,AwayTeam
2022,5,WashingtonCommanders,Tennessee Titans,0.25,89.0,252.6,18.0,110.6,235.0,25.6,0.833,-7,AwayTeam
2022,6,WashingtonCommanders,Chicago Bears,0.2,95.5,224.83,17.0,131.67,221.5,22.5,0.833,-5,HomeTeam
2022,7,WashingtonCommanders,Green Bay Packers,0.333,105.57,221.0,17.86,118.29,217.57,22.29,0.833,-5,HomeTeam
2022,8,WashingtonCommanders,Indianapolis Colts,0.429,104.38,226.62,17.75,120.38,214.0,21.5,0.833,-4,HomeTeam
2022,9,WashingtonCommanders,Minnesota Vikings,0.5,108.0,215.44,17.67,113.22,217.44,21.33,0.833,-4,AwayTeam
2022,10,WashingtonCommanders,Philadelphia Eagles,0.444,112.4,211.7,19.1,111.3,212.7,21.3,0.833,-2,HomeTeam
2022,11,WashingtonCommanders,Houston Texans,0.5,116.09,209.82,19.45,103.09,204.91,20.27,0.833,0,HomeTeam
2022,12,WashingtonCommanders,Atlanta Falcons,0.545,121.08,203.83,19.42,108.42,201.58,19.67,0.833,0,HomeTeam
2022,13,WashingtonCommanders,New York Giants,0.583,124.46,207.08,19.46,110.38,200.08,19.69,0.833,0,
2022,15,WashingtonCommanders,New York Giants,0.583,126.93,208.57,18.93,111.64,197.21,19.71,0.833,-2,AwayTeam
2022,16,WashingtonCommanders,San Francisco 49ers,0.538,123.73,212.67,19.0,114.4,198.6,20.87,0.833,-3,AwayTeam
2022,17,WashingtonCommanders,Cleveland Browns,0.5,124.5,207.12,18.44,116.38,195.88,21.06,0.833,-6,AwayTeam
2022,18,WashingtonCommanders,Dallas Cowboys,0.467,126.06,204.24,18.88,113.29,191.29,20.18,0.833,-5,HomeTeam
2023,1,WashingtonCommanders,Arizona Cardinals,0,92.0,156.0,20.0,96.0,114.0,16.0,0.792,-1,HomeTeam
2023,2,WashingtonCommanders,Denver Broncos,1.0,107.0,211.0,27.5,109.0,195.5,24.5,0.792,1,HomeTeam
2023,3,WashingtonCommanders,Buffalo Bills,1.0,106.33,182.33,19.33,128.67,203.0,28.67,0.792,-3,AwayTeam
2023,4,WashingtonCommanders,Philadelphia Eagles,0.667,106.5,201.25,22.25,122.5,230.0,30.0,0.792,-3,AwayTeam
2023,5,WashingtonCommanders,Chicago Bears,0.5,91.0,232.8,21.8,133.6,238.6,32.0,0.792,-5,AwayTeam
2023,6,WashingtonCommanders,Atlanta Falcons,0.4,87.83,214.17,22.17,129.0,248.17,29.33,0.792,-2,HomeTeam
2023,7,WashingtonCommanders,New York Giants,0.5,86.14,211.71,20.0,125.71,248.43,27.14,0.792,-1,AwayTeam
2023,8,WashingtonCommanders,Philadelphia Eagles,0.429,85.88,233.75,21.38,117.38,256.75,28.5,0.792,0,AwayTeam
2023,9,WashingtonCommanders,New England Patriots,0.375,90.11,242.0,21.22,116.22,252.67,27.22,0.792,-1,HomeTeam
2023,10,WashingtonCommanders,Seattle Seahawks,0.444,87.9,246.6,21.7,116.6,264.3,27.4,0.792,-2,AwayTeam
2023,11,WashingtonCommanders,New York Giants,0.4,95.73,245.09,21.45,114.27,258.55,27.73,0.792,-8,AwayTeam
2023,12,WashingtonCommanders,Dallas Cowboys,0.364,96.75,247.0,20.5,113.08,264.58,29.17,0.792,-9,AwayTeam
2023,13,WashingtonCommanders,Miami Dolphins,0.333,99.92,236.23,20.08,113.85,266.0,30.38,0.792,-10,AwayTeam
2023,15,WashingtonCommanders,Los Angeles Rams,0.308,98.43,234.93,20.07,119.71,264.79,30.21,0.792,-9,AwayTeam
2023,16,WashingtonCommanders,New York Jets,0.286,98.67,228.8,20.6,122.67,261.6,30.2,0.792,-10,AwayTeam
2023,17,WashingtonCommanders,San Francisco 49ers,0.267,96.38,224.69,19.94,126.5,259.25,30.0,0.792,-12,AwayTeam
2023,18,WashingtonCommanders,Dallas Cowboys,0.25,93.65,219.12,19.35,126.76,262.18,30.47,0.792,-14,AwayTeam
2024,1,WashingtonCommanders,Tampa Bay Buccaneers,0,138.0,161.0,20.0,112.0,280.0,37.0,0.857,0,AwayTeam
2024,2,WashingtonCommanders,New York Giants,0.0,176.5,185.5,20.5,120.5,227.5,27.5,0.857,1,HomeTeam
2024,3,WashingtonCommanders,Cincinnati Bengals,0.5,153.67,206.33,26.33,121.67,255.67,29.33,0.857,1,HomeTeam
2024,4,WashingtonCommanders,Arizona Cardinals,0.667,169.25,213.0,30.25,136.5,220.5,25.5,0.857,1,HomeTeam
2024,5,WashingtonCommanders,Cleveland Browns,0.75,178.4,214.2,31.0,130.0,198.0,23.0,0.857,0,HomeTeam
