Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,8:20PM ET,boxscore,L,,0-1,@,Green Bay Packers,23,24,18,294,155,139,1,16,370,301,69,2,-1.75,-1.65,-0.54
2,Mon,September 17,8:15PM ET,boxscore,W,,1-1,,Seattle Seahawks,24,17,20,271,185,86,2,17,276,202,74,2,-0.24,11.46,-2.71
3,Sun,September 23,4:25PM ET,boxscore,W,,2-1,@,Arizona Cardinals,16,14,21,316,194,122,2,13,221,168,53,4,-2.63,6.07,-1.68
4,Sun,September 30,1:00PM ET,boxscore,W,,3-1,,Tampa Bay Buccaneers,48,10,28,483,344,139,,16,311,251,60,3,33.53,5.14,-0.24
6,Sun,October 14,1:00PM ET,boxscore,L,OT,3-2,@,Miami Dolphins,28,31,23,467,303,164,3,23,541,380,161,3,12.66,-10.81,-5.41
7,Sun,October 21,1:00PM ET,boxscore,L,,3-3,,New England Patriots,31,38,29,453,319,134,2,21,381,273,108,3,16.60,-9.37,-5.66
8,Sun,October 28,1:00PM ET,boxscore,W,,4-3,,New York Jets,24,10,22,395,216,179,,12,207,150,57,,15.66,6.25,-9.71
9,Sun,November 4,1:00PM ET,boxscore,W,,5-3,@,Buffalo Bills,41,9,11,190,126,64,1,22,264,166,98,4,-2.58,29.93,2.21
10,Sun,November 11,1:00PM ET,boxscore,W,,6-3,,Detroit Lions,34,22,20,402,348,54,,24,305,229,76,3,21.90,0.42,-15.40
11,Sun,November 18,8:20PM ET,boxscore,W,,7-3,,Minnesota Vikings,25,20,24,308,160,148,3,19,268,246,22,3,-0.26,6.90,-0.96
12,Thu,November 22,12:30PM ET,boxscore,W,,8-3,@,Detroit Lions,23,16,19,264,226,38,1,17,333,222,111,2,1.31,2.71,0.91
13,Sun,December 2,1:00PM ET,boxscore,L,OT,8-4,@,New York Giants,27,30,23,376,258,118,3,18,338,197,141,1,-5.96,1.90,7.06
14,Sun,December 9,8:20PM ET,boxscore,W,,9-4,,Los Angeles Rams,15,6,17,294,100,194,3,14,214,162,52,4,-15.04,21.99,-2.29
15,Sun,December 16,1:00PM ET,boxscore,W,,10-4,,Green Bay Packers,24,17,19,332,232,100,1,19,323,235,88,1,6.61,1.33,-0.49
16,Sun,December 23,4:05PM ET,boxscore,W,,11-4,@,San Francisco 49ers,14,9,20,325,235,90,2,15,279,232,47,1,5.98,4.05,1.40
17,Sun,December 30,4:25PM ET,boxscore,W,,12-4,@,Minnesota Vikings,24,10,17,332,163,169,,12,164,101,63,,9.09,11.59,-6.78
,,,,,,,,,,,,,,,,,,,,,,,,
1,Thu,September 5,8:20PM ET,boxscore,L,,0-1,,Green Bay Packers,3,10,16,254,208,46,1,13,213,166,47,,-20.02,9.57,-2.01
2,Sun,September 15,4:25PM ET,boxscore,W,,1-1,@,Denver Broncos,16,14,18,273,120,153,,27,372,282,90,1,4.12,-4.46,5.80
3,Mon,September 23,8:15PM ET,boxscore,W,,2-1,@,Washington Redskins,31,15,21,298,208,90,1,25,356,287,69,5,9.23,11.86,-3.52
4,Sun,September 29,4:25PM ET,boxscore,W,,3-1,,Minnesota Vikings,16,6,17,269,197,72,,15,222,182,40,2,-2.85,10.79,1.53
5,Sun,October 6,1:00PM ET,boxscore,L,,3-2,@,Oakland Raiders,21,24,15,236,194,42,2,25,398,229,169,2,-3.03,-2.24,-0.43
7,Sun,October 20,4:25PM ET,boxscore,L,,3-3,,New Orleans Saints,25,36,16,252,235,17,2,24,424,273,151,,-12.36,-13.46,10.99
8,Sun,October 27,1:00PM ET,boxscore,L,,3-4,,Los Angeles Chargers,16,17,26,388,226,162,2,11,231,195,36,1,0.44,5.45,-6.02
9,Sun,November 3,1:00PM ET,boxscore,L,,3-5,@,Philadelphia Eagles,14,22,10,164,102,62,1,26,373,227,146,,-4.78,-10.73,2.82
10,Sun,November 10,1:00PM ET,boxscore,W,,4-5,,Detroit Lions,20,13,13,226,145,81,,21,357,259,98,1,-0.41,6.77,-2.10
11,Sun,November 17,8:20PM ET,boxscore,L,,4-6,@,Los Angeles Rams,7,17,17,267,193,74,1,13,283,173,110,2,-13.17,5.69,-5.08
12,Sun,November 24,1:00PM ET,boxscore,W,,5-6,,New York Giants,19,14,20,335,270,65,2,14,243,134,109,1,-7.02,12.48,-2.01
13,Thu,November 28,12:30PM ET,boxscore,W,,6-6,@,Detroit Lions,24,20,22,419,331,88,1,19,364,259,105,1,8.33,-6.28,0.13
14,Thu,December 5,8:20PM ET,boxscore,W,,7-6,,Dallas Cowboys,31,24,24,382,231,151,2,22,408,326,82,,10.48,-10.67,8.71
15,Sun,December 15,1:00PM ET,boxscore,L,,7-7,@,Green Bay Packers,13,21,20,415,319,96,3,12,292,192,100,,-4.89,2.97,-1.24
16,Sun,December 22,8:20PM ET,boxscore,L,,7-8,,Kansas City Chiefs,3,26,18,234,133,101,,25,350,244,106,,-6.38,-14.74,-1.09
