Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,T,OT,0-0-1,,Pittsburgh Steelers,21,21,22,327,150,177,1,25,472,313,159,6,-11.02,12.04,-1.51
2,Sun,September 16,1:00PM ET,boxscore,L,,0-1-1,@,New Orleans Saints,18,21,16,327,234,93,1,18,275,213,62,2,2.85,2.16,-10.01
3,Thu,September 20,8:20PM ET,boxscore,W,,1-1-1,,New York Jets,21,17,20,323,190,133,,14,268,161,107,3,0.16,10.59,-6.79
4,Sun,September 30,4:05PM ET,boxscore,L,OT,1-2-1,@,Oakland Raiders,42,45,21,487,279,208,4,27,565,426,139,2,1.25,-7.23,2.16
5,Sun,October 7,1:00PM ET,boxscore,W,OT,2-2-1,,Baltimore Ravens,12,9,20,416,304,112,1,25,410,294,116,2,-7.48,11.13,-2.05
6,Sun,October 14,1:00PM ET,boxscore,L,,2-3-1,,Los Angeles Chargers,14,38,18,317,214,103,2,24,449,203,246,1,-14.57,-13.33,4.29
7,Sun,October 21,1:00PM ET,boxscore,L,OT,2-4-1,@,Tampa Bay Buccaneers,23,26,17,305,186,119,1,34,456,342,114,4,-7.86,-4.49,6.20
8,Sun,October 28,1:00PM ET,boxscore,L,,2-5-1,@,Pittsburgh Steelers,18,33,17,237,163,74,1,25,421,253,168,2,-0.68,-12.48,3.07
9,Sun,November 4,1:00PM ET,boxscore,L,,2-6-1,,Kansas City Chiefs,21,37,26,388,286,102,1,27,499,360,139,1,11.80,-31.68,-0.72
10,Sun,November 11,1:00PM ET,boxscore,W,,3-6-1,,Atlanta Falcons,28,16,19,427,216,211,1,25,382,311,71,2,15.47,-1.81,-0.18
12,Sun,November 25,1:00PM ET,boxscore,W,,4-6-1,@,Cincinnati Bengals,35,20,24,342,258,84,,25,372,243,129,2,18.95,-2.63,0.20
13,Sun,December 2,1:00PM ET,boxscore,L,,4-7-1,@,Houston Texans,13,29,20,428,397,31,4,25,384,197,187,,-3.39,-8.03,-4.03
14,Sun,December 9,1:00PM ET,boxscore,W,,5-7-1,,Carolina Panthers,26,20,12,348,232,116,2,22,393,297,96,1,4.41,-0.14,2.47
15,Sat,December 15,8:20PM ET,boxscore,W,,6-7-1,@,Denver Broncos,17,16,21,309,175,134,2,22,270,238,32,2,-1.32,2.46,2.94
16,Sun,December 23,1:00PM ET,boxscore,W,,7-7-1,,Cincinnati Bengals,26,18,23,493,347,146,,15,209,107,102,,22.85,-0.50,-11.29
17,Sun,December 30,4:25PM ET,boxscore,L,,7-8-1,@,Baltimore Ravens,24,26,18,426,376,50,3,24,463,167,296,1,9.49,-7.31,-2.95
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,Tennessee Titans,13,43,19,346,244,102,3,21,339,216,123,,-19.89,-11.10,-1.22
2,Mon,September 16,8:15PM ET,boxscore,W,,1-1,@,New York Jets,23,3,16,375,305,70,1,13,262,169,93,1,4.95,14.42,-0.90
3,Sun,September 22,8:20PM ET,boxscore,L,,1-2,,Los Angeles Rams,13,20,18,270,175,95,1,20,344,254,90,3,-8.89,-1.06,3.41
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,@,Baltimore Ravens,40,25,22,530,337,193,1,24,395,222,173,3,23.04,-4.82,-3.35
5,Mon,October 7,8:15PM ET,boxscore,L,,2-3,@,San Francisco 49ers,3,31,9,180,78,102,4,22,446,171,275,,-22.56,-12.38,10.50
6,Sun,October 13,1:00PM ET,boxscore,L,,2-4,,Seattle Seahawks,28,32,21,406,249,157,4,29,454,284,170,1,3.24,-15.53,4.92
8,Sun,October 27,4:25PM ET,boxscore,L,,2-5,@,New England Patriots,13,27,15,310,151,159,3,19,318,239,79,,-19.38,-4.62,7.91
9,Sun,November 3,4:25PM ET,boxscore,L,,2-6,@,Denver Broncos,19,24,21,351,261,90,,13,302,175,127,1,2.24,-5.66,-0.78
10,Sun,November 10,1:00PM ET,boxscore,W,,3-6,,Buffalo Bills,19,16,24,368,221,147,,20,344,260,84,,9.80,-4.32,0.44
