Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,4:25PM ET,boxscore,L,,0-1,@,Carolina Panthers,8,16,17,232,138,94,1,20,293,146,147,1,-9.14,2.28,-3.01
2,Sun,September 16,8:20PM ET,boxscore,W,,1-1,,New York Giants,20,13,16,298,160,138,,17,255,220,35,1,7.10,3.49,-3.49
3,Sun,September 23,4:25PM ET,boxscore,L,,1-2,@,Seattle Seahawks,13,24,17,303,137,166,3,18,295,182,113,,-11.41,-5.56,11.31
4,Sun,September 30,1:00PM ET,boxscore,W,,2-2,,Detroit Lions,26,24,26,414,231,183,,18,382,286,96,,18.17,-17.10,0.37
5,Sun,October 7,8:20PM ET,boxscore,L,OT,2-3,@,Houston Texans,16,19,14,292,194,98,2,25,462,374,88,2,-8.15,-1.63,5.93
6,Sun,October 14,4:25PM ET,boxscore,W,,3-3,,Jacksonville Jaguars,40,7,23,378,172,206,,10,204,139,65,2,11.83,15.11,4.14
7,Sun,October 21,4:25PM ET,boxscore,L,,3-4,@,Washington Redskins,17,20,17,323,250,73,2,15,305,175,130,,-1.71,-0.89,-0.27
9,Mon,November 5,8:15PM ET,boxscore,L,,3-5,,Tennessee Titans,14,28,18,297,225,72,2,24,340,215,125,2,-2.26,-12.17,2.87
10,Sun,November 11,8:20PM ET,boxscore,W,,4-5,@,Philadelphia Eagles,27,20,23,410,239,171,,23,421,350,71,1,11.95,-3.87,-5.20
11,Sun,November 18,1:00PM ET,boxscore,W,,5-5,@,Atlanta Falcons,22,19,20,323,191,132,,19,354,274,80,1,10.89,-5.20,-0.89
12,Thu,November 22,4:30PM ET,boxscore,W,,6-5,,Washington Redskins,31,23,20,404,258,146,,18,331,251,80,3,10.45,0.72,-1.62
13,Thu,November 29,8:20PM ET,boxscore,W,,7-5,,New Orleans Saints,13,10,21,308,209,99,2,14,176,111,65,1,-0.16,9.57,-1.70
14,Sun,December 9,4:25PM ET,boxscore,W,OT,8-5,,Philadelphia Eagles,29,23,32,576,434,142,3,16,256,222,34,1,9.25,-0.29,-2.96
15,Sun,December 16,1:00PM ET,boxscore,L,,8-6,@,Indianapolis Colts,0,23,19,292,180,112,1,25,370,192,178,1,-8.08,-10.54,2.01
16,Sun,December 23,1:00PM ET,boxscore,W,,9-6,,Tampa Bay Buccaneers,27,20,16,232,152,80,,27,383,320,63,2,-0.41,5.08,4.32
17,Sun,December 30,1:00PM ET,boxscore,W,,10-6,@,New York Giants,36,35,23,419,368,51,1,20,441,298,143,2,21.03,-10.28,-8.93
,,,,,,,,,,,,,,,,,,,,,,,,
