Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,L,,0-1,@,New England Patriots,20,27,21,325,158,167,2,23,389,267,122,3,-8.05,-4.29,6.85
2,Sun,September 16,1:00PM ET,boxscore,L,,0-2,@,Tennessee Titans,17,20,21,437,289,148,1,15,283,183,100,,12.07,5.08,-14.87
3,Sun,September 23,1:00PM ET,boxscore,L,,0-3,,New York Giants,22,27,21,427,368,59,2,21,379,265,114,,6.00,-14.90,3.71
4,Sun,September 30,1:00PM ET,boxscore,W,OT,1-3,@,Indianapolis Colts,37,34,30,466,347,119,1,28,478,437,41,2,13.24,-4.22,-4.75
5,Sun,October 7,8:20PM ET,boxscore,W,OT,2-3,,Dallas Cowboys,19,16,25,462,374,88,2,14,292,194,98,2,1.63,8.15,-5.93
6,Sun,October 14,1:00PM ET,boxscore,W,,3-3,,Buffalo Bills,20,13,15,216,142,74,3,12,229,129,100,3,-12.36,17.49,6.15
7,Sun,October 21,1:00PM ET,boxscore,W,,4-3,@,Jacksonville Jaguars,20,7,15,272,131,141,,15,259,189,70,3,0.33,14.02,1.41
8,Thu,October 25,8:20PM ET,boxscore,W,,5-3,,Miami Dolphins,42,23,17,427,239,188,,18,370,254,116,1,26.51,-1.41,-8.12
9,Sun,November 4,4:05PM ET,boxscore,W,,6-3,@,Denver Broncos,19,17,17,290,192,98,,19,348,273,75,1,0.79,-3.66,3.27
11,Sun,November 18,1:00PM ET,boxscore,W,,7-3,@,Washington Redskins,23,21,19,320,181,139,3,23,278,154,124,2,-3.27,6.12,-1.26
12,Mon,November 26,8:15PM ET,boxscore,W,,8-3,,Tennessee Titans,34,17,19,462,181,281,,14,365,260,105,1,20.01,-1.51,-7.77
13,Sun,December 2,1:00PM ET,boxscore,W,,9-3,,Cleveland Browns,29,13,25,384,197,187,,20,428,397,31,4,8.03,3.39,4.03
14,Sun,December 9,1:00PM ET,boxscore,L,,9-4,,Indianapolis Colts,21,24,25,315,226,89,,24,436,386,50,1,8.14,-13.09,2.01
15,Sat,December 15,4:30PM ET,boxscore,W,,10-4,@,New York Jets,29,22,15,286,239,47,,21,318,228,90,1,2.17,0.47,4.92
16,Sun,December 23,1:00PM ET,boxscore,L,,10-5,@,Philadelphia Eagles,30,32,25,371,309,62,1,25,519,462,57,3,10.43,-15.67,0.98
17,Sun,December 30,1:00PM ET,boxscore,W,,11-5,,Jacksonville Jaguars,20,3,23,342,208,134,1,6,119,89,30,2,2.75,20.82,-2.02
,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,September 9,7:10PM ET,boxscore,L,,0-1,@,New Orleans Saints,28,30,22,414,234,180,1,25,510,362,148,1,19.60,-23.59,0.06
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,,Jacksonville Jaguars,13,12,17,263,137,126,,16,281,178,103,1,-2.30,7.19,-1.18
3,Sun,September 22,4:25PM ET,boxscore,W,,2-1,@,Los Angeles Chargers,27,20,20,376,337,39,1,22,366,293,73,1,16.39,-6.08,-1.94
4,Sun,September 29,1:00PM ET,boxscore,L,,2-2,,Carolina Panthers,10,16,18,264,128,136,2,19,297,203,94,3,-9.25,5.69,1.44
5,Sun,October 6,1:00PM ET,boxscore,W,,3-2,,Atlanta Falcons,53,32,31,592,426,166,1,22,373,316,57,1,40.69,-6.40,-9.43
6,Sun,October 13,1:00PM ET,boxscore,W,,4-2,@,Kansas City Chiefs,31,24,35,472,280,192,3,20,309,256,53,2,16.92,-6.10,-1.87
7,Sun,October 20,1:00PM ET,boxscore,L,,4-3,@,Indianapolis Colts,23,30,21,391,291,100,2,23,383,321,62,1,1.33,-8.42,-0.23
8,Sun,October 27,4:25PM ET,boxscore,W,,5-3,,Oakland Raiders,27,24,29,388,258,130,,15,378,285,93,,14.69,-11.28,-1.22
9,Sun,November 3,9:30AM ET,boxscore,W,,6-3,@,Jacksonville Jaguars,26,3,21,410,194,216,1,21,356,282,74,4,8.05,12.02,-0.32
11,Sun,November 17,1:00PM ET,boxscore,L,,6-4,@,Baltimore Ravens,7,41,16,232,110,122,2,25,491,235,256,,-13.24,-31.56,6.15
12,Thu,November 21,8:20PM ET,boxscore,W,,7-4,,Indianapolis Colts,20,17,16,396,297,99,1,19,296,121,175,,8.75,-3.31,-0.17
13,Sun,December 1,8:20PM ET,boxscore,W,,8-4,,New England Patriots,28,22,16,276,224,52,,29,448,303,145,1,10.32,-9.51,6.77
14,Sun,December 8,1:00PM ET,boxscore,L,,8-5,,Denver Broncos,24,38,26,414,280,134,3,22,391,301,90,1,1.10,-18.37,3.75
15,Sun,December 15,1:00PM ET,boxscore,W,,9-5,@,Tennessee Titans,24,21,23,374,234,140,2,24,432,269,163,1,9.03,-9.37,6.55
16,Sat,December 21,1:00PM ET,boxscore,W,,10-5,@,Tampa Bay Buccaneers,23,20,15,229,161,68,2,19,435,329,106,5,-13.02,8.40,7.92
17,Sun,December 29,4:25PM ET,boxscore,L,,10-6,,Tennessee Titans,14,35,20,301,192,109,1,25,467,222,245,,1.54,-27.49,6.36
,,,,,,,,,,,,,,,,,,,,,,,,
1,Thu,September 10,8:20PM ET,boxscore,L,,0-1,@,Kansas City Chiefs,20,34,21,360,242,118,1,28,369,203,166,,8.16,-22.94,-1.59
2,Sun,September 20,4:25PM ET,boxscore,L,,0-2,,Baltimore Ravens,16,33,18,304,253,51,2,23,407,177,230,,-5.68,-15.93,3.20
3,Sun,September 27,1:00PM ET,boxscore,L,,0-3,@,Pittsburgh Steelers,21,28,13,260,231,29,1,25,387,218,169,,4.41,-15.39,2.08
4,Sun,October 4,1:00PM ET,boxscore,L,,0-4,,Minnesota Vikings,23,31,20,386,290,96,1,24,410,248,162,,8.81,-17.07,1.44
5,Sun,October 11,1:00PM ET,boxscore,W,,1-4,,Jacksonville Jaguars,30,14,24,486,357,129,2,22,364,289,75,2,18.24,-2.21,1.26
6,Sun,October 18,1:00PM ET,boxscore,L,OT,1-5,@,Tennessee Titans,36,42,25,412,320,92,,31,607,344,263,2,22.14,-33.45,5.31
7,Sun,October 25,1:00PM ET,boxscore,L,,1-6,,Green Bay Packers,20,35,20,365,286,79,1,22,379,283,96,,1.70,-20.19,4.25
9,Sun,November 8,1:00PM ET,boxscore,W,,2-6,@,Jacksonville Jaguars,27,25,19,374,267,107,1,22,403,288,115,1,9.52,-7.61,1.03
10,Sun,November 15,1:00PM ET,boxscore,L,,2-7,@,Cleveland Browns,7,10,16,243,153,90,,20,356,125,231,,-0.68,-5.49,-2.92
11,Sun,November 22,1:00PM ET,boxscore,W,,3-7,,New England Patriots,27,20,21,399,344,55,,22,435,349,86,,15.69,-13.67,0.27
12,Thu,November 26,12:30PM ET,boxscore,W,,4-7,@,Detroit Lions,41,25,21,384,307,77,1,28,388,279,109,3,11.31,3.34,-0.56
13,Sun,December 6,1:00PM ET,boxscore,L,,4-8,,Indianapolis Colts,20,26,20,398,308,90,2,25,371,262,109,,5.59,-8.59,-1.28
14,Sun,December 13,1:00PM ET,boxscore,L,,4-9,@,Chicago Bears,7,36,17,263,155,108,2,23,410,241,169,,-8.67,-16.71,-2.22
15,Sun,December 20,1:00PM ET,boxscore,L,,4-10,@,Indianapolis Colts,20,27,22,425,342,83,2,20,350,223,127,,12.04,-16.23,-1.35
16,Sun,December 27,1:00PM ET,boxscore,L,,4-11,,Cincinnati Bengals,31,37,23,488,322,166,1,27,540,371,169,,20.31,-25.27,2.34
17,Sun,January 3,4:25PM ET,boxscore,L,,4-12,,Tennessee Titans,38,41,26,457,361,96,1,28,492,204,288,1,17.33,-25.43,4.17
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,W,,1-0,,Jacksonville Jaguars,37,21,22,449,289,160,,20,395,319,76,3,14.76,1.54,-0.16
2,Sun,September 19,1:00PM ET,boxscore,L,,1-1,@,Cleveland Browns,21,31,17,302,220,82,2,22,355,199,156,2,9.61,-8.22,-8.62
3,Thu,September 23,8:20PM ET,boxscore,L,,1-2,,Carolina Panthers,9,24,14,193,151,42,,28,407,290,117,,-5.60,-14.35,5.17
4,Sun,October 3,1:00PM ET,boxscore,L,,1-3,@,Buffalo Bills,0,40,6,109,61,48,5,26,450,251,199,1,-32.68,-14.54,6.40
5,Sun,October 10,1:00PM ET,boxscore,L,,1-4,,New England Patriots,22,25,14,360,293,67,1,21,352,226,126,2,13.76,-6.89,-8.60
6,Sun,October 17,1:00PM ET,boxscore,L,,1-5,@,Indianapolis Colts,3,31,19,353,229,124,3,15,388,214,174,,-9.92,-17.25,0.25
7,Sun,October 24,4:25PM ET,boxscore,L,,1-6,@,Arizona Cardinals,5,31,8,160,118,42,1,24,397,225,172,1,-23.71,-13.37,10.47
8,Sun,October 31,1:00PM ET,boxscore,L,,1-7,,Los Angeles Rams,22,38,18,323,279,44,1,26,467,302,165,,1.75,-22.20,8.01
9,Sun,November 7,1:00PM ET,boxscore,L,,1-8,@,Miami Dolphins,9,17,14,272,199,73,4,22,262,215,47,5,-19.43,8.14,4.21
11,Sun,November 21,1:00PM ET,boxscore,W,,2-8,@,Tennessee Titans,22,13,15,190,107,83,,26,420,317,103,5,-10.90,6.86,10.33
12,Sun,November 28,1:00PM ET,boxscore,L,,2-9,,New York Jets,14,21,13,202,106,96,1,18,266,109,157,1,-9.28,2.68,1.61
13,Sun,December 5,1:00PM ET,boxscore,L,,2-10,,Indianapolis Colts,0,31,9,141,57,84,2,26,389,151,238,1,-28.83,-12.97,9.16
14,Sun,December 12,1:00PM ET,boxscore,L,,2-11,,Seattle Seahawks,13,33,25,380,317,63,,20,453,260,193,,-2.60,-21.71,9.75
15,Sun,December 19,1:00PM ET,boxscore,W,,3-11,@,Jacksonville Jaguars,30,16,13,281,206,75,1,21,296,189,107,,-0.77,1.90,10.61
16,Sun,December 26,1:00PM ET,boxscore,W,,4-11,,Los Angeles Chargers,41,29,26,437,248,189,,25,417,328,89,3,24.35,-5.49,-2.75
17,Sun,January 2,4:05PM ET,boxscore,L,,4-12,@,San Francisco 49ers,7,23,15,222,136,86,1,19,416,241,175,1,-7.88,-5.70,-0.16
18,Sun,January 9,1:00PM ET,boxscore,L,,4-13,,Tennessee Titans,25,28,18,353,289,64,,23,405,281,124,,13.08,-21.60,1.97
,,,,,,,,,,,,,,,,,,,,,,,,
