Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,4:05PM ET,boxscore,L,,0-1,,Kansas City Chiefs,28,38,33,541,418,123,2,19,362,256,106,,24.31,-13.10,-19.32
2,Sun,September 16,1:00PM ET,boxscore,W,,1-1,@,Buffalo Bills,31,20,21,349,240,109,,17,293,209,84,2,14.41,1.04,0.51
3,Sun,September 23,4:05PM ET,boxscore,L,,1-2,@,Los Angeles Rams,23,35,16,356,215,141,2,33,521,350,171,2,10.00,-24.39,0.42
4,Sun,September 30,4:25PM ET,boxscore,W,,2-2,,San Francisco 49ers,29,27,21,368,242,126,1,22,364,288,76,2,3.06,2.39,-0.50
5,Sun,October 7,4:05PM ET,boxscore,W,,3-2,,Oakland Raiders,26,10,19,412,333,79,,14,289,248,41,2,17.22,2.22,0.93
6,Sun,October 14,1:00PM ET,boxscore,W,,4-2,@,Cleveland Browns,38,14,24,449,203,246,1,18,317,214,103,2,13.33,14.57,-4.29
7,Sun,October 21,9:30AM ET,boxscore,W,,5-2,,Tennessee Titans,20,19,14,344,297,47,,23,390,226,164,1,13.09,-9.18,-1.39
9,Sun,November 4,4:05PM ET,boxscore,W,,6-2,@,Seattle Seahawks,25,17,18,375,215,160,,25,356,202,154,1,11.44,-0.78,-6.61
10,Sun,November 11,4:05PM ET,boxscore,W,,7-2,@,Oakland Raiders,20,6,16,335,222,113,1,16,317,203,114,1,9.00,13.18,-7.33
11,Sun,November 18,4:05PM ET,boxscore,L,,7-3,,Denver Broncos,22,23,26,479,384,95,2,16,325,217,108,,9.69,-6.83,-4.09
12,Sun,November 25,4:05PM ET,boxscore,W,,8-3,,Arizona Cardinals,45,10,30,414,236,178,1,10,149,87,62,1,24.25,13.00,-1.28
13,Sun,December 2,8:20PM ET,boxscore,W,,9-3,@,Pittsburgh Steelers,33,30,22,371,286,85,,23,336,271,65,1,16.37,-14.79,0.62
14,Sun,December 9,4:05PM ET,boxscore,W,,10-3,,Cincinnati Bengals,26,21,17,288,203,85,,19,295,151,144,,6.81,0.04,-0.02
15,Thu,December 13,8:20PM ET,boxscore,W,,11-3,@,Kansas City Chiefs,29,28,30,407,288,119,2,22,294,234,60,,21.67,-17.10,-4.16
16,Sat,December 22,8:20PM ET,boxscore,L,,11-4,,Baltimore Ravens,10,22,14,198,147,51,3,15,361,202,159,1,-21.26,3.87,1.70
17,Sun,December 30,4:25PM ET,boxscore,W,,12-4,@,Denver Broncos,23,9,17,276,160,116,4,19,370,288,82,4,-6.84,10.32,7.22
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,4:05PM ET,boxscore,W,OT,1-0,,Indianapolis Colts,30,24,25,435,310,125,2,22,376,173,203,,15.32,-18.02,8.43
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,@,Detroit Lions,10,13,21,424,287,137,2,19,339,245,94,2,5.86,-8.62,-0.56
3,Sun,September 22,4:25PM ET,boxscore,L,,1-2,,Houston Texans,20,27,22,366,293,73,1,20,376,337,39,1,6.08,-16.39,1.94
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,@,Miami Dolphins,30,10,24,390,311,79,,13,233,161,72,1,15.45,-0.41,3.89
5,Sun,October 6,4:05PM ET,boxscore,L,,2-3,,Denver Broncos,13,20,19,246,211,35,3,15,350,159,191,2,-12.18,2.29,0.78
6,Sun,October 13,8:20PM ET,boxscore,L,,2-4,,Pittsburgh Steelers,17,24,23,348,316,32,3,18,256,132,124,1,-2.12,-5.45,-4.54
7,Sun,October 20,4:05PM ET,boxscore,L,,2-5,@,Tennessee Titans,20,23,24,365,326,39,1,22,403,306,97,1,8.93,-10.83,-0.57
8,Sun,October 27,1:00PM ET,boxscore,W,,3-5,@,Chicago Bears,17,16,11,231,195,36,1,26,388,226,162,2,-5.45,-0.44,6.02
9,Sun,November 3,4:25PM ET,boxscore,W,,4-5,,Green Bay Packers,26,11,24,442,283,159,,13,184,139,45,,16.68,5.74,-6.12
10,Thu,November 7,8:20PM ET,boxscore,L,,4-6,@,Oakland Raiders,24,26,26,315,169,146,3,18,278,200,78,,0.55,-5.96,1.54
11,Mon,November 18,8:15PM ET,boxscore,L,,4-7,,Kansas City Chiefs,17,24,23,438,345,93,4,18,310,180,130,1,-1.36,-4.13,-2.05
13,Sun,December 1,4:25PM ET,boxscore,L,,4-8,@,Denver Broncos,20,23,17,359,244,115,2,13,218,134,84,1,1.40,2.73,-11.44
14,Sun,December 8,4:05PM ET,boxscore,W,,5-8,@,Jacksonville Jaguars,45,10,27,525,330,195,,15,252,164,88,,37.99,6.91,-8.63
15,Sun,December 15,4:05PM ET,boxscore,L,,5-9,,Minnesota Vikings,10,39,17,345,283,62,7,18,344,207,137,1,-20.63,-5.27,0.79
16,Sun,December 22,4:05PM ET,boxscore,L,,5-10,,Oakland Raiders,17,24,21,284,265,19,,19,366,267,99,,6.73,-12.67,-2.60
17,Sun,December 29,1:00PM ET,boxscore,L,,5-11,@,Kansas City Chiefs,21,31,25,366,258,108,2,16,336,174,162,1,9.18,-13.59,-7.29
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 13,4:05PM ET,boxscore,W,,1-0,@,Cincinnati Bengals,16,13,19,362,207,155,,19,295,173,122,2,-2.07,8.27,-3.54
2,Sun,September 20,4:25PM ET,boxscore,L,OT,1-1,,Kansas City Chiefs,20,23,28,479,296,183,1,23,414,289,125,,13.33,-10.92,-3.80
3,Sun,September 27,4:05PM ET,boxscore,L,,1-2,,Carolina Panthers,16,21,26,436,319,117,4,14,302,221,81,,-5.44,-1.18,0.62
4,Sun,October 4,1:00PM ET,boxscore,L,,1-3,@,Tampa Bay Buccaneers,31,38,15,324,278,46,2,28,484,369,115,1,5.88,-12.95,-0.20
5,Mon,October 12,8:15PM ET,boxscore,L,OT,1-4,@,New Orleans Saints,27,30,19,350,239,111,,23,408,313,95,1,6.80,-3.09,-7.44
7,Sun,October 25,4:25PM ET,boxscore,W,,2-4,,Jacksonville Jaguars,39,29,29,484,349,135,,15,294,154,140,1,20.27,2.30,-8.03
8,Sun,November 1,4:05PM ET,boxscore,L,,2-5,@,Denver Broncos,30,31,28,485,275,210,2,17,351,243,108,1,9.03,-8.64,-1.18
9,Sun,November 8,4:05PM ET,boxscore,L,,2-6,,Las Vegas Raiders,26,31,26,440,312,128,1,16,320,160,160,1,17.58,-11.13,-10.69
10,Sun,November 15,4:05PM ET,boxscore,L,,2-7,@,Miami Dolphins,21,29,19,273,174,99,1,17,280,169,111,1,-1.88,7.96,-14.67
11,Sun,November 22,4:05PM ET,boxscore,W,,3-7,,New York Jets,34,28,28,376,347,29,1,20,292,196,96,1,16.66,-7.52,-3.42
12,Sun,November 29,1:00PM ET,boxscore,L,,3-8,@,Buffalo Bills,17,27,24,367,291,76,1,23,332,160,172,3,4.93,-5.65,-4.65
13,Sun,December 6,4:25PM ET,boxscore,L,,3-9,,New England Patriots,0,45,17,258,188,70,2,22,291,126,165,,-16.13,-9.66,-22.19
14,Sun,December 13,4:25PM ET,boxscore,W,,4-9,,Atlanta Falcons,20,17,23,345,240,105,1,19,319,249,70,3,10.14,-5.82,-1.54
15,Thu,December 17,8:20PM ET,boxscore,W,OT,5-9,@,Las Vegas Raiders,30,27,27,402,306,96,,27,449,276,173,1,23.38,-16.83,-4.42
16,Sun,December 27,4:05PM ET,boxscore,W,,6-9,,Denver Broncos,19,16,16,316,227,89,,23,396,263,133,2,1.63,-4.25,4.44
17,Sun,January 3,4:25PM ET,boxscore,W,,7-9,@,Kansas City Chiefs,38,21,29,416,281,135,,18,268,217,51,1,25.49,-10.71,3.07
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,W,,1-0,@,Washington Football Team,20,16,27,424,334,90,2,15,259,133,126,1,9.45,-1.45,-1.24
2,Sun,September 19,4:25PM ET,boxscore,L,,1-1,,Dallas Cowboys,17,20,24,408,313,95,2,25,419,221,198,1,5.55,-17.50,-1.81
3,Sun,September 26,1:00PM ET,boxscore,W,,2-1,@,Kansas City Chiefs,30,24,21,352,275,77,,33,437,251,186,4,16.65,-9.49,-3.01
4,Mon,October 4,8:15PM ET,boxscore,W,,3-1,,Las Vegas Raiders,28,14,25,380,212,168,,13,213,165,48,1,11.99,7.95,-2.22
5,Sun,October 10,4:05PM ET,boxscore,W,,4-1,,Cleveland Browns,47,42,27,493,381,112,1,25,531,301,230,,31.81,-22.52,-3.45
6,Sun,October 17,1:00PM ET,boxscore,L,,4-2,@,Baltimore Ravens,6,34,14,208,182,26,1,27,327,140,187,2,-13.93,-7.50,-4.48
8,Sun,October 31,4:05PM ET,boxscore,L,,4-3,,New England Patriots,24,27,17,369,206,163,2,21,352,210,142,1,1.35,1.47,-9.98
9,Sun,November 7,4:05PM ET,boxscore,W,,5-3,@,Philadelphia Eagles,27,24,28,445,356,89,,20,331,155,176,,20.72,-17.56,-1.49
10,Sun,November 14,4:05PM ET,boxscore,L,,5-4,,Minnesota Vikings,20,27,20,253,171,82,1,24,381,278,103,1,3.95,-8.75,-2.56
11,Sun,November 21,8:20PM ET,boxscore,W,,6-4,,Pittsburgh Steelers,41,37,33,533,374,159,1,22,300,245,55,,20.68,-7.04,-7.92
12,Sun,November 28,4:05PM ET,boxscore,L,,6-5,@,Denver Broncos,13,28,20,357,285,72,2,23,302,155,147,1,-6.58,-12.16,-1.43
13,Sun,December 5,1:00PM ET,boxscore,W,,7-5,@,Cincinnati Bengals,41,22,18,363,284,79,3,21,356,260,96,4,1.98,12.31,1.02
14,Sun,December 12,4:05PM ET,boxscore,W,,8-5,,New York Giants,37,21,26,423,271,152,,20,316,181,135,2,18.32,0.24,-3.58
15,Thu,December 16,8:20PM ET,boxscore,L,OT,8-6,,Kansas City Chiefs,28,34,28,428,236,192,2,26,496,410,86,2,6.23,-13.18,1.57
16,Sun,December 26,1:00PM ET,boxscore,L,,8-7,@,Houston Texans,29,41,25,417,328,89,3,26,437,248,189,,5.49,-24.35,2.75
17,Sun,January 2,4:05PM ET,boxscore,W,,9-7,,Denver Broncos,34,13,21,341,237,104,,18,319,236,83,1,15.09,7.80,1.00
18,Sun,January 9,8:25PM ET,boxscore,L,OT,9-8,@,Las Vegas Raiders,32,35,27,440,355,85,2,24,346,172,174,,16.16,-11.13,-8.69
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,4:25PM ET,boxscore,W,,1-0,,Las Vegas Raiders,24,19,18,355,279,76,,18,320,256,64,3,6.30,2.73,-1.95
