Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Mon,September 10,10:20PM ET,boxscore,W,,1-0,@,Oakland Raiders,33,13,23,365,225,140,,20,395,300,95,3,16.10,6.75,-5.90
2,Sun,September 16,4:05PM ET,boxscore,W,,2-0,,Arizona Cardinals,34,0,24,432,342,90,1,5,137,83,54,1,18.11,17.50,-3.56
3,Sun,September 23,4:05PM ET,boxscore,W,,3-0,,Los Angeles Chargers,35,23,33,521,350,171,2,16,356,215,141,2,24.39,-10.00,-0.42
4,Thu,September 27,8:20PM ET,boxscore,W,,4-0,,Minnesota Vikings,38,31,25,556,456,100,,25,446,392,54,1,33.75,-15.88,-6.96
5,Sun,October 7,4:25PM ET,boxscore,W,,5-0,@,Seattle Seahawks,33,31,30,468,313,155,2,20,373,183,190,,21.36,-19.11,0.12
6,Sun,October 14,4:05PM ET,boxscore,W,,6-0,@,Denver Broncos,23,20,24,444,174,270,1,23,357,297,60,1,11.09,-6.06,-0.02
7,Sun,October 21,4:25PM ET,boxscore,W,,7-0,@,San Francisco 49ers,39,10,20,339,193,146,,16,228,121,107,4,10.86,19.69,-5.98
8,Sun,October 28,4:25PM ET,boxscore,W,,8-0,,Green Bay Packers,29,27,23,416,281,135,,16,359,253,106,1,7.93,-14.06,8.28
9,Sun,November 4,4:25PM ET,boxscore,L,,8-1,@,New Orleans Saints,35,45,23,483,391,92,1,31,487,346,141,1,20.09,-29.05,-8.53
10,Sun,November 11,4:25PM ET,boxscore,W,,9-1,,Seattle Seahawks,36,31,25,456,307,149,,29,414,141,273,1,22.36,-15.66,-1.89
11,Mon,November 19,8:15PM ET,boxscore,W,,10-1,,Kansas City Chiefs,54,51,29,455,379,76,2,27,546,448,98,5,15.93,-10.02,-2.52
13,Sun,December 2,1:00PM ET,boxscore,W,,11-1,@,Detroit Lions,30,16,24,344,195,149,2,23,310,208,102,2,6.09,5.26,1.34
14,Sun,December 9,8:20PM ET,boxscore,L,,11-2,@,Chicago Bears,6,15,14,214,162,52,4,17,294,100,194,3,-21.99,15.04,2.29
15,Sun,December 16,8:20PM ET,boxscore,L,,11-3,,Philadelphia Eagles,23,30,23,407,325,82,3,17,381,270,111,1,1.52,-1.68,-3.79
16,Sun,December 23,4:05PM ET,boxscore,W,,12-3,@,Arizona Cardinals,31,9,33,461,192,269,1,15,263,159,104,,24.42,4.01,-5.46
17,Sun,December 30,4:25PM ET,boxscore,W,,13-3,,San Francisco 49ers,48,32,28,377,222,155,,22,391,264,127,4,16.59,-1.86,-3.88
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,@,Carolina Panthers,30,27,22,349,183,166,1,21,343,216,127,3,4.57,3.24,-3.39
2,Sun,September 15,4:25PM ET,boxscore,W,,2-0,,New Orleans Saints,27,9,20,380,265,115,1,15,244,187,57,1,7.63,13.12,-6.34
3,Sun,September 22,8:20PM ET,boxscore,W,,3-0,@,Cleveland Browns,20,13,20,344,254,90,3,18,270,175,95,1,1.06,8.89,-3.41
4,Sun,September 29,4:05PM ET,boxscore,L,,3-1,,Tampa Bay Buccaneers,40,55,36,518,490,28,4,27,464,376,88,1,4.47,-22.76,4.04
5,Thu,October 3,8:20PM ET,boxscore,L,,3-2,@,Seattle Seahawks,29,30,24,477,395,82,2,25,429,262,167,1,9.94,-12.97,1.58
6,Sun,October 13,4:05PM ET,boxscore,L,,3-3,,San Francisco 49ers,7,20,10,157,48,109,1,22,331,232,99,2,-25.23,3.54,5.01
7,Sun,October 20,1:00PM ET,boxscore,W,,4-3,@,Atlanta Falcons,37,10,23,381,291,90,,14,224,186,38,3,8.61,10.97,7.98
8,Sun,October 27,1:00PM ET,boxscore,W,,5-3,,Cincinnati Bengals,24,10,19,470,372,98,,24,401,297,104,,18.42,-3.84,1.27
10,Sun,November 10,4:25PM ET,boxscore,L,,5-4,@,Pittsburgh Steelers,12,17,16,306,218,88,4,15,273,231,42,2,-27.02,17.68,4.10
11,Sun,November 17,8:20PM ET,boxscore,W,,6-4,,Chicago Bears,17,7,13,283,173,110,2,17,267,193,74,1,-5.69,13.17,5.08
12,Mon,November 25,8:15PM ET,boxscore,L,,6-5,,Baltimore Ravens,6,45,14,221,199,22,2,31,480,195,285,,-8.52,-32.32,4.27
13,Sun,December 1,4:05PM ET,boxscore,W,,7-5,@,Arizona Cardinals,34,7,27,549,417,132,,13,198,124,74,1,18.95,16.98,-10.38
14,Sun,December 8,8:20PM ET,boxscore,W,,8-5,,Seattle Seahawks,28,12,26,455,293,162,2,16,308,202,106,1,13.97,7.74,-4.96
15,Sun,December 15,4:25PM ET,boxscore,L,,8-6,@,Dallas Cowboys,21,44,23,289,267,22,1,25,475,212,263,,-3.54,-26.77,5.18
16,Sat,December 21,8:15PM ET,boxscore,L,,8-7,@,San Francisco 49ers,31,34,24,395,323,72,1,19,334,215,119,2,3.16,-3.67,-1.84
17,Sun,December 29,4:25PM ET,boxscore,W,,9-7,,Arizona Cardinals,31,24,25,424,311,113,,22,393,322,71,5,16.31,-3.53,-5.85
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 13,8:20PM ET,boxscore,W,,1-0,,Dallas Cowboys,20,17,23,422,269,153,1,24,380,244,136,,12.62,-3.18,-1.54
2,Sun,September 20,1:00PM ET,boxscore,W,,2-0,@,Philadelphia Eagles,37,19,30,449,258,191,1,25,363,242,121,3,27.57,0.85,-8.25
3,Sun,September 27,1:00PM ET,boxscore,L,,2-1,@,Buffalo Bills,32,35,28,478,311,167,2,23,375,274,101,2,19.86,-17.83,-6.79
4,Sun,October 4,4:05PM ET,boxscore,W,,3-1,,New York Giants,17,9,15,240,182,58,1,19,295,159,136,1,1.88,8.39,-3.27
5,Sun,October 11,1:00PM ET,boxscore,W,,4-1,@,Washington Football Team,30,10,20,429,300,129,1,10,108,70,38,,12.32,15.55,-9.05
6,Sun,October 18,8:20PM ET,boxscore,L,,4-2,@,San Francisco 49ers,16,24,17,311,198,113,1,24,390,268,122,,2.05,-12.69,2.53
7,Mon,October 26,8:15PM ET,boxscore,W,,5-2,,Chicago Bears,24,10,24,371,211,160,1,14,279,230,49,2,3.20,17.34,-5.70
8,Sun,November 1,1:00PM ET,boxscore,L,,5-3,@,Miami Dolphins,17,28,31,471,340,131,4,8,145,90,55,2,-18.41,21.63,-12.41
10,Sun,November 15,4:25PM ET,boxscore,W,,6-3,,Seattle Seahawks,23,16,24,389,283,106,1,20,333,220,113,3,11.84,3.08,-6.89
11,Mon,November 23,8:15PM ET,boxscore,W,,7-3,@,Tampa Bay Buccaneers,27,24,22,413,376,37,2,20,251,209,42,2,5.08,1.67,-2.02
12,Sun,November 29,4:05PM ET,boxscore,L,,7-4,,San Francisco 49ers,20,23,14,308,182,126,4,18,345,233,112,3,-19.57,14.81,2.68
13,Sun,December 6,4:05PM ET,boxscore,W,,8-4,@,Arizona Cardinals,38,28,30,463,344,119,1,18,232,140,92,2,18.92,0.60,-6.43
14,Thu,December 10,8:20PM ET,boxscore,W,,9-4,,New England Patriots,24,3,17,318,132,186,1,10,220,113,107,1,1.19,29.77,-8.58
15,Sun,December 20,4:05PM ET,boxscore,L,,9-5,,New York Jets,20,23,16,303,189,114,1,17,289,196,93,,-2.53,-0.42,-0.32
