Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,W,,1-0,,San Francisco 49ers,24,16,19,343,227,116,1,20,327,237,90,4,-2.96,12.02,-1.70
2,Sun,September 16,1:00PM ET,boxscore,T,OT,1-0-1,@,Green Bay Packers,29,29,24,480,412,68,1,24,351,253,98,,16.42,-4.92,-11.50
3,Sun,September 23,1:00PM ET,boxscore,L,,1-1-1,,Buffalo Bills,6,27,21,292,278,14,3,16,292,164,128,,-10.71,-3.26,-3.62
4,Thu,September 27,8:20PM ET,boxscore,L,,1-2-1,@,Los Angeles Rams,31,38,25,446,392,54,1,25,556,456,100,,15.88,-33.75,6.96
5,Sun,October 7,4:25PM ET,boxscore,W,,2-2-1,@,Philadelphia Eagles,23,21,19,375,298,77,1,21,364,283,81,2,4.35,1.97,-3.83
6,Sun,October 14,1:00PM ET,boxscore,W,,3-2-1,,Arizona Cardinals,27,17,20,411,216,195,2,16,268,208,60,2,-3.32,14.20,0.88
7,Sun,October 21,1:00PM ET,boxscore,W,,4-2-1,@,New York Jets,37,17,15,316,228,88,,16,263,192,71,4,-2.03,25.19,-3.85
8,Sun,October 28,8:20PM ET,boxscore,L,,4-3-1,,New Orleans Saints,20,30,27,423,338,85,2,17,270,164,106,1,5.30,-5.19,-6.75
9,Sun,November 4,1:00PM ET,boxscore,W,,5-3-1,,Detroit Lions,24,9,17,283,155,128,2,18,209,143,66,1,1.94,16.20,-2.99
11,Sun,November 18,8:20PM ET,boxscore,L,,5-4-1,@,Chicago Bears,20,25,19,268,246,22,3,24,308,160,148,3,-6.90,0.26,0.96
12,Sun,November 25,8:20PM ET,boxscore,W,,6-4-1,,Green Bay Packers,24,17,22,416,325,91,,14,254,172,82,1,10.38,-0.78,1.61
13,Sun,December 2,4:25PM ET,boxscore,L,,6-5-1,@,New England Patriots,10,24,16,278,183,95,2,27,471,311,160,1,-9.14,-16.10,4.16
14,Mon,December 10,8:15PM ET,boxscore,L,,6-6-1,@,Seattle Seahawks,7,21,16,276,199,77,1,19,274,60,214,1,-11.31,0.44,-4.28
15,Sun,December 16,1:00PM ET,boxscore,W,,7-6-1,,Miami Dolphins,41,17,22,418,198,220,1,12,193,37,156,,10.62,14.15,1.19
16,Sun,December 23,1:00PM ET,boxscore,W,,8-6-1,@,Detroit Lions,27,9,16,340,240,100,,17,223,137,86,,1.34,15.37,0.27
17,Sun,December 30,4:25PM ET,boxscore,L,,8-7-1,,Chicago Bears,10,24,12,164,101,63,,17,332,163,169,,-11.59,-9.09,6.78
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,,Atlanta Falcons,28,12,18,269,97,172,,27,345,272,73,3,11.05,1.83,4.34
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,@,Green Bay Packers,16,21,15,421,223,198,4,20,335,191,144,2,-6.94,7.02,-5.30
3,Sun,September 22,1:00PM ET,boxscore,W,,2-1,,Oakland Raiders,34,14,23,385,174,211,,17,302,214,88,1,20.43,-1.77,0.15
4,Sun,September 29,4:25PM ET,boxscore,L,,2-2,@,Chicago Bears,6,16,15,222,182,40,2,17,269,197,72,,-10.79,2.85,-1.53
5,Sun,October 6,1:00PM ET,boxscore,W,,3-2,@,New York Giants,28,10,22,490,279,211,1,18,211,147,64,1,16.93,8.73,-0.40
6,Sun,October 13,1:00PM ET,boxscore,W,,4-2,,Philadelphia Eagles,38,20,26,447,325,122,2,19,400,292,108,3,17.04,-2.18,-0.52
7,Sun,October 20,1:00PM ET,boxscore,W,,5-2,@,Detroit Lions,42,30,32,504,338,166,,26,433,352,81,1,35.60,-18.28,-2.59
8,Thu,October 24,8:20PM ET,boxscore,W,,6-2,,Washington Redskins,19,9,22,434,273,161,1,14,216,131,85,2,6.29,5.06,-2.48
9,Sun,November 3,1:00PM ET,boxscore,L,,6-3,@,Kansas City Chiefs,23,26,17,308,212,96,,17,377,230,147,1,3.06,-7.56,0.23
10,Sun,November 10,8:20PM ET,boxscore,W,,7-3,@,Dallas Cowboys,28,24,27,364,211,153,,24,443,393,50,1,18.73,-18.62,2.89
11,Sun,November 17,1:00PM ET,boxscore,W,,8-3,,Denver Broncos,27,23,19,321,284,37,2,20,394,270,124,1,8.51,-4.61,-2.33
13,Mon,December 2,8:15PM ET,boxscore,L,,8-4,@,Seattle Seahawks,30,37,17,354,276,78,3,24,444,226,218,2,6.46,-5.79,-10.50
14,Sun,December 8,1:00PM ET,boxscore,W,,9-4,,Detroit Lions,20,7,22,354,234,120,,18,231,161,70,2,3.77,7.27,-0.30
15,Sun,December 15,4:05PM ET,boxscore,W,,10-4,@,Los Angeles Chargers,39,10,18,344,207,137,1,17,345,283,62,7,5.27,20.63,-0.79
16,Mon,December 23,8:15PM ET,boxscore,L,,10-5,,Green Bay Packers,10,23,7,139,82,57,1,22,383,199,184,3,-25.86,5.18,6.94
17,Sun,December 29,1:00PM ET,boxscore,L,,10-6,,Chicago Bears,19,21,14,300,126,174,3,24,337,179,158,1,2.15,-1.26,1.08
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 13,1:00PM ET,boxscore,L,,0-1,,Green Bay Packers,34,43,25,382,248,134,1,31,522,364,158,,19.11,-28.03,-3.78
2,Sun,September 20,1:00PM ET,boxscore,L,,0-2,@,Indianapolis Colts,11,28,12,175,95,80,3,24,354,203,151,1,-9.97,-5.63,-4.52
3,Sun,September 27,1:00PM ET,boxscore,L,,0-3,,Tennessee Titans,30,31,22,464,238,226,3,23,444,310,134,1,10.21,-3.79,-7.95
4,Sun,October 4,1:00PM ET,boxscore,W,,1-3,@,Houston Texans,31,23,24,410,248,162,,20,386,290,96,1,17.07,-8.81,-1.44
5,Sun,October 11,8:20PM ET,boxscore,L,,1-4,@,Seattle Seahawks,26,27,31,449,248,201,2,18,314,190,124,1,6.68,-8.96,-0.07
6,Sun,October 18,1:00PM ET,boxscore,L,,1-5,,Atlanta Falcons,23,40,19,365,333,32,3,24,462,363,99,1,0.99,-20.17,-0.84
8,Sun,November 1,1:00PM ET,boxscore,W,,2-5,@,Green Bay Packers,28,22,20,324,151,173,,24,400,291,109,1,20.77,-13.95,-1.23
9,Sun,November 8,1:00PM ET,boxscore,W,,3-5,,Detroit Lions,34,20,22,487,212,275,,30,421,292,129,3,22.76,-4.68,-9.45
10,Mon,November 16,8:15PM ET,boxscore,W,,4-5,@,Chicago Bears,19,13,19,385,286,99,2,10,149,108,41,2,-3.86,18.69,-8.08
11,Sun,November 22,4:25PM ET,boxscore,L,,4-6,,Dallas Cowboys,28,31,24,430,305,125,2,24,376,196,180,1,9.00,-15.61,2.73
12,Sun,November 29,1:00PM ET,boxscore,W,,5-6,,Carolina Panthers,28,27,26,387,291,96,3,21,374,267,107,1,0.99,-7.73,7.86
13,Sun,December 6,1:00PM ET,boxscore,W,OT,6-6,,Jacksonville Jaguars,27,24,30,420,275,145,2,20,390,266,124,4,-2.36,4.24,3.19
14,Sun,December 13,1:00PM ET,boxscore,L,,6-7,@,Tampa Bay Buccaneers,14,26,27,335,173,162,1,17,303,196,107,,10.70,-18.44,-7.06
15,Sun,December 20,1:00PM ET,boxscore,L,,6-8,,Chicago Bears,27,33,26,407,249,158,1,23,397,198,199,1,11.76,-14.23,-4.00
16,Fri,December 25,4:30PM ET,boxscore,L,,6-9,@,New Orleans Saints,33,52,25,364,274,90,,36,583,319,264,2,16.70,-35.03,-0.55
17,Sun,January 3,1:00PM ET,boxscore,W,,7-9,@,Detroit Lions,37,35,31,508,383,125,,21,417,288,129,2,27.15,-18.16,-3.69
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,L,OT,0-1,@,Cincinnati Bengals,24,27,24,403,336,67,1,20,366,217,149,,2.90,-6.16,1.79
2,Sun,September 19,4:05PM ET,boxscore,L,,0-2,@,Arizona Cardinals,33,34,22,419,242,177,,21,474,371,103,2,12.56,-11.99,-0.90
