Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,L,,0-1,,Jacksonville Jaguars,15,20,15,324,210,114,2,17,305,168,137,1,-10.37,6.03,-4.61
2,Sun,September 16,8:20PM ET,boxscore,L,,0-2,@,Dallas Cowboys,13,20,17,255,220,35,1,16,298,160,138,,-3.49,-7.10,3.49
3,Sun,September 23,1:00PM ET,boxscore,W,,1-2,@,Houston Texans,27,22,21,379,265,114,,21,427,368,59,2,14.90,-6.00,-3.71
4,Sun,September 30,4:25PM ET,boxscore,L,,1-3,,New Orleans Saints,18,33,22,299,234,65,2,25,389,219,170,,-0.20,-12.86,-2.41
5,Sun,October 7,1:00PM ET,boxscore,L,,1-4,@,Carolina Panthers,31,33,18,432,382,50,3,21,350,232,118,2,9.09,-1.96,-7.79
6,Thu,October 11,8:20PM ET,boxscore,L,,1-5,,Philadelphia Eagles,13,34,17,401,254,147,1,23,379,271,108,,-1.39,-16.39,2.22
7,Mon,October 22,8:15PM ET,boxscore,L,,1-6,@,Atlanta Falcons,20,23,21,433,372,61,,22,423,356,67,1,12.61,-12.04,-2.10
8,Sun,October 28,1:00PM ET,boxscore,L,,1-7,,Washington Redskins,13,20,18,303,266,37,2,20,360,178,182,1,-4.74,0.19,-3.53
10,Mon,November 12,8:15PM ET,boxscore,W,,2-7,@,San Francisco 49ers,27,23,17,277,180,97,,24,374,250,124,2,8.85,-6.78,0.26
11,Sun,November 18,1:00PM ET,boxscore,W,,3-7,,Tampa Bay Buccaneers,38,35,19,359,196,163,,31,510,359,151,4,16.46,-19.19,5.52
12,Sun,November 25,1:00PM ET,boxscore,L,,3-8,@,Philadelphia Eagles,22,25,18,402,276,126,1,19,341,214,127,,6.46,-11.20,1.03
13,Sun,December 2,1:00PM ET,boxscore,W,OT,4-8,,Chicago Bears,30,27,18,338,197,141,1,23,376,258,118,3,-1.90,5.96,-7.06
14,Sun,December 9,1:00PM ET,boxscore,W,,5-8,@,Washington Redskins,40,16,19,402,175,227,1,12,288,204,84,3,10.27,19.48,-9.84
15,Sun,December 16,1:00PM ET,boxscore,L,,5-9,,Tennessee Titans,0,17,15,260,213,47,2,22,301,86,215,,-16.42,-4.80,6.32
16,Sun,December 23,1:00PM ET,boxscore,L,,5-10,@,Indianapolis Colts,27,28,22,392,309,83,1,27,402,353,49,1,16.70,-18.72,-0.88
17,Sun,December 30,1:00PM ET,boxscore,L,,5-11,,Dallas Cowboys,35,36,20,441,298,143,2,23,419,368,51,1,10.28,-21.03,8.93
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,4:25PM ET,boxscore,L,,0-1,@,Dallas Cowboys,17,35,25,470,319,151,2,23,494,405,89,,10.91,-26.91,-0.11
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,,Buffalo Bills,14,28,21,370,241,129,2,24,388,237,151,,-2.11,-6.57,-3.56
3,Sun,September 22,4:05PM ET,boxscore,W,,1-2,@,Tampa Bay Buccaneers,32,31,17,384,312,72,2,24,499,355,144,1,8.02,-14.58,6.08
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,,Washington Redskins,24,3,24,389,225,164,4,8,176,121,55,4,0.43,25.74,-4.64
5,Sun,October 6,1:00PM ET,boxscore,L,,2-3,,Minnesota Vikings,10,28,18,211,147,64,1,22,490,279,211,1,-8.73,-16.93,0.40
6,Thu,October 10,8:20PM ET,boxscore,L,,2-4,@,New England Patriots,14,35,10,213,161,52,4,27,427,313,114,2,-24.29,0.69,-1.10
7,Sun,October 20,1:00PM ET,boxscore,L,,2-5,,Arizona Cardinals,21,27,21,263,156,107,3,18,245,89,156,,-8.02,-3.73,2.98
8,Sun,October 27,1:00PM ET,boxscore,L,,2-6,@,Detroit Lions,26,31,24,370,290,80,1,17,375,316,59,2,6.34,-7.67,-5.39
9,Mon,November 4,8:15PM ET,boxscore,L,,2-7,,Dallas Cowboys,18,37,20,271,171,100,3,24,429,257,172,2,-12.66,-10.68,5.61
10,Sun,November 10,1:00PM ET,boxscore,L,,2-8,@,New York Jets,27,34,15,281,258,23,2,18,294,218,76,,-2.96,-6.97,0.39
12,Sun,November 24,1:00PM ET,boxscore,L,,2-9,@,Chicago Bears,14,19,14,243,134,109,1,20,335,270,65,2,-12.48,7.02,2.01
13,Sun,December 1,1:00PM ET,boxscore,L,,2-10,,Green Bay Packers,13,31,20,335,240,95,3,19,322,243,79,,0.75,-15.72,-0.67
14,Mon,December 9,8:15PM ET,boxscore,L,OT,2-11,@,Philadelphia Eagles,17,23,11,255,182,73,,27,418,300,118,1,-4.47,-3.00,0.47
15,Sun,December 15,1:00PM ET,boxscore,W,,3-11,,Miami Dolphins,36,20,24,412,274,138,3,22,384,262,122,1,13.11,-0.43,4.97
16,Sun,December 22,1:00PM ET,boxscore,W,OT,4-11,@,Washington Redskins,41,35,28,552,346,206,,25,361,281,80,,32.47,-18.07,-7.97
17,Sun,December 29,4:25PM ET,boxscore,L,,4-12,,Philadelphia Eagles,17,34,19,397,275,122,2,25,400,279,121,,-6.61,-6.30,0.16
,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,September 14,7:15PM ET,boxscore,L,,0-1,,Pittsburgh Steelers,16,26,20,291,262,29,2,19,349,208,141,1,-6.06,-13.20,5.36
