Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,W,,1-0,@,New Orleans Saints,48,40,26,529,417,112,,26,475,432,43,2,29.69,-19.83,-4.90
2,Sun,September 16,1:00PM ET,boxscore,W,,2-0,,Philadelphia Eagles,27,21,18,436,393,43,2,24,412,321,91,2,10.11,-5.14,1.42
3,Mon,September 24,8:15PM ET,boxscore,L,,2-1,,Pittsburgh Steelers,27,30,28,455,392,63,4,22,413,335,78,1,3.18,-9.86,2.73
4,Sun,September 30,1:00PM ET,boxscore,L,,2-2,@,Chicago Bears,10,48,16,311,251,60,3,28,483,344,139,,-5.14,-33.53,0.24
6,Sun,October 14,1:00PM ET,boxscore,L,,2-3,@,Atlanta Falcons,29,34,30,510,389,121,2,26,417,347,70,,22.99,-21.03,-2.24
7,Sun,October 21,1:00PM ET,boxscore,W,OT,3-3,,Cleveland Browns,26,23,34,456,342,114,4,17,305,186,119,1,4.49,7.86,-6.20
8,Sun,October 28,1:00PM ET,boxscore,L,,3-4,@,Cincinnati Bengals,34,37,29,576,450,126,4,21,402,264,138,,11.69,-14.21,-1.75
9,Sun,November 4,1:00PM ET,boxscore,L,,3-5,@,Carolina Panthers,28,42,23,301,219,82,2,22,407,228,179,,7.24,-18.42,-2.03
10,Sun,November 11,1:00PM ET,boxscore,L,,3-6,,Washington Redskins,3,16,29,501,398,103,4,15,286,170,116,,2.31,-1.74,-10.04
11,Sun,November 18,1:00PM ET,boxscore,L,,3-7,@,New York Giants,35,38,31,510,359,151,4,19,359,196,163,,19.19,-16.46,-5.52
12,Sun,November 25,1:00PM ET,boxscore,W,,4-7,,San Francisco 49ers,27,9,25,412,304,108,,23,342,194,148,2,15.23,0.52,1.45
13,Sun,December 2,1:00PM ET,boxscore,W,,5-7,,Carolina Panthers,24,17,18,315,220,95,1,27,444,276,168,4,4.28,-0.03,1.17
14,Sun,December 9,1:00PM ET,boxscore,L,,5-8,,New Orleans Saints,14,28,20,279,174,105,1,19,298,198,100,2,-1.15,-1.64,-10.68
15,Sun,December 16,1:00PM ET,boxscore,L,,5-9,@,Baltimore Ravens,12,20,12,241,156,85,1,24,370,128,242,2,-6.00,-6.86,2.23
16,Sun,December 23,1:00PM ET,boxscore,L,,5-10,@,Dallas Cowboys,20,27,27,383,320,63,2,16,232,152,80,,-5.08,0.41,-4.32
17,Sun,December 30,1:00PM ET,boxscore,L,,5-11,,Atlanta Falcons,32,34,22,433,341,92,1,27,489,380,109,1,14.51,-14.62,0.09
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,4:25PM ET,boxscore,L,,0-1,,San Francisco 49ers,17,31,21,295,174,121,4,17,256,158,98,2,-19.12,7.51,-1.10
2,Thu,September 12,8:20PM ET,boxscore,W,,1-1,@,Carolina Panthers,20,14,16,289,189,100,,20,352,313,39,1,-2.31,14.80,-8.98
3,Sun,September 22,4:05PM ET,boxscore,L,,1-2,,New York Giants,31,32,24,499,355,144,1,17,384,312,72,2,14.58,-8.02,-6.08
4,Sun,September 29,4:05PM ET,boxscore,W,,2-2,@,Los Angeles Rams,55,40,27,464,376,88,1,36,518,490,28,4,22.76,-4.47,-4.04
5,Sun,October 6,1:00PM ET,boxscore,L,,2-3,@,New Orleans Saints,24,31,19,252,158,94,,25,457,345,112,1,4.27,-17.39,3.99
6,Sun,October 13,9:30AM ET,boxscore,L,,2-4,,Carolina Panthers,26,37,23,407,365,42,7,17,268,209,59,1,-14.39,2.76,0.09
8,Sun,October 27,1:00PM ET,boxscore,L,,2-5,@,Tennessee Titans,23,27,23,389,283,106,4,16,246,174,72,1,-6.92,2.72,-1.66
9,Sun,November 3,4:05PM ET,boxscore,L,OT,2-6,@,Seattle Seahawks,34,40,29,418,319,99,1,31,492,347,145,1,13.19,-23.58,6.92
10,Sun,November 10,1:00PM ET,boxscore,W,,3-6,,Arizona Cardinals,30,27,26,457,339,118,3,20,417,342,75,2,9.52,-1.71,-3.53
11,Sun,November 17,1:00PM ET,boxscore,L,,3-7,,New Orleans Saints,17,34,21,334,298,36,4,21,328,219,109,,-1.16,-12.23,0.13
12,Sun,November 24,1:00PM ET,boxscore,W,,4-7,@,Atlanta Falcons,35,22,20,446,313,133,2,22,337,280,57,2,11.90,5.60,-3.77
13,Sun,December 1,1:00PM ET,boxscore,W,,5-7,@,Jacksonville Jaguars,28,11,19,315,241,74,1,14,242,193,49,4,-4.31,26.93,-2.93
14,Sun,December 8,1:00PM ET,boxscore,W,,6-7,,Indianapolis Colts,38,35,29,542,467,75,4,16,309,243,66,1,9.53,-8.36,3.36
15,Sun,December 15,1:00PM ET,boxscore,W,,7-7,@,Detroit Lions,38,17,23,495,446,49,1,16,295,250,45,3,13.82,14.38,-7.29
16,Sat,December 21,1:00PM ET,boxscore,L,,7-8,,Houston Texans,20,23,19,435,329,106,5,15,229,161,68,2,-8.40,13.02,-7.92
17,Sun,December 29,1:00PM ET,boxscore,L,OT,7-9,,Atlanta Falcons,22,28,14,329,193,136,3,28,373,286,87,1,-5.96,8.27,-9.46
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 13,4:25PM ET,boxscore,L,,0-1,@,New Orleans Saints,23,34,23,310,224,86,3,18,271,189,82,,0.48,-1.98,-11.57
2,Sun,September 20,1:00PM ET,boxscore,W,,1-1,,Carolina Panthers,31,17,20,339,217,122,2,24,427,340,87,4,7.61,-0.25,4.83
3,Sun,September 27,4:25PM ET,boxscore,W,,2-1,@,Denver Broncos,28,10,17,353,285,68,,13,226,184,42,2,7.71,10.72,0.99
4,Sun,October 4,1:00PM ET,boxscore,W,,3-1,,Los Angeles Chargers,38,31,28,484,369,115,1,15,324,278,46,2,12.95,-5.88,0.20
5,Thu,October 8,8:20PM ET,boxscore,L,,3-2,@,Chicago Bears,19,20,18,339,233,106,1,18,243,208,35,1,-3.30,0.67,-1.05
6,Sun,October 18,4:25PM ET,boxscore,W,,4-2,,Green Bay Packers,38,10,21,324,166,158,,13,201,107,94,2,15.29,21.73,-4.79
7,Sun,October 25,4:05PM ET,boxscore,W,,5-2,@,Las Vegas Raiders,45,20,29,454,369,85,,19,347,271,76,1,30.56,-1.69,-4.89
8,Mon,November 2,8:15PM ET,boxscore,W,,6-2,@,New York Giants,25,23,23,344,263,81,1,24,357,256,101,2,5.01,-3.57,2.61
9,Sun,November 8,8:20PM ET,boxscore,L,,6-3,,New Orleans Saints,3,38,13,194,186,8,3,27,420,282,138,2,-19.57,-13.73,0.26
10,Sun,November 15,1:00PM ET,boxscore,W,,7-3,@,Carolina Panthers,46,23,30,544,334,210,1,13,187,122,65,1,27.30,6.81,-11.18
11,Mon,November 23,8:15PM ET,boxscore,L,,7-4,,Los Angeles Rams,24,27,20,251,209,42,2,22,413,376,37,2,-1.67,-5.08,2.02
12,Sun,November 29,4:25PM ET,boxscore,L,,7-5,,Kansas City Chiefs,24,27,20,417,342,75,2,26,543,456,87,1,12.72,-20.42,2.46
14,Sun,December 13,1:00PM ET,boxscore,W,,8-5,,Minnesota Vikings,26,14,17,303,196,107,,27,335,173,162,1,18.44,-10.70,7.06
15,Sun,December 20,1:00PM ET,boxscore,W,,9-5,@,Atlanta Falcons,31,27,27,416,365,51,,23,369,332,37,,20.21,-8.39,-4.28
16,Sat,December 26,1:00PM ET,boxscore,W,,10-5,@,Detroit Lions,47,7,30,588,477,111,,12,186,113,73,2,37.71,18.39,-16.78
17,Sun,January 3,1:00PM ET,boxscore,W,,11-5,,Atlanta Falcons,44,27,28,485,391,94,1,25,385,258,127,2,29.28,-10.53,0.43
,,,,,,,,,,,,,,,,,,,,,,,,
1,Thu,September 9,8:20PM ET,boxscore,W,,1-0,,Dallas Cowboys,31,29,24,431,379,52,4,30,451,391,60,1,9.37,-13.67,7.76
2,Sun,September 19,4:05PM ET,boxscore,W,,2-0,,Atlanta Falcons,48,25,21,341,259,82,1,19,348,293,55,3,8.63,15.96,-0.72
3,Sun,September 26,4:25PM ET,boxscore,L,,2-1,@,Los Angeles Rams,24,34,27,446,411,35,,22,407,331,76,,15.15,-20.56,-3.43
4,Sun,October 3,8:20PM ET,boxscore,W,,3-1,@,New England Patriots,19,17,22,381,261,120,,20,294,295,-1,2,5.45,-0.96,-2.94
5,Sun,October 10,1:00PM ET,boxscore,W,,4-1,,Miami Dolphins,45,17,33,558,437,121,,17,301,262,39,2,40.54,-4.28,-3.08
6,Thu,October 14,8:20PM ET,boxscore,W,,5-1,@,Philadelphia Eagles,28,22,27,399,297,102,1,16,213,113,100,1,15.69,-9.52,3.01
7,Sun,October 24,4:25PM ET,boxscore,W,,6-1,,Chicago Bears,38,3,28,408,226,182,1,17,311,168,143,5,16.41,18.58,-4.77
8,Sun,October 31,4:25PM ET,boxscore,L,,6-2,@,New Orleans Saints,27,36,16,421,350,71,3,26,361,209,152,,0.98,-12.99,-1.10
10,Sun,November 14,1:00PM ET,boxscore,L,,6-3,@,Washington Football Team,19,29,14,273,220,53,2,23,320,226,94,1,3.21,-10.01,-0.67
11,Mon,November 22,8:15PM ET,boxscore,W,,7-3,,New York Giants,30,10,28,402,308,94,1,15,215,149,66,3,10.10,16.38,-4.13
12,Sun,November 28,1:00PM ET,boxscore,W,,8-3,@,Indianapolis Colts,38,31,28,359,217,142,2,24,392,285,107,5,16.55,-6.27,-3.35
13,Sun,December 5,1:00PM ET,boxscore,W,,9-3,@,Atlanta Falcons,30,17,25,425,368,57,1,21,380,259,121,1,17.18,-5.45,-2.61
14,Sun,December 12,4:25PM ET,boxscore,W,OT,10-3,,Buffalo Bills,33,27,26,488,351,137,,27,466,293,173,1,18.05,-7.42,-5.48
15,Sun,December 19,8:20PM ET,boxscore,L,,10-4,,New Orleans Saints,0,9,17,302,184,118,2,11,212,151,61,,-13.21,17.46,-10.67
16,Sun,December 26,1:00PM ET,boxscore,W,,11-4,@,Carolina Panthers,32,6,21,391,232,159,,16,273,206,67,1,13.01,11.17,-2.95
17,Sun,January 2,1:00PM ET,boxscore,W,,12-4,@,New York Jets,28,24,26,467,405,62,1,22,374,224,150,1,17.50,-13.43,0.20
18,Sun,January 9,1:00PM ET,boxscore,W,,13-4,,Carolina Panthers,41,17,21,409,324,85,,18,317,207,110,2,20.33,10.73,-4.03
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,8:20PM ET,boxscore,W,,1-0,@,Dallas Cowboys,19,3,18,347,195,152,1,12,244,173,71,1,0.55,19.40,-2.24
2,Sun,September 18,1:00PM ET,boxscore,W,,2-0,@,New Orleans Saints,20,10,13,260,188,72,1,18,308,208,100,5,-9.20,18.41,2.71
3,Sun,September 25,4:25PM ET,boxscore,L,,2-1,,Green Bay Packers,12,14,19,285,251,34,2,14,315,248,67,2,-9.14,4.08,0.30
4,Sun,October 2,8:20PM ET,boxscore,L,,2-2,,Kansas City Chiefs,31,41,27,376,373,3,2,27,417,228,189,1,14.15,-17.12,-5.33
5,Sun,October 9,1:00PM ET,boxscore,W,,3-2,,Atlanta Falcons,21,15,26,420,351,69,,19,261,110,151,,13.30,-3.90,-1.34
6,Sun,October 16,1:00PM ET,boxscore,L,,3-3,@,Pittsburgh Steelers,18,20,20,304,229,75,,15,270,193,77,,0.17,-2.61,-2.77
7,Sun,October 23,1:00PM ET,boxscore,L,,3-4,@,Carolina Panthers,3,21,17,322,276,46,,14,343,170,173,,-5.31,-7.39,-3.31
8,Thu,October 27,8:15PM ET,boxscore,L,,3-5,,Baltimore Ravens,22,27,20,349,305,44,1,27,453,222,231,,8.68,-11.24,-6.73
9,Sun,November 6,4:25PM ET,boxscore,W,,4-5,,Los Angeles Rams,16,13,18,323,272,51,,9,206,138,68,,-8.87,10.99,1.37
10,Sun,November 13,9:30AM ET,boxscore,W,,5-5,,Seattle Seahawks,21,16,26,419,258,161,2,19,283,244,39,1,13.20,0.15,-7.78
12,Sun,November 27,1:00PM ET,boxscore,L,OT,5-6,@,Cleveland Browns,17,23,16,325,229,96,,22,367,178,189,1,-1.81,-2.41,-1.78
13,Mon,December 5,8:15PM ET,boxscore,W,,6-6,,New Orleans Saints,17,16,25,350,274,76,2,14,298,232,66,,2.62,0.04,-2.46
14,Sun,December 11,4:25PM ET,boxscore,L,,6-7,@,San Francisco 49ers,7,35,18,322,253,69,3,24,404,195,209,1,-13.41,-18.39,0.43
